,1-1,1-2,1-3,1-4,1-5,2-1,2-2,2-3,2-4,2-5,3-1,3-2,3-3,3-4,4-1,1,2,3,4
gpt-4-1106-preview,0.5238095238095238,,0.16666666666666666,,,0.36363636363636365,0.26136363636363635,0.2857142857142857,0.3333333333333333,,,0.16666666666666666,0.25,0.0,,0.4444444444444444,0.2773109243697479,0.14285714285714285,
gpt-4-turbo-2024-04-09,0.5238095238095238,,0.16666666666666666,,,0.45454545454545453,0.3522727272727273,0.2857142857142857,0.3333333333333333,,,0.3333333333333333,0.5,0.0,,0.4444444444444444,0.35294117647058826,0.2857142857142857,
gpt-4-0613,0.3333333333333333,,0.16666666666666666,,,0.45454545454545453,0.22727272727272727,0.35714285714285715,0.3333333333333333,,,0.3333333333333333,0.0,0.0,,0.2962962962962963,0.2689075630252101,0.14285714285714285,
claude-3-sonnet@20240229,0.38095238095238093,,0.0,,,0.18181818181818182,0.29545454545454547,0.2857142857142857,0.16666666666666666,,,0.16666666666666666,0.25,0.5,,0.2962962962962963,0.2773109243697479,0.2857142857142857,
gpt-3.5-turbo-0301,0.23809523809523808,,0.16666666666666666,,,0.36363636363636365,0.18181818181818182,0.21428571428571427,0.16666666666666666,,,0.16666666666666666,0.0,0.25,,0.2222222222222222,0.20168067226890757,0.14285714285714285,
gpt-3.5-turbo-0613,0.2857142857142857,,0.16666666666666666,,,0.36363636363636365,0.2159090909090909,0.21428571428571427,0.0,,,0.3333333333333333,0.0,0.25,,0.25925925925925924,0.2184873949579832,0.21428571428571427,
gemini-1.0-pro-001,0.38095238095238093,,0.3333333333333333,,,0.45454545454545453,0.23863636363636365,0.35714285714285715,0.16666666666666666,,,0.16666666666666666,0.25,0.0,,0.37037037037037035,0.2689075630252101,0.14285714285714285,
gemini-1.0-pro-002,0.2857142857142857,,0.16666666666666666,,,0.18181818181818182,0.14772727272727273,0.35714285714285715,0.5,,,0.16666666666666666,0.25,0.5,,0.25925925925925924,0.19327731092436976,0.2857142857142857,
chat-bison@002,0.2857142857142857,,0.3333333333333333,,,0.45454545454545453,0.23863636363636365,0.2857142857142857,0.0,,,0.16666666666666666,0.75,0.0,,0.2962962962962963,0.25210084033613445,0.2857142857142857,
Mistral-7B-Instruct-v0.3,0.23809523809523808,,0.3333333333333333,,,0.7272727272727273,0.1590909090909091,0.21428571428571427,0.0,,,0.3333333333333333,0.5,0.5,,0.25925925925925924,0.21008403361344538,0.42857142857142855,
