,1-1,1-2,1-3,1-4,1-5,2-1,2-2,2-3,2-4,2-5,3-1,3-2,3-3,3-4,4-1,1,2,3,4
gpt-4-1106-preview,0.9292929292929293,0.975,0.9824561403508771,0.9166666666666666,0.975,0.7628865979381443,0.8,0.7446808510638298,0.9019607843137255,0.9259259259259259,0.8917748917748918,0.8333333333333334,0.6538461538461539,0.7115384615384616,0.575,0.956369982547993,0.836104513064133,0.8280871670702179,0.575
gpt-4-turbo-2024-04-09,0.9494949494949495,0.9833333333333333,0.9824561403508771,0.9166666666666666,0.9666666666666667,0.7422680412371134,0.8,0.7340425531914894,0.8627450980392157,0.9351851851851852,0.8961038961038961,0.8141025641025641,0.6538461538461539,0.7115384615384616,0.5916666666666667,0.9598603839441536,0.8218527315914489,0.8268765133171913,0.5916666666666667
gpt-4-0613,0.9292929292929293,0.9833333333333333,0.9824561403508771,0.95,0.9583333333333334,0.6597938144329897,0.85,0.6063829787234043,0.8431372549019608,0.9074074074074074,0.8852813852813853,0.8269230769230769,0.6538461538461539,0.7307692307692307,0.575,0.9616055846422339,0.7648456057007126,0.8256658595641646,0.575
claude-3-sonnet@20240229,0.8585858585858586,0.925,0.8771929824561403,0.8,0.95,0.6185567010309279,0.5,0.6063829787234043,0.696078431372549,0.8240740740740741,0.7813852813852814,0.6987179487179487,0.5576923076923077,0.7019230769230769,0.48333333333333334,0.8830715532286213,0.6817102137767221,0.7276029055690073,0.48333333333333334
gpt-3.5-turbo-0301,0.8686868686868687,0.9333333333333333,0.8947368421052632,0.8,0.9166666666666666,0.5670103092783505,0.55,0.4574468085106383,0.7156862745098039,0.8148148148148148,0.7597402597402597,0.6794871794871795,0.5673076923076923,0.5769230769230769,0.375,0.8830715532286213,0.6413301662707839,0.6973365617433414,0.375
gpt-3.5-turbo-0613,0.8383838383838383,0.9083333333333333,0.9035087719298246,0.7666666666666667,0.9083333333333333,0.5154639175257731,0.6,0.5638297872340425,0.696078431372549,0.8333333333333334,0.7402597402597403,0.6346153846153846,0.5673076923076923,0.6153846153846154,0.4,0.8656195462478184,0.6555819477434679,0.6828087167070218,0.4
gemini-1.0-pro-001,0.8080808080808081,0.875,0.868421052631579,0.8083333333333333,0.875,0.5876288659793815,0.45,0.4787234042553192,0.6862745098039216,0.7962962962962963,0.6688311688311688,0.6217948717948718,0.5769230769230769,0.5673076923076923,0.4666666666666667,0.8481675392670157,0.6342042755344418,0.635593220338983,0.4666666666666667
gemini-1.0-pro-002,0.7676767676767676,0.75,0.7894736842105263,0.7166666666666667,0.7583333333333333,0.5051546391752577,0.45,0.46808510638297873,0.5784313725490197,0.6666666666666666,0.5930735930735931,0.5192307692307693,0.4326923076923077,0.5288461538461539,0.30833333333333335,0.7556719022687609,0.5534441805225653,0.5508474576271186,0.30833333333333335
chat-bison@002,0.6767676767676768,0.7416666666666667,0.7894736842105263,0.6916666666666667,0.8166666666666667,0.4742268041237113,0.25,0.3829787234042553,0.5196078431372549,0.6574074074074074,0.5108225108225108,0.5192307692307693,0.47115384615384615,0.3942307692307692,0.375,0.7452006980802792,0.501187648456057,0.4927360774818402,0.375
Mistral-7B-Instruct-v0.3,0.7575757575757576,0.75,0.8157894736842105,0.6333333333333333,0.85,0.4639175257731959,0.25,0.4787234042553192,0.5294117647058824,0.6481481481481481,0.6471861471861472,0.5576923076923077,0.4423076923076923,0.5,0.38333333333333336,0.7609075043630017,0.5201900237529691,0.585956416464891,0.38333333333333336
Mistral-7B-Instruct-v0.2,0.7676767676767676,0.775,0.7543859649122807,0.7,0.8583333333333333,0.44329896907216493,0.25,0.44680851063829785,0.45098039215686275,0.6574074074074074,0.5822510822510822,0.5512820512820513,0.4326923076923077,0.46153846153846156,0.35,0.7713787085514834,0.4916864608076009,0.5423728813559322,0.35
claude-3-5-sonnet@20240620,0.9292929292929293,0.9916666666666667,0.9824561403508771,0.9416666666666667,0.9583333333333334,0.7731958762886598,0.9,0.7659574468085106,0.9117647058823529,0.9537037037037037,0.9307359307359307,0.8717948717948718,0.75,0.8173076923076923,0.6416666666666667,0.9616055846422339,0.8574821852731591,0.8825665859564165,0.6416666666666667
gpt-4o-2024-05-13,0.9595959595959596,1.0,0.9912280701754386,0.9166666666666666,0.9833333333333333,0.7319587628865979,0.9,0.6808510638297872,0.9117647058823529,0.9351851851851852,0.9242424242424242,0.8974358974358975,0.6346153846153846,0.8173076923076923,0.6583333333333333,0.9703315881326352,0.8242280285035629,0.8692493946731235,0.6583333333333333
Meta-Llama-3-70B-Instruct,0.9393939393939394,0.9583333333333334,0.9649122807017544,0.8833333333333333,0.9666666666666667,0.6804123711340206,0.85,0.6808510638297872,0.8529411764705882,0.9074074074074074,0.8701298701298701,0.7756410256410257,0.6346153846153846,0.75,0.5666666666666667,0.9424083769633508,0.7885985748218527,0.8075060532687651,0.5666666666666667
claude-3-opus@20240229,0.8888888888888888,0.975,0.956140350877193,0.925,0.9416666666666667,0.7010309278350515,0.8,0.6808510638297872,0.8431372549019608,0.8888888888888888,0.8831168831168831,0.782051282051282,0.6442307692307693,0.7884615384615384,0.6,0.9389179755671903,0.7838479809976246,0.8220338983050848,0.6
Qwen2-72B-Instruct,0.9191919191919192,0.9583333333333334,0.9649122807017544,0.8666666666666667,0.9833333333333333,0.711340206185567,0.65,0.6808510638297872,0.8529411764705882,0.9351851851851852,0.841991341991342,0.7628205128205128,0.6442307692307693,0.7884615384615384,0.55,0.9389179755671903,0.7933491686460807,0.7953995157384988,0.55
text-unicorn@001,0.8888888888888888,0.975,0.9122807017543859,0.8166666666666667,0.975,0.6701030927835051,0.5,0.574468085106383,0.7745098039215687,0.8425925925925926,0.8333333333333334,0.8012820512820513,0.5961538461538461,0.7307692307692307,0.5333333333333333,0.9144851657940664,0.7102137767220903,0.784503631961259,0.5333333333333333
gemini-1.5-pro-001,0.8888888888888888,0.9666666666666667,0.9122807017543859,0.8416666666666667,0.9666666666666667,0.7319587628865979,0.75,0.7340425531914894,0.8235294117647058,0.8796296296296297,0.7402597402597403,0.782051282051282,0.6346153846153846,0.7596153846153846,0.5583333333333333,0.9162303664921466,0.7933491686460807,0.7372881355932204,0.5583333333333333
gemma-2-27b-it,0.898989898989899,0.925,0.8947368421052632,0.8333333333333334,0.9333333333333333,0.6185567010309279,0.55,0.6170212765957447,0.7352941176470589,0.8425925925925926,0.8181818181818182,0.6923076923076923,0.5384615384615384,0.7019230769230769,0.5,0.8970331588132635,0.7007125890736342,0.7445520581113801,0.5
MoMo-72B-lora-1.8.7-DPO,0.8888888888888888,0.925,0.9122807017543859,0.825,0.9583333333333334,0.5360824742268041,0.5,0.574468085106383,0.7254901960784313,0.8518518518518519,0.7770562770562771,0.6730769230769231,0.625,0.75,0.5,0.9022687609075044,0.669833729216152,0.7348668280871671,0.5
Qwen-72B-Chat,0.8686868686868687,0.9333333333333333,0.868421052631579,0.8583333333333333,0.9333333333333333,0.5773195876288659,0.5,0.5531914893617021,0.7450980392156863,0.8796296296296297,0.7835497835497836,0.6858974358974359,0.6442307692307693,0.7115384615384616,0.4666666666666667,0.893542757417103,0.6864608076009501,0.738498789346247,0.4666666666666667
Yi-1.5-34B-Chat,0.8585858585858586,0.925,0.8596491228070176,0.7833333333333333,0.9416666666666667,0.5154639175257731,0.7,0.5851063829787234,0.6862745098039216,0.8611111111111112,0.7380952380952381,0.6923076923076923,0.6153846153846154,0.6538461538461539,0.49166666666666664,0.8743455497382199,0.669833729216152,0.7033898305084746,0.49166666666666664
Phi-3-medium-4k-instruct,0.898989898989899,0.8833333333333333,0.9210526315789473,0.7833333333333333,0.9416666666666667,0.5257731958762887,0.35,0.5531914893617021,0.7156862745098039,0.7314814814814815,0.7792207792207793,0.6987179487179487,0.47115384615384615,0.7115384615384616,0.48333333333333334,0.8848167539267016,0.6223277909738717,0.7167070217917676,0.48333333333333334
gpt-3.5-turbo-0125,0.8686868686868687,0.925,0.9210526315789473,0.825,0.9333333333333333,0.5773195876288659,0.55,0.5,0.6764705882352942,0.8240740740740741,0.7640692640692641,0.6410256410256411,0.6057692307692307,0.5384615384615384,0.4166666666666667,0.8952879581151832,0.6460807600950119,0.6924939467312349,0.4166666666666667
