,1-1,1-2,1-3,1-4,1-5,2-1,2-2,2-3,2-4,2-5,3-1,3-2,3-3,3-4,4-1,1,2,3,4
gpt-4-1106-preview,0.85,0.975,0.95,0.9166666666666666,0.975,0.7129629629629629,0.37962962962962965,0.6851851851851852,0.8703703703703703,0.9259259259259259,0.8917748917748918,0.8209876543209876,0.6388888888888888,0.6851851851851852,0.575,0.9333333333333333,0.7148148148148148,0.819047619047619,0.575
gpt-4-turbo-2024-04-09,0.8666666666666667,0.9833333333333333,0.9333333333333333,0.9166666666666666,0.9666666666666667,0.7037037037037037,0.39814814814814814,0.6759259259259259,0.8240740740740741,0.9351851851851852,0.8961038961038961,0.7962962962962963,0.6481481481481481,0.6851851851851852,0.5916666666666667,0.9333333333333333,0.7074074074074074,0.8178571428571428,0.5916666666666667
gpt-4-0613,0.8333333333333334,0.9833333333333333,0.9416666666666667,0.95,0.9583333333333334,0.6111111111111112,0.3148148148148148,0.5740740740740741,0.8148148148148148,0.9074074074074074,0.8852813852813853,0.8148148148148148,0.6388888888888888,0.7037037037037037,0.575,0.9333333333333333,0.6444444444444445,0.8166666666666667,0.575
claude-3-sonnet@20240229,0.7833333333333333,0.925,0.85,0.8,0.95,0.5833333333333334,0.35185185185185186,0.5648148148148148,0.6666666666666666,0.8240740740740741,0.7813852813852814,0.6790123456790124,0.5370370370370371,0.6759259259259259,0.48333333333333334,0.8616666666666667,0.5981481481481481,0.7166666666666667,0.48333333333333334
gpt-3.5-turbo-0301,0.7666666666666667,0.9333333333333333,0.8666666666666667,0.8,0.9166666666666666,0.5462962962962963,0.21296296296296297,0.4537037037037037,0.6944444444444444,0.8148148148148148,0.7597402597402597,0.6604938271604939,0.5462962962962963,0.5555555555555556,0.375,0.8566666666666667,0.5444444444444444,0.6869047619047619,0.375
gpt-3.5-turbo-0613,0.775,0.9083333333333333,0.8666666666666667,0.7666666666666667,0.9083333333333333,0.49074074074074076,0.2962962962962963,0.5277777777777778,0.6574074074074074,0.8333333333333334,0.7402597402597403,0.6172839506172839,0.5555555555555556,0.6018518518518519,0.4,0.845,0.5611111111111111,0.675,0.4
gemini-1.0-pro-001,0.725,0.875,0.8416666666666667,0.8083333333333333,0.875,0.5648148148148148,0.23148148148148148,0.4722222222222222,0.6666666666666666,0.7962962962962963,0.6688311688311688,0.6111111111111112,0.5740740740740741,0.5555555555555556,0.4666666666666667,0.825,0.5462962962962963,0.6309523809523809,0.4666666666666667
gemini-1.0-pro-002,0.7083333333333334,0.75,0.7666666666666667,0.7166666666666667,0.7583333333333333,0.46296296296296297,0.24074074074074073,0.4351851851851852,0.5740740740740741,0.6666666666666666,0.5930735930735931,0.5061728395061729,0.4166666666666667,0.5277777777777778,0.30833333333333335,0.74,0.4759259259259259,0.5452380952380952,0.30833333333333335
chat-bison@002,0.625,0.7416666666666667,0.7666666666666667,0.6916666666666667,0.8166666666666667,0.4722222222222222,0.2777777777777778,0.37962962962962965,0.49074074074074076,0.6574074074074074,0.5108225108225108,0.5061728395061729,0.4722222222222222,0.37962962962962965,0.375,0.7283333333333334,0.45555555555555555,0.4880952380952381,0.375
Mistral-7B-Instruct-v0.3,0.7,0.75,0.8083333333333333,0.6333333333333333,0.85,0.4537037037037037,0.2962962962962963,0.4537037037037037,0.5185185185185185,0.6481481481481481,0.6471861471861472,0.5493827160493827,0.42592592592592593,0.49074074074074076,0.38333333333333336,0.7483333333333333,0.4740740740740741,0.5797619047619048,0.38333333333333336
Mistral-7B-Instruct-v0.2,0.725,0.775,0.7333333333333333,0.7,0.8583333333333333,0.4351851851851852,0.25,0.42592592592592593,0.4351851851851852,0.6574074074074074,0.5822510822510822,0.5370370370370371,0.42592592592592593,0.4537037037037037,0.35,0.7583333333333333,0.44074074074074077,0.5369047619047619,0.35
claude-3-5-sonnet@20240620,0.85,0.9916666666666667,0.9583333333333334,0.9416666666666667,0.9583333333333334,0.75,0.4166666666666667,0.6944444444444444,0.8703703703703703,0.9537037037037037,0.9307359307359307,0.8518518518518519,0.7314814814814815,0.7962962962962963,0.6416666666666667,0.94,0.737037037037037,0.8726190476190476,0.6416666666666667
gpt-4o-2024-05-13,0.8916666666666667,1.0,0.9583333333333334,0.9166666666666666,0.9833333333333333,0.7129629629629629,0.4444444444444444,0.6296296296296297,0.8888888888888888,0.9351851851851852,0.9242424242424242,0.8827160493827161,0.6296296296296297,0.7962962962962963,0.6583333333333333,0.95,0.7222222222222222,0.861904761904762,0.6583333333333333
Meta-Llama-3-70B-Instruct,0.875,0.9583333333333334,0.9333333333333333,0.8833333333333333,0.9666666666666667,0.6481481481481481,0.4074074074074074,0.6388888888888888,0.8240740740740741,0.9074074074074074,0.8701298701298701,0.7592592592592593,0.6388888888888888,0.7314814814814815,0.5666666666666667,0.9233333333333333,0.6851851851851852,0.8011904761904762,0.5666666666666667
claude-3-opus@20240229,0.8,0.975,0.9166666666666666,0.925,0.9416666666666667,0.6759259259259259,0.32407407407407407,0.6203703703703703,0.8055555555555556,0.8888888888888888,0.8831168831168831,0.7716049382716049,0.6388888888888888,0.7685185185185185,0.6,0.9116666666666666,0.662962962962963,0.8154761904761905,0.6
Qwen2-72B-Instruct,0.825,0.9583333333333334,0.9416666666666667,0.8666666666666667,0.9833333333333333,0.6944444444444444,0.3611111111111111,0.6388888888888888,0.8240740740740741,0.9351851851851852,0.841991341991342,0.7345679012345679,0.6388888888888888,0.7592592592592593,0.55,0.915,0.6907407407407408,0.7845238095238095,0.55
text-unicorn@001,0.8,0.975,0.8833333333333333,0.8166666666666667,0.975,0.6666666666666666,0.3425925925925926,0.5277777777777778,0.75,0.8425925925925926,0.8333333333333334,0.7839506172839507,0.5740740740740741,0.7222222222222222,0.5333333333333333,0.89,0.6259259259259259,0.7761904761904762,0.5333333333333333
gemini-1.5-pro-001,0.7916666666666666,0.9666666666666667,0.875,0.8416666666666667,0.9666666666666667,0.7222222222222222,0.23148148148148148,0.6666666666666666,0.7870370370370371,0.8796296296296297,0.7402597402597403,0.7654320987654321,0.6111111111111112,0.7314814814814815,0.5583333333333333,0.8883333333333333,0.6574074074074074,0.7273809523809524,0.5583333333333333
gemma-2-27b-it,0.8333333333333334,0.925,0.8583333333333333,0.8333333333333334,0.9333333333333333,0.5740740740740741,0.2777777777777778,0.5833333333333334,0.7222222222222222,0.8425925925925926,0.8181818181818182,0.6728395061728395,0.5185185185185185,0.6851851851851852,0.5,0.8766666666666667,0.6,0.7345238095238096,0.5
MoMo-72B-lora-1.8.7-DPO,0.8166666666666667,0.925,0.8833333333333333,0.825,0.9583333333333334,0.5185185185185185,0.32407407407407407,0.5462962962962963,0.6944444444444444,0.8518518518518519,0.7770562770562771,0.6481481481481481,0.6111111111111112,0.7314814814814815,0.5,0.8816666666666667,0.587037037037037,0.725,0.5
Qwen-72B-Chat,0.8,0.9333333333333333,0.8416666666666667,0.8583333333333333,0.9333333333333333,0.5462962962962963,0.2962962962962963,0.5277777777777778,0.7222222222222222,0.8796296296296297,0.7835497835497836,0.6604938271604939,0.6203703703703703,0.6944444444444444,0.4666666666666667,0.8733333333333333,0.5944444444444444,0.7273809523809524,0.4666666666666667
Yi-1.5-34B-Chat,0.7833333333333333,0.925,0.8333333333333334,0.7833333333333333,0.9416666666666667,0.5185185185185185,0.3055555555555556,0.5555555555555556,0.6574074074074074,0.8611111111111112,0.7380952380952381,0.6728395061728395,0.6111111111111112,0.6296296296296297,0.49166666666666664,0.8533333333333334,0.5796296296296296,0.6952380952380952,0.49166666666666664
Phi-3-medium-4k-instruct,0.8,0.8833333333333333,0.8916666666666667,0.7833333333333333,0.9416666666666667,0.5,0.25,0.5370370370370371,0.6759259259259259,0.7314814814814815,0.7792207792207793,0.6851851851851852,0.46296296296296297,0.6851851851851852,0.48333333333333334,0.86,0.5388888888888889,0.7083333333333334,0.48333333333333334
gpt-3.5-turbo-0125,0.8,0.925,0.8916666666666667,0.825,0.9333333333333333,0.5277777777777778,0.28703703703703703,0.5,0.6481481481481481,0.8240740740740741,0.7640692640692641,0.6172839506172839,0.5925925925925926,0.5277777777777778,0.4166666666666667,0.875,0.5574074074074075,0.6833333333333333,0.4166666666666667
c4ai-command-r-plus,0.7583333333333333,0.8833333333333333,0.8416666666666667,0.825,0.9166666666666666,0.5648148148148148,0.3055555555555556,0.48148148148148145,0.6296296296296297,0.7870370370370371,0.7077922077922078,0.6604938271604939,0.5185185185185185,0.5740740740740741,0.4666666666666667,0.845,0.5537037037037037,0.6571428571428571,0.4666666666666667
Qwen2-7B-Instruct,0.7416666666666667,0.825,0.8416666666666667,0.7583333333333333,0.9083333333333333,0.5185185185185185,0.28703703703703703,0.5277777777777778,0.6481481481481481,0.7685185185185185,0.6861471861471862,0.5987654320987654,0.5555555555555556,0.6203703703703703,0.44166666666666665,0.815,0.55,0.6440476190476191,0.44166666666666665
Meta-Llama-3-8B-Instruct,0.775,0.9166666666666666,0.8166666666666667,0.725,0.9083333333333333,0.4537037037037037,0.37962962962962965,0.4722222222222222,0.6388888888888888,0.7870370370370371,0.6904761904761905,0.5987654320987654,0.49074074074074076,0.5648148148148148,0.4166666666666667,0.8283333333333334,0.5462962962962963,0.6309523809523809,0.4166666666666667
Phi-3-small-8k-instruct,0.7583333333333333,0.8333333333333334,0.8583333333333333,0.7916666666666666,0.85,0.5370370370370371,0.24074074074074073,0.4722222222222222,0.6296296296296297,0.6481481481481481,0.7142857142857143,0.5987654320987654,0.5,0.5648148148148148,0.4166666666666667,0.8183333333333334,0.5055555555555555,0.6452380952380953,0.4166666666666667
chat-bison@001,0.7166666666666667,0.8333333333333334,0.7583333333333333,0.7166666666666667,0.8666666666666667,0.5740740740740741,0.25,0.48148148148148145,0.6203703703703703,0.8148148148148148,0.6688311688311688,0.6049382716049383,0.5,0.5,0.45,0.7783333333333333,0.5481481481481482,0.6130952380952381,0.45
gemma-2-9b-it,0.775,0.9083333333333333,0.8333333333333334,0.775,0.8583333333333333,0.5555555555555556,0.18518518518518517,0.5092592592592593,0.6018518518518519,0.7962962962962963,0.5974025974025974,0.5617283950617284,0.4351851851851852,0.6111111111111112,0.35833333333333334,0.83,0.5296296296296297,0.5714285714285714,0.35833333333333334
Phi-3-mini-4k-instruct,0.8,0.8166666666666667,0.825,0.7166666666666667,0.9,0.48148148148148145,0.2037037037037037,0.5277777777777778,0.5648148148148148,0.5925925925925926,0.6753246753246753,0.49382716049382713,0.5,0.5462962962962963,0.36666666666666664,0.8116666666666666,0.4740740740740741,0.6011904761904762,0.36666666666666664
SOLAR-0-70b-16bit,0.5833333333333334,0.75,0.7666666666666667,0.6166666666666667,0.8333333333333334,0.5185185185185185,0.25925925925925924,0.4722222222222222,0.6481481481481481,0.6666666666666666,0.6861471861471862,0.5493827160493827,0.5277777777777778,0.6018518518518519,0.475,0.71,0.512962962962963,0.6285714285714286,0.475
SOLAR-10.7B-Instruct-v1.0,0.6833333333333333,0.825,0.825,0.65,0.8666666666666667,0.46296296296296297,0.18518518518518517,0.5185185185185185,0.5462962962962963,0.7222222222222222,0.6818181818181818,0.5432098765432098,0.4444444444444444,0.48148148148148145,0.4166666666666667,0.77,0.48703703703703705,0.5988095238095238,0.4166666666666667
Yi-1.5-9B-Chat,0.725,0.7666666666666667,0.7416666666666667,0.6916666666666667,0.8583333333333333,0.5833333333333334,0.25,0.46296296296296297,0.6481481481481481,0.7037037037037037,0.5627705627705628,0.5308641975308642,0.5462962962962963,0.5740740740740741,0.44166666666666665,0.7566666666666667,0.5296296296296297,0.555952380952381,0.44166666666666665
c4ai-command-r-v01,0.7166666666666667,0.775,0.775,0.6666666666666666,0.8166666666666667,0.48148148148148145,0.21296296296296297,0.49074074074074076,0.5833333333333334,0.7037037037037037,0.6558441558441559,0.5555555555555556,0.42592592592592593,0.48148148148148145,0.375,0.75,0.49444444444444446,0.5845238095238096,0.375
Llama-2-70b-chat-hf,0.4666666666666667,0.65,0.6583333333333333,0.6,0.7583333333333333,0.4444444444444444,0.21296296296296297,0.4351851851851852,0.5,0.5185185185185185,0.538961038961039,0.4506172839506173,0.4537037037037037,0.5,0.3416666666666667,0.6266666666666667,0.4222222222222222,0.5059523809523809,0.3416666666666667
