,1-1,1-2,1-3,1-4,1-5,2-1,2-2,2-3,2-4,2-5,3-1,3-2,3-3,3-4,4-1,1,2,3,4
gpt-4-1106-preview,0.8833333333333333,0.975,0.9333333333333333,0.9416666666666667,0.95,0.6481481481481481,0.3611111111111111,0.6296296296296297,0.7870370370370371,0.8518518518518519,0.8766233766233766,0.7962962962962963,0.6666666666666666,0.6388888888888888,0.6416666666666667,0.9366666666666666,0.6555555555555556,0.8035714285714286,0.6416666666666667
gpt-4-turbo-2024-04-09,0.8833333333333333,0.9666666666666667,0.9416666666666667,0.9333333333333333,0.9416666666666667,0.6759259259259259,0.4444444444444444,0.6018518518518519,0.8055555555555556,0.8703703703703703,0.8961038961038961,0.7962962962962963,0.6481481481481481,0.6574074074074074,0.6333333333333333,0.9333333333333333,0.6796296296296296,0.8142857142857143,0.6333333333333333
gpt-4-0613,0.8083333333333333,0.9666666666666667,0.9333333333333333,0.8916666666666667,0.9166666666666666,0.6296296296296297,0.32407407407407407,0.5555555555555556,0.6666666666666666,0.8240740740740741,0.8614718614718615,0.7716049382716049,0.5648148148148148,0.6666666666666666,0.525,0.9033333333333333,0.6,0.780952380952381,0.525
claude-3-sonnet@20240229,0.775,0.8666666666666667,0.7833333333333333,0.7916666666666666,0.8166666666666667,0.5555555555555556,0.3055555555555556,0.48148148148148145,0.5648148148148148,0.6851851851851852,0.7272727272727273,0.6234567901234568,0.4722222222222222,0.6388888888888888,0.5166666666666667,0.8066666666666666,0.5185185185185185,0.6630952380952381,0.5166666666666667
gpt-3.5-turbo-0301,0.675,0.775,0.7166666666666667,0.675,0.6833333333333333,0.46296296296296297,0.24074074074074073,0.37962962962962965,0.5462962962962963,0.6851851851851852,0.6212121212121212,0.5864197530864198,0.37037037037037035,0.4351851851851852,0.35,0.705,0.46296296296296297,0.5583333333333333,0.35
gpt-3.5-turbo-0613,0.6833333333333333,0.75,0.7583333333333333,0.675,0.6583333333333333,0.4166666666666667,0.2777777777777778,0.37037037037037035,0.46296296296296297,0.6574074074074074,0.5844155844155844,0.5555555555555556,0.3888888888888889,0.4722222222222222,0.3416666666666667,0.705,0.43703703703703706,0.5392857142857143,0.3416666666666667
gemini-1.0-pro-001,0.75,0.8166666666666667,0.7916666666666666,0.7083333333333334,0.85,0.5555555555555556,0.2777777777777778,0.46296296296296297,0.5925925925925926,0.7314814814814815,0.645021645021645,0.5864197530864198,0.5185185185185185,0.5555555555555556,0.45,0.7833333333333333,0.524074074074074,0.6059523809523809,0.45
gemini-1.0-pro-002,0.5916666666666667,0.675,0.575,0.5666666666666667,0.55,0.3888888888888889,0.17592592592592593,0.4351851851851852,0.46296296296296297,0.6111111111111112,0.487012987012987,0.47530864197530864,0.2962962962962963,0.49074074074074076,0.23333333333333334,0.5916666666666667,0.4148148148148148,0.4607142857142857,0.23333333333333334
chat-bison@002,0.5916666666666667,0.65,0.675,0.6083333333333333,0.7333333333333333,0.46296296296296297,0.26851851851851855,0.3611111111111111,0.39814814814814814,0.6018518518518519,0.4675324675324675,0.4876543209876543,0.37962962962962965,0.3425925925925926,0.39166666666666666,0.6516666666666666,0.4185185185185185,0.444047619047619,0.39166666666666666
Mistral-7B-Instruct-v0.3,0.5333333333333333,0.525,0.6,0.43333333333333335,0.35833333333333334,0.3888888888888889,0.16666666666666666,0.26851851851851855,0.25,0.4074074074074074,0.4199134199134199,0.3888888888888889,0.3611111111111111,0.4351851851851852,0.39166666666666666,0.49,0.2962962962962963,0.4083333333333333,0.39166666666666666
Mistral-7B-Instruct-v0.2,0.5166666666666667,0.5166666666666667,0.5,0.4166666666666667,0.2916666666666667,0.3333333333333333,0.2222222222222222,0.25925925925925924,0.23148148148148148,0.37962962962962965,0.3939393939393939,0.36419753086419754,0.28703703703703703,0.2777777777777778,0.2833333333333333,0.4483333333333333,0.2851851851851852,0.3595238095238095,0.2833333333333333
claude-3-5-sonnet@20240620,0.8416666666666667,0.9916666666666667,0.95,0.9416666666666667,0.9666666666666667,0.7777777777777778,0.42592592592592593,0.6759259259259259,0.8703703703703703,0.9722222222222222,0.9155844155844156,0.845679012345679,0.7037037037037037,0.8055555555555556,0.7,0.9383333333333334,0.7444444444444445,0.8607142857142858,0.7
gpt-4o-2024-05-13,0.8666666666666667,1.0,0.9583333333333334,0.925,0.975,0.6944444444444444,0.42592592592592593,0.5833333333333334,0.8703703703703703,0.9722222222222222,0.9177489177489178,0.8518518518518519,0.6666666666666666,0.7407407407407407,0.625,0.945,0.7092592592592593,0.85,0.625
Meta-Llama-3-70B-Instruct,0.825,0.9333333333333333,0.9,0.8333333333333334,0.925,0.6111111111111112,0.3425925925925926,0.5925925925925926,0.6574074074074074,0.7870370370370371,0.8246753246753247,0.6604938271604939,0.5833333333333334,0.6296296296296297,0.5333333333333333,0.8833333333333333,0.5981481481481481,0.736904761904762,0.5333333333333333
claude-3-opus@20240229,0.8333333333333334,0.95,0.8916666666666667,0.9166666666666666,0.95,0.7685185185185185,0.37037037037037035,0.6759259259259259,0.7870370370370371,0.8981481481481481,0.8896103896103896,0.7592592592592593,0.6666666666666666,0.7314814814814815,0.6083333333333333,0.9083333333333333,0.7,0.8154761904761905,0.6083333333333333
Qwen2-72B-Instruct,0.825,0.95,0.9083333333333333,0.8666666666666667,0.9416666666666667,0.6851851851851852,0.3425925925925926,0.5925925925925926,0.7685185185185185,0.8703703703703703,0.8181818181818182,0.7530864197530864,0.6388888888888888,0.7129629629629629,0.6,0.8983333333333333,0.6518518518518519,0.7690476190476191,0.6
text-unicorn@001,0.775,0.9666666666666667,0.8166666666666667,0.8083333333333333,0.9166666666666666,0.6666666666666666,0.3148148148148148,0.49074074074074076,0.7037037037037037,0.8425925925925926,0.8095238095238095,0.7469135802469136,0.5462962962962963,0.7407407407407407,0.5833333333333334,0.8566666666666667,0.6037037037037037,0.7547619047619047,0.5833333333333334
gemini-1.5-pro-001,0.8,0.9333333333333333,0.8083333333333333,0.775,0.9333333333333333,0.7037037037037037,0.26851851851851855,0.6296296296296297,0.7037037037037037,0.8425925925925926,0.6991341991341992,0.7098765432098766,0.5925925925925926,0.6851851851851852,0.5583333333333333,0.85,0.6296296296296297,0.6857142857142857,0.5583333333333333
gemma-2-27b-it,0.8166666666666667,0.8666666666666667,0.7916666666666666,0.7416666666666667,0.7916666666666666,0.5740740740740741,0.2777777777777778,0.5185185185185185,0.5648148148148148,0.6944444444444444,0.7186147186147186,0.6358024691358025,0.48148148148148145,0.6296296296296297,0.48333333333333334,0.8016666666666666,0.5259259259259259,0.6607142857142857,0.48333333333333334
MoMo-72B-lora-1.8.7-DPO,0.7583333333333333,0.8916666666666667,0.8583333333333333,0.7833333333333333,0.8,0.4722222222222222,0.3055555555555556,0.48148148148148145,0.49074074074074076,0.7037037037037037,0.6623376623376623,0.6111111111111112,0.46296296296296297,0.5648148148148148,0.475,0.8183333333333334,0.49074074074074076,0.6142857142857143,0.475
