,rate,solved,pass,SD
c4ai-command-r-plus [kor],64.19047619047619,350.0,5.0,4.01900248225613
c4ai-command-r-plus [eng],67.33333333333333,349.5,5.0,3.53023866530488
c4ai-command-r-v01 [kor],56.904761904761905,350.0,0.0,3.3389069049208144
c4ai-command-r-v01 [eng],59.666666666666664,349.8333333333333,1.0,4.594288083391946
chat-bison@001 [kor],60.61904761904763,350.0,4.0,3.0313554140447643
chat-bison@001 [eng],63.42857142857144,350.0,6.0,3.527154139888222
chat-bison@002 [kor],49.38095238095238,350.0,0.0,3.7402026210164747
chat-bison@002 [eng],54.19047619047618,350.0,0.0,4.282538505888974
claude-3-5-sonnet@20240620 [kor],84.38095238095238,349.3333333333333,6.0,2.0655911179772852
claude-3-5-sonnet@20240620 [eng],84.3809523809524,349.0,6.0,2.553375783380987
claude-3-opus@20240229 [kor],80.04761904761905,344.6666666666667,6.0,2.6766818732042377
claude-3-opus@20240229 [eng],79.14285714285714,342.6666666666667,6.0,3.4428275043181835
claude-3-sonnet@20240229 [kor],65.85714285714285,349.8333333333333,5.0,3.562846832382835
claude-3-sonnet@20240229 [eng],71.42857142857143,349.6666666666667,5.0,4.918934678093106
gemini-1.0-pro-001 [kor],62.666666666666664,350.0,4.0,3.0273133056127737
gemini-1.0-pro-001 [eng],65.52380952380952,349.6666666666667,3.0,4.748934717637311
gemini-1.0-pro-002 [kor],47.333333333333336,350.0,0.0,3.6485016960185646
gemini-1.0-pro-002 [eng],56.95238095238094,349.6666666666667,1.0,4.406550473423622
gemini-1.5-pro-001 [kor],71.09523809523809,341.8333333333333,6.0,5.594214698707774
gemini-1.5-pro-001 [eng],74.57142857142857,337.5,6.0,3.786118576794844
gemma-2-27b-it [kor],65.61904761904762,350.0,6.0,3.7717171606757662
gemma-2-27b-it [eng],72.71428571428571,349.6666666666667,5.0,3.9744079266410104
gemma-2-9b-it [kor],53.714285714285715,349.6666666666667,0.0,2.410859783969025
gemma-2-9b-it [eng],62.23809523809524,348.3333333333333,1.0,3.9606912060815853
gpt-3.5-turbo-0125 [kor],56.904761904761905,350.0,0.0,2.2886885410853184
gpt-3.5-turbo-0125 [eng],69.04761904761905,350.0,4.0,4.509098888815332
gpt-3.5-turbo-0301 [kor],56.38095238095238,348.6666666666667,0.0,0.6680258254000038
gpt-3.5-turbo-0301 [eng],68.0952380952381,343.3333333333333,3.0,3.857319219953909
gpt-3.5-turbo-0613 [kor],54.904761904761905,347.0,0.0,2.223559688219504
gpt-3.5-turbo-0613 [eng],67.85714285714285,350.0,4.0,3.9661835868877704
gpt-4-0613 [kor],75.47619047619048,342.3333333333333,5.0,3.4637088375850302
gpt-4-0613 [eng],79.19047619047619,342.3333333333333,6.0,3.7227010894457475
gpt-4-1106-preview [kor],79.42857142857143,348.0,6.0,2.722543828473507
gpt-4-1106-preview [eng],81.0952380952381,347.0,6.0,2.664454865050469
gpt-4-turbo-2024-04-09 [kor],80.33333333333333,350.0,6.0,2.3240827317928443
gpt-4-turbo-2024-04-09 [eng],80.95238095238095,349.8333333333333,6.0,2.2617794451500832
gpt-4o-2024-05-13 [kor],82.80952380952381,350.0,6.0,2.3796186740765015
gpt-4o-2024-05-13 [eng],83.95238095238096,350.0,6.0,2.652171488694155
Llama-2-70b-chat-hf [kor],32.14285714285714,350.0,0.0,2.690876497821968
Llama-2-70b-chat-hf [eng],50.952380952380956,350.0,0.0,5.804056756263846
Llama-2-7b-chat-hf [kor],24.38095238095238,350.0,0.0,2.4820443625541984
Llama-2-7b-chat-hf [eng],33.047619047619044,350.0,0.0,2.994780039167016
Meta-Llama-3-70B-Instruct [kor],73.14285714285714,349.6666666666667,6.0,4.237827706911808
Meta-Llama-3-70B-Instruct [eng],79.28571428571429,349.8333333333333,6.0,3.1075943842694227
Meta-Llama-3-8B-Instruct [kor],50.952380952380956,349.8333333333333,0.0,1.7015399187906504
Meta-Llama-3-8B-Instruct [eng],65.33333333333333,349.8333333333333,3.0,3.6929791819200974
Mistral-7B-Instruct-v0.1 [kor],29.571428571428573,350.0,0.0,1.2486727647664095
Mistral-7B-Instruct-v0.1 [eng],47.38095238095238,350.0,0.0,6.013363802206471
Mistral-7B-Instruct-v0.2 [kor],36.142857142857146,349.6666666666667,0.0,3.2614007257430906
Mistral-7B-Instruct-v0.2 [eng],56.47619047619048,349.0,1.0,4.591622066032756
Mistral-7B-Instruct-v0.3 [kor],40.1904761904762,350.0,0.0,3.059500648420765
Mistral-7B-Instruct-v0.3 [eng],58.95238095238096,350.0,1.0,4.827359667617921
MoMo-72B-lora-1.8.7-DPO [kor],63.285714285714285,349.6666666666667,5.0,3.0865078344700296
MoMo-72B-lora-1.8.7-DPO [eng],72.14285714285714,349.8333333333333,6.0,4.186469946416058
Phi-3-medium-4k-instruct [kor],44.76190476190476,349.8333333333333,0.0,3.265986323710903
Phi-3-medium-4k-instruct [eng],69.52380952380953,350.0,6.0,4.50547663714852
Phi-3-mini-4k-instruct [kor],33.38095238095238,350.0,0.0,2.0793771961357863
Phi-3-mini-4k-instruct [eng],61.52380952380952,350.0,1.0,4.095459573191543
Phi-3-small-8k-instruct [kor],39.476190476190474,349.1666666666667,0.0,2.6583202716502505
Phi-3-small-8k-instruct [eng],64.57142857142857,350.0,3.0,4.004079552309683
Qwen-72B-Chat [kor],65.14285714285714,350.0,5.0,2.643436229993232
Qwen-72B-Chat [eng],72.0,350.0,5.0,4.056740422696882
Qwen2-72B-Instruct [kor],76.6190476190476,350.0,6.0,3.9730383856194296
Qwen2-72B-Instruct [eng],78.42857142857143,350.0,6.0,4.0557341618795375
Qwen2-7B-Instruct [kor],55.333333333333336,350.0,1.0,4.150895321829872
Qwen2-7B-Instruct [eng],65.71428571428571,350.0,5.0,4.477608691236509
SOLAR-0-70b-16bit [kor],47.904761904761905,350.0,0.0,2.9341990064622085
SOLAR-0-70b-16bit [eng],61.333333333333336,350.0,3.0,4.402843855237818
SOLAR-10.7B-Instruct-v1.0 [kor],49.14285714285714,350.0,0.0,2.722543828473507
SOLAR-10.7B-Instruct-v1.0 [eng],60.857142857142854,349.6666666666667,2.0,3.8247315498700583
text-unicorn@001 [kor],73.52380952380953,350.0,6.0,2.7740292167239495
text-unicorn@001 [eng],75.61904761904762,350.0,6.0,2.9341990064622094
Yi-1.5-34B-Chat [kor],46.714285714285715,350.0,0.0,4.043639500272405
Yi-1.5-34B-Chat [eng],69.90476190476191,350.0,6.0,4.5487532866253595
Yi-1.5-9B-Chat [kor],38.19047619047619,350.0,0.0,3.345013549488028
Yi-1.5-9B-Chat [eng],60.0,350.0,3.0,4.140393356054127
