,rate,solved,pass,SD
c4ai-command-r-plus,67.33333333333333,349.5,5.0,3.53023866530488
c4ai-command-r-v01,59.666666666666664,349.8333333333333,1.0,4.594288083391946
chat-bison@001,63.42857142857144,350.0,6.0,3.527154139888222
chat-bison@002,54.19047619047618,350.0,0.0,4.282538505888974
claude-3-5-sonnet@20240620,84.3809523809524,349.0,6.0,2.553375783380987
claude-3-opus@20240229,79.14285714285714,342.6666666666667,6.0,3.4428275043181835
claude-3-sonnet@20240229,71.42857142857143,349.6666666666667,5.0,4.918934678093106
gemini-1.0-pro-001,65.52380952380952,349.6666666666667,3.0,4.748934717637311
gemini-1.0-pro-002,56.95238095238094,349.6666666666667,1.0,4.406550473423622
gemini-1.5-pro-001,74.57142857142857,337.5,6.0,3.786118576794844
gemma-2-27b-it,72.71428571428571,349.6666666666667,5.0,3.9744079266410104
gemma-2-9b-it,62.23809523809524,348.3333333333333,1.0,3.9606912060815853
gpt-3.5-turbo-0125,69.04761904761905,350.0,4.0,4.509098888815332
gpt-3.5-turbo-0301,68.0952380952381,343.3333333333333,3.0,3.857319219953909
gpt-3.5-turbo-0613,67.85714285714285,350.0,4.0,3.9661835868877704
gpt-4-0613,79.19047619047619,342.3333333333333,6.0,3.7227010894457475
gpt-4-1106-preview,81.0952380952381,347.0,6.0,2.664454865050469
gpt-4-turbo-2024-04-09,80.95238095238095,349.8333333333333,6.0,2.2617794451500832
gpt-4o-2024-05-13,83.95238095238096,350.0,6.0,2.652171488694155
Llama-2-70b-chat-hf,50.952380952380956,350.0,0.0,5.804056756263846
Llama-2-7b-chat-hf,33.047619047619044,350.0,0.0,2.994780039167016
Meta-Llama-3-70B-Instruct,79.28571428571429,349.8333333333333,6.0,3.1075943842694227
Meta-Llama-3-8B-Instruct,65.33333333333333,349.8333333333333,3.0,3.6929791819200974
Mistral-7B-Instruct-v0.1,47.38095238095238,350.0,0.0,6.013363802206471
Mistral-7B-Instruct-v0.2,56.47619047619048,349.0,1.0,4.591622066032756
Mistral-7B-Instruct-v0.3,58.95238095238096,350.0,1.0,4.827359667617921
MoMo-72B-lora-1.8.7-DPO,72.14285714285714,349.8333333333333,6.0,4.186469946416058
Phi-3-medium-4k-instruct,69.52380952380953,350.0,6.0,4.50547663714852
Phi-3-mini-4k-instruct,61.52380952380952,350.0,1.0,4.095459573191543
Phi-3-small-8k-instruct,64.57142857142857,350.0,3.0,4.004079552309683
Qwen-72B-Chat,72.0,350.0,5.0,4.056740422696882
Qwen2-72B-Instruct,78.42857142857143,350.0,6.0,4.0557341618795375
Qwen2-7B-Instruct,65.71428571428571,350.0,5.0,4.477608691236509
SOLAR-0-70b-16bit,61.333333333333336,350.0,3.0,4.402843855237818
SOLAR-10.7B-Instruct-v1.0,60.857142857142854,349.6666666666667,2.0,3.8247315498700583
text-unicorn@001,75.61904761904762,350.0,6.0,2.9341990064622094
Yi-1.5-34B-Chat,69.90476190476191,350.0,6.0,4.5487532866253595
Yi-1.5-9B-Chat,60.0,350.0,3.0,4.140393356054127
