,rate,solved,pass,SD
c4ai-command-r-plus,64.19047619047619,350.0,5.0,4.01900248225613
c4ai-command-r-v01,56.904761904761905,350.0,0.0,3.3389069049208144
chat-bison@001,60.61904761904763,350.0,4.0,3.0313554140447643
chat-bison@002,49.38095238095238,350.0,0.0,3.7402026210164747
claude-3-5-sonnet@20240620,84.38095238095238,349.3333333333333,6.0,2.0655911179772852
claude-3-opus@20240229,80.04761904761905,344.6666666666667,6.0,2.6766818732042377
claude-3-sonnet@20240229,65.85714285714285,349.8333333333333,5.0,3.562846832382835
gemini-1.0-pro-001,62.666666666666664,350.0,4.0,3.0273133056127737
gemini-1.0-pro-002,47.333333333333336,350.0,0.0,3.6485016960185646
gemini-1.5-pro-001,71.09523809523809,341.8333333333333,6.0,5.594214698707774
gemma-2-27b-it,65.61904761904762,350.0,6.0,3.7717171606757662
gemma-2-9b-it,53.714285714285715,349.6666666666667,0.0,2.410859783969025
gpt-3.5-turbo-0125,56.904761904761905,350.0,0.0,2.2886885410853184
gpt-3.5-turbo-0301,56.38095238095238,348.6666666666667,0.0,0.6680258254000038
gpt-3.5-turbo-0613,54.904761904761905,347.0,0.0,2.223559688219504
gpt-4-0613,75.47619047619048,342.3333333333333,5.0,3.4637088375850302
gpt-4-1106-preview,79.42857142857143,348.0,6.0,2.722543828473507
gpt-4-turbo-2024-04-09,80.33333333333333,350.0,6.0,2.3240827317928443
gpt-4o-2024-05-13,82.80952380952381,350.0,6.0,2.3796186740765015
Llama-2-70b-chat-hf,32.14285714285714,350.0,0.0,2.690876497821968
Llama-2-7b-chat-hf,24.38095238095238,350.0,0.0,2.4820443625541984
Meta-Llama-3-70B-Instruct,73.14285714285714,349.6666666666667,6.0,4.237827706911808
Meta-Llama-3-8B-Instruct,50.952380952380956,349.8333333333333,0.0,1.7015399187906504
Mistral-7B-Instruct-v0.1,29.571428571428573,350.0,0.0,1.2486727647664095
Mistral-7B-Instruct-v0.2,36.142857142857146,349.6666666666667,0.0,3.2614007257430906
Mistral-7B-Instruct-v0.3,40.1904761904762,350.0,0.0,3.059500648420765
MoMo-72B-lora-1.8.7-DPO,63.285714285714285,349.6666666666667,5.0,3.0865078344700296
Phi-3-medium-4k-instruct,44.76190476190476,349.8333333333333,0.0,3.265986323710903
Phi-3-mini-4k-instruct,33.38095238095238,350.0,0.0,2.0793771961357863
Phi-3-small-8k-instruct,39.476190476190474,349.1666666666667,0.0,2.6583202716502505
Qwen-72B-Chat,65.14285714285714,350.0,5.0,2.643436229993232
Qwen2-72B-Instruct,76.6190476190476,350.0,6.0,3.9730383856194296
Qwen2-7B-Instruct,55.333333333333336,350.0,1.0,4.150895321829872
SOLAR-0-70b-16bit,47.904761904761905,350.0,0.0,2.9341990064622085
SOLAR-10.7B-Instruct-v1.0,49.14285714285714,350.0,0.0,2.722543828473507
text-unicorn@001,73.52380952380953,350.0,6.0,2.7740292167239495
Yi-1.5-34B-Chat,46.714285714285715,350.0,0.0,4.043639500272405
Yi-1.5-9B-Chat,38.19047619047619,350.0,0.0,3.345013549488028
