name,eng-rate,kor-rate,eng-pass,kor-pass
c4ai-command-r-plus,67.33333333333333,64.19047619047619,5,5
c4ai-command-r-v01,59.666666666666664,56.904761904761905,1,0
chat-bison@001,63.42857142857144,60.61904761904763,6,4
chat-bison@002,54.19047619047618,49.38095238095238,0,0
claude-3-5-sonnet@20240620,84.3809523809524,84.38095238095238,6,6
claude-3-opus@20240229,79.14285714285714,80.04761904761905,6,6
claude-3-sonnet@20240229,71.42857142857143,65.85714285714285,5,5
gemini-1.0-pro-001,65.52380952380952,62.666666666666664,3,4
gemini-1.0-pro-002,56.95238095238094,47.333333333333336,1,0
gemini-1.5-pro-001,74.57142857142857,71.09523809523809,6,6
gemma-2-27b-it,72.71428571428571,65.61904761904762,5,6
gemma-2-9b-it,62.23809523809524,53.714285714285715,1,0
gpt-3.5-turbo-0125,69.04761904761905,56.904761904761905,4,0
gpt-3.5-turbo-0301,68.0952380952381,56.38095238095238,3,0
gpt-3.5-turbo-0613,67.85714285714285,54.904761904761905,4,0
gpt-4-0613,79.19047619047619,75.47619047619048,6,5
gpt-4-1106-preview,81.0952380952381,79.42857142857143,6,6
gpt-4-turbo-2024-04-09,80.95238095238095,80.33333333333333,6,6
gpt-4o-2024-05-13,83.95238095238096,82.80952380952381,6,6
Llama-2-70b-chat-hf,50.952380952380956,32.14285714285714,0,0
Llama-2-7b-chat-hf,33.047619047619044,24.38095238095238,0,0
Meta-Llama-3-70B-Instruct,79.28571428571429,73.14285714285714,6,6
Meta-Llama-3-8B-Instruct,65.33333333333333,50.952380952380956,3,0
Mistral-7B-Instruct-v0.1,47.38095238095238,29.571428571428573,0,0
Mistral-7B-Instruct-v0.2,56.47619047619048,36.142857142857146,1,0
Mistral-7B-Instruct-v0.3,58.95238095238096,40.1904761904762,1,0
MoMo-72B-lora-1.8.7-DPO,72.14285714285714,63.285714285714285,6,5
Phi-3-medium-4k-instruct,69.52380952380953,44.76190476190476,6,0
Phi-3-mini-4k-instruct,61.52380952380952,33.38095238095238,1,0
Phi-3-small-8k-instruct,64.57142857142857,39.476190476190474,3,0
Qwen-72B-Chat,72.0,65.14285714285714,5,5
Qwen2-72B-Instruct,78.42857142857143,76.6190476190476,6,6
Qwen2-7B-Instruct,65.71428571428571,55.333333333333336,5,1
SOLAR-0-70b-16bit,61.333333333333336,47.904761904761905,3,0
SOLAR-10.7B-Instruct-v1.0,60.857142857142854,49.14285714285714,2,0
text-unicorn@001,75.61904761904762,73.52380952380953,6,6
Yi-1.5-34B-Chat,69.90476190476191,46.714285714285715,6,0
Yi-1.5-9B-Chat,60.0,38.19047619047619,3,0
