,score,solved,total,rate,rate*,40_pass,40_pass*
2019_1,68,100,100,68.0,68.0,True,True
2019_2,38,90,90,42.22222222222222,42.22222222222222,True,True
2019_3,79,140,140,56.42857142857143,56.42857142857143,True,True
2019_4,6,20,20,30.0,30.0,False,False
2020_1,70,100,100,70.0,70.0,True,True
2020_2,43,90,90,47.77777777777778,47.77777777777778,True,True
2020_3,90,140,140,64.28571428571429,64.28571428571429,True,True
2020_4,6,20,20,30.0,30.0,False,False
2021_1,58,100,100,57.99999999999999,57.99999999999999,True,True
2021_2,38,90,90,42.22222222222222,42.22222222222222,True,True
2021_3,60,140,140,42.857142857142854,42.857142857142854,True,True
2021_4,9,20,20,45.0,45.0,True,True
2022_1,54,100,100,54.0,54.0,True,True
2022_2,35,90,90,38.88888888888889,38.88888888888889,False,False
2022_3,59,140,140,42.142857142857146,42.142857142857146,True,True
2022_4,4,20,20,20.0,20.0,False,False
2023_1,66,100,100,66.0,66.0,True,True
2023_2,33,90,90,36.666666666666664,36.666666666666664,False,False
2023_3,63,140,140,45.0,45.0,True,True
2023_4,8,20,20,40.0,40.0,True,True
2024_1,60,100,100,60.0,60.0,True,True
2024_2,41,90,90,45.55555555555556,45.55555555555556,True,True
2024_3,74,140,140,52.85714285714286,52.85714285714286,True,True
2024_4,8,20,20,40.0,40.0,True,True
