,2019_1,2019_2,2019_3,2019_4,2020_1,2020_2,2020_3,2020_4,2021_1,2021_2,2021_3,2021_4,2022_1,2022_2,2022_3,2022_4,2023_1,2023_2,2023_3,2023_4,2024_1,2024_2,2024_3,2024_4
1,4,2,3,3,2,2,2,2,4,5,4,2,2,3,3,3,3,3,1,3,1,3,3,4
2,3,3,3,1,4,1,5,3,3,2,1,2,2,4,2,3,3,3,4,3,3,5,5,2
3,2,3,4,3,1,4,3,4,3,5,3,4,4,3,2,2,2,3,3,5,3,1,3,5
4,4,4,5,4,4,3,5,3,3,3,2,4,4,3,4,3,4,3,3,5,3,3,3,4
5,4,5,4,4,3,3,3,3,3,4,2,3,1,4,3,5,3,2,2,1,2,3,5,3
6,2,3,2,3,2,3,4,5,3,1,3,4,3,1,1,2,3,3,4,3,3,2,1,4
7,5,3,2,4,3,3,2,4,3,3,4,2,3,3,2,1,2,3,4,3,2,1,4,4
8,3,4,4,4,5,3,4,2,3,2,4,5,2,3,3,4,4,3,4,3,3,4,4,1
9,3,3,5,4,1,3,4,5,2,4,3,4,3,3,3,1,4,3,3,3,5,4,4,3
10,3,3,1,3,2,4,4,5,2,4,2,4,4,3,4,3,3,3,2,2,2,3,1,5
11,3,3,2,2,4,2,5,5,3,3,5,5,3,3,1,3,4,4,4,3,4,3,3,5
12,4,2,4,4,4,4,4,5,5,4,2,2,3,3,3,4,1,4,1,3,2,3,2,4
13,3,3,3,3,2,3,2,3,3,3,4,1,3,4,4,3,3,4,3,5,3,3,3,1
14,3,2,2,4,4,3,4,3,3,4,3,4,4,4,3,4,2,2,2,3,3,3,3,3
15,2,3,3,4,1,3,3,4,4,3,5,3,4,4,4,3,4,3,2,4,3,2,3,2
16,3,5,4,3,5,3,3,5,3,3,5,2,4,3,1,2,2,4,3,4,3,3,3,3
17,3,3,3,5,5,3,4,5,4,2,3,5,3,3,4,3,5,1,4,5,5,3,4,2
18,4,4,2,1,2,2,3,1,4,4,3,3,3,3,4,2,3,3,2,3,3,3,5,2
19,1,4,3,4,3,3,5,2,2,4,2,1,3,3,3,3,3,4,4,3,3,4,4,3
20,4,4,3,3,3,4,1,2,4,3,3,2,1,3,4,4,3,4,5,2,3,4,3,2
21,4,3,3,,3,3,3,,3,3,3,,1,3,4,,3,3,3,,4,4,4,
22,2,3,4,,1,3,5,,4,2,1,,3,3,2,,3,3,2,,3,3,3,
23,2,3,2,,3,3,3,,3,3,1,,5,3,3,,2,3,3,,3,3,2,
24,3,2,3,,5,3,3,,2,3,5,,5,3,1,,3,3,2,,4,3,4,
25,2,3,3,,4,4,4,,2,3,4,,4,3,1,,1,3,4,,3,3,4,
26,4,3,2,,4,3,2,,1,3,3,,3,3,4,,4,3,2,,4,4,3,
27,1,3,3,,2,4,1,,5,3,1,,5,3,4,,3,3,2,,3,3,2,
28,3,3,4,,2,3,2,,3,3,4,,1,3,3,,2,3,5,,3,3,4,
29,3,3,3,,1,3,3,,3,3,4,,4,3,3,,1,3,3,,3,3,5,
30,5,1,2,,4,4,5,,3,3,4,,1,4,5,,4,3,3,,5,3,3,
31,1,3,3,,5,1,4,,3,3,5,,4,1,3,,3,3,3,,2,1,4,
32,3,3,1,,5,3,1,,4,3,4,,4,2,4,,4,3,3,,4,3,3,
33,2,1,5,,5,3,3,,3,3,1,,1,3,2,,3,1,2,,4,1,1,
34,3,3,4,,2,5,3,,4,2,3,,1,3,2,,1,3,4,,1,4,4,
35,4,3,2,,3,4,1,,5,3,4,,3,2,5,,3,4,2,,5,3,3,
36,4,4,4,,5,3,4,,5,3,3,,5,1,2,,5,5,3,,2,4,5,
37,5,4,2,,3,4,2,,3,3,4,,3,3,4,,2,3,2,,4,3,3,
38,3,4,3,,1,3,3,,3,3,1,,1,3,3,,1,2,3,,3,3,3,
39,4,3,1,,4,3,4,,4,3,4,,1,3,3,,4,3,4,,2,3,1,
40,1,3,4,,5,3,1,,3,3,4,,4,3,3,,4,2,5,,5,5,1,
41,1,3,3,,3,4,4,,4,4,3,,3,3,3,,5,2,4,,3,3,3,
42,4,3,4,,3,3,5,,2,4,1,,3,4,3,,1,3,3,,5,3,3,
43,1,5,4,,3,4,5,,1,3,3,,5,3,3,,3,3,3,,3,4,1,
44,3,4,1,,3,3,3,,1,3,3,,4,5,4,,3,2,4,,3,1,3,
45,3,3,3,,3,4,5,,1,3,3,,2,3,1,,3,4,3,,3,4,4,
46,1,2,4,,3,2,2,,2,3,2,,2,4,3,,5,3,3,,1,1,3,
47,2,4,2,,3,4,3,,2,3,4,,4,4,3,,2,2,4,,3,3,3,
48,2,4,3,,5,4,4,,3,2,5,,2,5,4,,2,4,4,,2,1,5,
49,2,3,2,,2,4,1,,1,4,3,,3,5,3,,2,3,4,,3,3,4,
50,1,4,1,,3,3,3,,2,3,2,,4,2,3,,4,1,3,,3,3,3,
51,4,2,2,,3,3,4,,4,3,4,,5,2,4,,4,3,3,,5,3,3,
52,3,1,3,,4,4,3,,2,5,4,,3,5,2,,5,4,5,,3,1,2,
53,2,3,3,,3,3,4,,4,3,5,,3,5,1,,5,4,3,,4,3,3,
54,4,3,4,,2,3,4,,3,3,3,,2,3,3,,4,3,3,,3,2,5,
55,2,3,2,,1,5,1,,2,4,4,,2,3,1,,1,3,5,,3,2,3,
56,2,3,2,,1,5,1,,4,4,3,,1,2,3,,2,4,4,,1,3,1,
57,1,1,3,,4,2,3,,5,4,1,,2,2,4,,2,3,2,,3,4,5,
58,3,5,2,,5,4,3,,4,3,5,,2,3,3,,1,3,2,,1,4,3,
59,2,2,4,,1,1,3,,3,5,3,,3,1,2,,3,4,4,,3,3,4,
60,3,3,1,,3,3,3,,4,3,2,,3,2,3,,2,1,1,,5,3,3,
61,4,5,5,,2,1,3,,3,5,5,,3,3,4,,5,3,4,,4,4,1,
62,4,5,1,,3,2,4,,2,5,2,,4,2,3,,4,4,2,,3,3,5,
63,1,1,1,,3,5,5,,3,1,4,,3,5,3,,3,5,1,,1,2,3,
64,3,4,1,,1,4,4,,2,3,3,,1,4,1,,3,2,4,,1,3,4,
65,1,5,5,,2,3,2,,4,3,5,,4,3,4,,1,2,2,,2,5,4,
66,2,2,1,,3,3,5,,4,3,4,,3,4,4,,5,2,2,,3,4,1,
67,4,4,3,,1,4,2,,3,5,3,,4,3,1,,1,3,3,,3,3,2,
68,1,3,1,,1,3,4,,4,4,3,,4,1,1,,3,3,1,,2,1,2,
69,1,3,4,,2,3,4,,3,4,4,,1,3,3,,5,4,2,,5,4,3,
70,5,3,3,,5,2,4,,4,3,1,,5,3,4,,4,2,3,,4,5,3,
71,2,3,2,,2,3,4,,5,1,3,,4,3,3,,3,3,4,,4,1,2,
72,3,5,4,,2,3,4,,3,3,4,,3,1,4,,4,5,4,,4,4,2,
73,3,3,2,,1,5,2,,3,3,2,,4,5,3,,3,5,3,,5,3,2,
74,1,1,3,,3,1,2,,4,1,2,,1,3,3,,3,2,4,,1,2,3,
75,4,4,3,,3,3,4,,5,3,2,,3,1,1,,1,5,3,,4,3,3,
76,5,1,3,,3,1,4,,2,4,1,,1,3,3,,4,1,1,,1,5,2,
77,4,3,2,,2,5,3,,5,3,3,,1,1,1,,1,3,3,,2,2,3,
78,3,4,3,,1,4,4,,5,3,5,,3,3,1,,1,1,3,,4,5,4,
79,4,4,2,,1,1,3,,1,1,4,,2,3,4,,3,3,3,,2,4,1,
80,3,3,4,,3,5,5,,3,4,5,,3,3,5,,3,2,1,,2,1,5,
