,2019_1,2019_2,2019_3,2019_4,2020_1,2020_2,2020_3,2020_4,2021_1,2021_2,2021_3,2021_4,2022_1,2022_2,2022_3,2022_4,2023_1,2023_2,2023_3,2023_4,2024_1,2024_2,2024_3,2024_4
1,2,1,1,1,2,3,2,4,1,1,4,4,2,1,1,3,1,1,1,1,1,1,1,4
2,2,1,2,1,3,1,3,1,3,3,3,1,2,3,4,2,2,3,1,1,1,1,1,1
3,1,2,3,5,2,4,3,4,1,1,1,4,1,2,3,4,2,1,3,4,1,1,2,4
4,4,2,1,2,1,2,1,4,2,2,4,1,2,1,4,2,1,1,1,4,2,1,2,4
5,2,1,1,4,3,1,3,3,1,2,3,5,1,4,3,4,1,1,1,1,1,3,3,4
6,1,3,4,5,3,4,1,2,1,1,3,3,4,1,3,1,2,3,3,4,2,1,2,1
7,1,1,3,3,4,3,2,4,3,3,3,2,1,1,3,4,2,1,1,4,2,1,4,1
8,3,3,1,1,3,1,1,4,1,1,4,3,1,3,4,3,1,1,1,1,1,2,1,4
9,3,4,1,3,3,3,4,4,1,3,1,1,2,3,2,1,3,3,1,4,1,1,1,1
10,1,3,1,1,3,1,1,1,2,3,1,1,3,1,1,2,1,1,3,3,1,3,3,3
11,1,1,1,4,1,1,3,1,3,1,5,3,3,2,1,1,1,1,3,1,1,1,1,1
12,3,1,2,3,2,1,3,1,1,5,3,4,1,3,2,1,1,4,1,1,2,2,3,3
13,3,2,2,1,3,2,4,4,1,2,3,4,1,3,1,4,1,1,3,3,1,1,1,1
14,3,1,3,3,3,1,3,1,3,2,3,2,1,3,1,1,2,1,4,3,2,1,3,2
15,1,1,3,1,2,1,1,3,3,3,1,4,2,3,1,1,4,1,3,1,1,3,1,1
16,1,1,1,1,2,2,3,4,1,3,1,1,1,1,1,1,1,1,1,1,3,3,1,1
17,1,2,3,2,1,3,2,3,1,1,3,4,2,3,1,2,1,2,1,1,1,2,4,4
18,1,2,3,4,1,2,2,1,1,2,3,4,1,2,1,3,1,1,1,1,3,1,1,2
19,1,1,3,1,1,1,4,2,3,1,3,3,1,3,1,1,3,1,1,1,4,1,1,1
20,1,1,3,3,1,1,3,2,1,1,1,3,1,4,3,1,3,1,1,4,1,1,1,4
21,1,2,3,,1,2,3,,3,3,4,,1,3,4,,1,1,4,,4,1,2,
22,1,1,4,,1,1,2,,1,1,2,,1,1,2,,1,1,3,,3,1,1,
23,1,1,1,,3,1,3,,3,1,1,,1,3,2,,1,1,4,,1,1,3,
24,1,1,1,,2,1,1,,1,1,1,,1,1,1,,1,1,3,,4,4,4,
25,1,1,3,,3,2,1,,1,1,3,,1,1,1,,1,1,2,,2,3,1,
26,1,1,1,,3,1,3,,1,1,3,,1,1,4,,1,1,1,,1,1,2,
27,1,1,1,,2,2,1,,1,1,1,,1,1,4,,1,1,2,,1,1,2,
28,3,1,1,,1,1,1,,3,5,4,,1,1,1,,3,1,1,,1,1,3,
29,1,1,3,,1,1,2,,1,1,3,,1,1,3,,3,1,3,,3,3,1,
30,3,1,1,,1,1,1,,2,2,1,,1,1,1,,2,1,3,,1,1,3,
31,1,1,1,,5,1,4,,4,1,1,,1,1,1,,3,4,1,,3,1,4,
32,2,1,1,,3,1,1,,4,2,2,,4,1,3,,1,1,3,,4,1,3,
33,2,1,4,,3,1,2,,1,1,1,,1,1,2,,1,2,4,,1,1,1,
