,score,solved,total,rate,rate*,40_pass,40_pass*
2019_1,97,100,100,97.0,97.0,True,True
2019_2,65,90,90,72.22222222222221,72.22222222222221,True,True
2019_3,114,140,140,81.42857142857143,81.42857142857143,True,True
2019_4,13,20,20,65.0,65.0,True,True
2020_1,94,100,100,94.0,94.0,True,True
2020_2,66,90,90,73.33333333333333,73.33333333333333,True,True
2020_3,123,140,140,87.85714285714286,87.85714285714286,True,True
2020_4,8,19,20,40.0,42.10526315789473,True,True
2021_1,88,100,100,88.0,88.0,True,True
2021_2,54,90,90,60.0,60.0,True,True
2021_3,111,140,140,79.28571428571428,79.28571428571428,True,True
2021_4,12,20,20,60.0,60.0,True,True
2022_1,89,100,100,89.0,89.0,True,True
2022_2,62,90,90,68.88888888888889,68.88888888888889,True,True
2022_3,104,140,140,74.28571428571429,74.28571428571429,True,True
2022_4,14,20,20,70.0,70.0,True,True
2023_1,93,100,100,93.0,93.0,True,True
2023_2,67,90,90,74.44444444444444,74.44444444444444,True,True
2023_3,107,140,140,76.42857142857142,76.42857142857142,True,True
2023_4,13,20,20,65.0,65.0,True,True
2024_1,93,100,100,93.0,93.0,True,True
2024_2,56,90,90,62.22222222222222,62.22222222222222,True,True
2024_3,114,140,140,81.42857142857143,81.42857142857143,True,True
2024_4,8,20,20,40.0,40.0,True,True
