,score,solved,total,rate,rate*,40_pass,40_pass*
2019_1,97,100,100,97.0,97.0,True,True
2019_2,55,90,90,61.111111111111114,61.111111111111114,True,True
2019_3,103,140,140,73.57142857142858,73.57142857142858,True,True
2019_4,8,20,20,40.0,40.0,True,True
2020_1,91,100,100,91.0,91.0,True,True
2020_2,60,90,90,66.66666666666666,66.66666666666666,True,True
2020_3,113,140,140,80.71428571428572,80.71428571428572,True,True
2020_4,12,20,20,60.0,60.0,True,True
2021_1,81,100,100,81.0,81.0,True,True
2021_2,48,90,90,53.333333333333336,53.333333333333336,True,True
2021_3,110,140,140,78.57142857142857,78.57142857142857,True,True
2021_4,13,20,20,65.0,65.0,True,True
2022_1,81,100,100,81.0,81.0,True,True
2022_2,55,90,90,61.111111111111114,61.111111111111114,True,True
2022_3,86,140,140,61.42857142857143,61.42857142857143,True,True
2022_4,9,20,20,45.0,45.0,True,True
2023_1,89,100,100,89.0,89.0,True,True
2023_2,54,90,90,60.0,60.0,True,True
2023_3,102,138,140,72.85714285714285,73.91304347826086,True,True
2023_4,10,20,20,50.0,50.0,True,True
2024_1,91,100,100,91.0,91.0,True,True
2024_2,51,90,90,56.666666666666664,56.666666666666664,True,True
2024_3,105,140,140,75.0,75.0,True,True
2024_4,12,20,20,60.0,60.0,True,True
