,score,solved,total,rate,rate*,40_pass,40_pass*
2019_1,71,100,100,71.0,71.0,True,True
2019_2,40,90,90,44.44444444444444,44.44444444444444,True,True
2019_3,72,140,140,51.42857142857142,51.42857142857142,True,True
2019_4,4,20,20,20.0,20.0,False,False
2020_1,62,100,100,62.0,62.0,True,True
2020_2,45,90,90,50.0,50.0,True,True
2020_3,75,140,140,53.57142857142857,53.57142857142857,True,True
2020_4,6,20,20,30.0,30.0,False,False
2021_1,66,100,100,66.0,66.0,True,True
2021_2,32,90,90,35.55555555555556,35.55555555555556,False,False
2021_3,67,140,140,47.85714285714286,47.85714285714286,True,True
2021_4,4,20,20,20.0,20.0,False,False
2022_1,52,100,100,52.0,52.0,True,True
2022_2,31,90,90,34.44444444444444,34.44444444444444,False,False
2022_3,45,140,140,32.142857142857146,32.142857142857146,False,False
2022_4,4,20,20,20.0,20.0,False,False
2023_1,70,100,100,70.0,70.0,True,True
2023_2,24,90,90,26.666666666666668,26.666666666666668,False,False
2023_3,62,140,140,44.285714285714285,44.285714285714285,True,True
2023_4,8,20,20,40.0,40.0,True,True
2024_1,60,100,100,60.0,60.0,True,True
2024_2,33,90,90,36.666666666666664,36.666666666666664,False,False
2024_3,58,140,140,41.42857142857143,41.42857142857143,True,True
2024_4,4,20,20,20.0,20.0,False,False
