,score,solved,total,rate,rate*,40_pass,40_pass*
2019_1,32,100,100,32.0,32.0,False,False
2019_2,16,90,90,17.77777777777778,17.77777777777778,False,False
2019_3,45,140,140,32.142857142857146,32.142857142857146,False,False
2019_4,6,20,20,30.0,30.0,False,False
2020_1,34,100,100,34.0,34.0,False,False
2020_2,26,90,90,28.888888888888886,28.888888888888886,False,False
2020_3,39,140,140,27.857142857142858,27.857142857142858,False,False
2020_4,6,20,20,30.0,30.0,False,False
2021_1,36,100,100,36.0,36.0,False,False
2021_2,22,90,90,24.444444444444443,24.444444444444443,False,False
2021_3,44,140,140,31.428571428571427,31.428571428571427,False,False
2021_4,5,20,20,25.0,25.0,False,False
2022_1,38,100,100,38.0,38.0,False,False
2022_2,22,90,90,24.444444444444443,24.444444444444443,False,False
2022_3,33,140,140,23.57142857142857,23.57142857142857,False,False
2022_4,4,20,20,20.0,20.0,False,False
2023_1,36,100,100,36.0,36.0,False,False
2023_2,17,90,90,18.88888888888889,18.88888888888889,False,False
2023_3,45,140,140,32.142857142857146,32.142857142857146,False,False
2023_4,8,20,20,40.0,40.0,True,True
2024_1,33,100,100,33.0,33.0,False,False
2024_2,25,90,90,27.77777777777778,27.77777777777778,False,False
2024_3,47,140,140,33.57142857142857,33.57142857142857,False,False
2024_4,2,20,20,10.0,10.0,False,False
