,score,solved,total,rate,rate*,40_pass,40_pass*
2019_1,91,100,100,91.0,91.0,True,True
2019_2,53,90,90,58.88888888888889,58.88888888888889,True,True
2019_3,106,140,140,75.71428571428571,75.71428571428571,True,True
2019_4,9,20,20,45.0,45.0,True,True
2020_1,91,100,100,91.0,91.0,True,True
2020_2,59,90,90,65.55555555555556,65.55555555555556,True,True
2020_3,117,140,140,83.57142857142857,83.57142857142857,True,True
2020_4,8,19,20,40.0,42.10526315789473,True,True
2021_1,82,100,100,82.0,82.0,True,True
2021_2,52,90,90,57.77777777777777,57.77777777777777,True,True
2021_3,96,140,140,68.57142857142857,68.57142857142857,True,True
2021_4,10,20,20,50.0,50.0,True,True
2022_1,88,100,100,88.0,88.0,True,True
2022_2,55,90,90,61.111111111111114,61.111111111111114,True,True
2022_3,89,140,140,63.57142857142857,63.57142857142857,True,True
2022_4,12,20,20,60.0,60.0,True,True
2023_1,92,100,100,92.0,92.0,True,True
2023_2,51,90,90,56.666666666666664,56.666666666666664,True,True
2023_3,105,140,140,75.0,75.0,True,True
2023_4,12,20,20,60.0,60.0,True,True
2024_1,85,100,100,85.0,85.0,True,True
2024_2,47,90,90,52.22222222222223,52.22222222222223,True,True
2024_3,96,140,140,68.57142857142857,68.57142857142857,True,True
2024_4,9,20,20,45.0,45.0,True,True
