,score,solved,total,rate,rate*,40_pass,40_pass*
2019_1,87,100,100,87.0,87.0,True,True
2019_2,44,90,90,48.888888888888886,48.888888888888886,True,True
2019_3,86,140,140,61.42857142857143,61.42857142857143,True,True
2019_4,9,20,20,45.0,45.0,True,True
2020_1,85,100,100,85.0,85.0,True,True
2020_2,45,90,90,50.0,50.0,True,True
2020_3,100,140,140,71.42857142857143,71.42857142857143,True,True
2020_4,9,20,20,45.0,45.0,True,True
2021_1,79,100,100,79.0,79.0,True,True
2021_2,46,90,90,51.11111111111111,51.11111111111111,True,True
2021_3,90,140,140,64.28571428571429,64.28571428571429,True,True
2021_4,9,20,20,45.0,45.0,True,True
2022_1,81,100,100,81.0,81.0,True,True
2022_2,47,90,90,52.22222222222223,52.22222222222223,True,True
2022_3,76,140,140,54.285714285714285,54.285714285714285,True,True
2022_4,10,20,20,50.0,50.0,True,True
2023_1,78,100,100,78.0,78.0,True,True
2023_2,43,90,90,47.77777777777778,47.77777777777778,True,True
2023_3,85,138,140,60.71428571428571,61.59420289855072,True,True
2023_4,12,20,20,60.0,60.0,True,True
2024_1,81,100,100,81.0,81.0,True,True
2024_2,40,90,90,44.44444444444444,44.44444444444444,True,True
2024_3,79,140,140,56.42857142857143,56.42857142857143,True,True
2024_4,8,20,20,40.0,40.0,True,True
