,score,solved,total,rate,rate*,40_pass,40_pass*
2019_1,57,100,100,56.99999999999999,56.99999999999999,True,True
2019_2,27,89,90,30.0,30.337078651685395,False,False
2019_3,66,140,140,47.14285714285714,47.14285714285714,True,True
2019_4,7,20,20,35.0,35.0,False,False
2020_1,58,100,100,57.99999999999999,57.99999999999999,True,True
2020_2,41,90,90,45.55555555555556,45.55555555555556,True,True
2020_3,71,140,140,50.71428571428571,50.71428571428571,True,True
2020_4,8,20,20,40.0,40.0,True,True
2021_1,54,100,100,54.0,54.0,True,True
2021_2,25,90,90,27.77777777777778,27.77777777777778,False,False
2021_3,68,140,140,48.57142857142857,48.57142857142857,True,True
2021_4,8,20,20,40.0,40.0,True,True
2022_1,63,100,100,63.0,63.0,True,True
2022_2,29,90,90,32.22222222222222,32.22222222222222,False,False
2022_3,56,140,140,40.0,40.0,True,True
2022_4,8,20,20,40.0,40.0,True,True
2023_1,55,100,100,55.00000000000001,55.00000000000001,True,True
2023_2,36,90,90,40.0,40.0,True,True
2023_3,53,140,140,37.857142857142854,37.857142857142854,False,False
2023_4,5,20,20,25.0,25.0,False,False
2024_1,48,100,100,48.0,48.0,True,True
2024_2,32,90,90,35.55555555555556,35.55555555555556,False,False
2024_3,60,140,140,42.857142857142854,42.857142857142854,True,True
2024_4,5,20,20,25.0,25.0,False,False
