,2019_1,2019_2,2019_3,2019_4,2020_1,2020_2,2020_3,2020_4,2021_1,2021_2,2021_3,2021_4,2022_1,2022_2,2022_3,2022_4,2023_1,2023_2,2023_3,2023_4,2024_1,2024_2,2024_3,2024_4
1,2,2,2,3,2,2,2,2,4,5,1,2,2,4,2,4,4,1,4,4,2,1,1,1
2,2,4,2,3,4,1,1,1,3,1,1,2,1,4,5,3,4,4,5,4,5,2,1,2
3,1,2,4,4,1,4,2,1,5,2,3,4,4,2,3,4,2,4,2,3,5,4,4,4
4,1,4,5,4,4,4,5,4,5,4,2,1,1,3,4,4,4,4,5,3,4,5,2,4
5,4,5,2,1,2,2,3,3,3,2,2,3,1,4,3,2,5,2,1,1,3,2,5,4
6,1,2,2,3,2,5,4,4,2,2,3,4,3,2,1,1,5,5,5,1,2,2,2,5
7,1,2,1,2,5,4,2,1,2,1,2,1,4,1,3,1,2,3,5,3,2,1,4,1
8,2,4,5,5,4,4,4,1,4,3,5,5,2,5,5,3,2,2,2,4,4,4,2,3
9,1,5,5,5,1,4,4,5,4,4,2,4,5,3,4,3,2,3,2,5,1,4,1,3
10,5,3,2,1,2,4,1,5,2,3,2,1,3,4,4,4,2,2,2,2,1,5,2,4
11,3,3,2,4,5,4,2,5,5,4,5,2,3,2,5,5,5,1,1,2,3,2,3,5
12,5,2,2,1,2,3,4,2,5,2,2,1,3,3,1,4,1,1,2,4,2,1,4,4
13,3,3,3,3,2,2,2,3,3,2,1,4,2,3,1,3,2,3,2,2,1,1,2,1
14,5,2,2,2,1,1,4,1,3,3,3,2,5,4,1,1,5,2,2,3,2,2,3,4
15,2,4,2,1,4,1,2,4,5,3,1,3,4,5,5,4,4,2,1,3,2,2,2,1
16,4,2,5,4,5,1,2,2,5,1,4,4,2,2,1,3,2,2,4,2,2,2,1,3
17,5,5,1,1,5,2,5,3,4,2,4,1,4,4,2,2,3,1,5,1,2,2,4,4
18,1,4,2,1,3,2,4,4,4,4,3,2,5,1,4,1,1,2,2,4,4,2,4,2
19,4,2,3,4,2,4,4,3,2,4,3,5,3,2,2,4,3,3,4,1,3,4,4,3
20,5,,3,5,3,2,5,1,4,2,1,2,4,3,3,4,3,3,5,2,5,4,2,1
21,1,2,2,,4,4,3,,1,3,5,,1,3,4,,2,4,4,,5,5,4,
22,2,4,4,,1,2,5,,2,4,1,,1,4,2,,2,4,2,,3,4,1,
23,2,4,2,,3,2,1,,5,2,1,,5,3,2,,1,3,3,,1,2,1,
24,1,2,2,,2,2,5,,2,4,1,,5,4,1,,4,4,3,,2,2,5,
25,1,1,3,,4,4,4,,1,4,5,,4,4,1,,1,4,5,,3,2,1,
26,5,4,2,,4,4,4,,1,4,1,,5,3,5,,4,4,1,,1,4,3,
27,1,4,3,,2,4,2,,2,4,4,,5,4,1,,3,3,2,,4,3,5,
28,3,2,4,,1,1,1,,3,1,4,,1,4,4,,4,1,5,,1,3,1,
29,1,4,3,,5,4,4,,1,1,3,,4,3,4,,1,4,3,,3,3,3,
30,5,1,2,,4,4,5,,4,3,3,,3,2,1,,4,1,4,,1,4,4,
31,2,2,4,,5,1,5,,4,4,1,,4,1,1,,4,4,1,,2,1,5,
32,3,2,1,,4,3,3,,4,3,4,,4,2,1,,4,3,3,,4,4,3,
33,2,1,5,,5,2,2,,2,1,1,,4,1,2,,2,4,2,,2,2,1,
34,2,1,5,,2,1,4,,5,1,2,,1,2,2,,1,4,5,,5,4,3,
35,2,1,2,,2,4,2,,5,4,4,,1,4,5,,5,4,3,,5,4,1,
36,4,2,2,,5,4,2,,5,5,2,,1,5,2,,1,1,1,,2,4,5,
37,2,1,2,,1,4,2,,3,2,1,,1,2,4,,3,4,2,,4,4,3,
38,4,4,2,,1,4,5,,3,3,1,,1,2,3,,1,2,5,,3,5,1,
39,4,4,1,,2,4,4,,5,4,5,,4,2,3,,5,5,4,,4,4,1,
40,1,1,1,,2,2,1,,3,4,5,,2,3,3,,5,4,5,,5,2,5,
41,1,1,1,,3,3,4,,4,4,4,,4,4,5,,5,2,4,,1,2,3,
42,5,1,4,,2,5,2,,3,3,1,,1,2,1,,2,4,1,,1,3,3,
43,1,2,5,,1,2,5,,5,1,4,,1,2,1,,1,1,4,,2,4,3,
44,4,4,1,,3,5,2,,1,5,3,,2,1,4,,5,2,5,,3,1,4,
45,1,3,2,,3,4,1,,1,2,2,,2,5,4,,3,4,1,,1,4,4,
46,1,4,4,,4,2,2,,2,4,2,,1,1,3,,3,2,3,,5,3,4,
47,2,2,3,,3,3,2,,2,2,4,,1,4,1,,1,2,5,,2,4,1,
48,2,4,1,,5,4,2,,3,2,5,,2,5,1,,2,3,4,,2,1,5,
49,2,1,2,,2,2,4,,3,2,4,,2,4,2,,2,2,2,,3,4,2,
50,1,1,2,,1,3,3,,2,3,2,,5,2,4,,3,1,2,,3,2,4,
51,4,1,2,,4,4,1,,4,4,5,,1,2,4,,4,5,4,,5,4,1,
52,2,2,1,,5,2,2,,5,1,4,,1,3,5,,5,4,2,,3,1,2,
53,2,4,2,,4,4,4,,2,2,5,,3,2,2,,2,3,3,,1,3,4,
54,4,4,1,,4,3,4,,2,1,4,,2,4,3,,4,4,4,,4,2,5,
55,2,4,2,,1,5,1,,1,1,2,,2,2,5,,1,3,5,,1,2,3,
56,2,2,2,,1,3,4,,5,2,4,,1,1,3,,2,1,1,,2,1,2,
57,1,4,3,,2,2,1,,5,4,1,,2,2,3,,2,3,2,,2,4,4,
58,5,1,2,,2,2,5,,4,2,1,,2,3,1,,1,1,3,,4,4,1,
59,1,4,5,,1,3,2,,4,4,3,,4,4,4,,4,3,4,,4,4,1,
60,3,2,5,,1,4,4,,4,1,2,,4,2,3,,4,3,1,,5,1,3,
61,4,4,2,,2,2,1,,2,1,4,,4,4,4,,2,2,4,,1,1,1,
62,5,1,1,,4,4,4,,1,5,1,,4,2,4,,4,4,2,,4,2,5,
63,2,1,1,,4,5,1,,2,1,4,,4,2,4,,2,4,2,,1,2,1,
64,3,1,1,,1,4,2,,1,4,1,,2,4,1,,4,4,1,,1,1,4,
65,1,4,2,,4,3,2,,4,3,2,,2,2,4,,1,1,2,,2,2,3,
66,2,2,1,,1,3,5,,5,5,4,,2,3,2,,5,4,2,,4,1,2,
67,4,4,3,,4,4,1,,1,5,2,,4,2,5,,1,4,2,,5,3,2,
