,score,solved,total,rate,rate*,40_pass,40_pass*
2019_1,87,100,100,87.0,87.0,True,True
2019_2,42,90,90,46.666666666666664,46.666666666666664,True,True
2019_3,90,140,140,64.28571428571429,64.28571428571429,True,True
2019_4,7,20,20,35.0,35.0,False,False
2020_1,81,100,100,81.0,81.0,True,True
2020_2,46,90,90,51.11111111111111,51.11111111111111,True,True
2020_3,98,140,140,70.0,70.0,True,True
2020_4,7,20,20,35.0,35.0,False,False
2021_1,78,100,100,78.0,78.0,True,True
2021_2,46,90,90,51.11111111111111,51.11111111111111,True,True
2021_3,71,140,140,50.71428571428571,50.71428571428571,True,True
2021_4,8,20,20,40.0,40.0,True,True
2022_1,75,100,100,75.0,75.0,True,True
2022_2,45,90,90,50.0,50.0,True,True
2022_3,73,140,140,52.142857142857146,52.142857142857146,True,True
2022_4,5,20,20,25.0,25.0,False,False
2023_1,85,100,100,85.0,85.0,True,True
2023_2,39,90,90,43.333333333333336,43.333333333333336,True,True
2023_3,91,140,140,65.0,65.0,True,True
2023_4,11,20,20,55.00000000000001,55.00000000000001,True,True
2024_1,81,100,100,81.0,81.0,True,True
2024_2,38,90,90,42.22222222222222,42.22222222222222,True,True
2024_3,82,140,140,58.57142857142858,58.57142857142858,True,True
2024_4,6,20,20,30.0,30.0,False,False
