,score,solved,total,rate,rate*,40_pass,40_pass*
2019_1,50,100,100,50.0,50.0,True,True
2019_2,27,90,90,30.0,30.0,False,False
2019_3,41,140,140,29.28571428571429,29.28571428571429,False,False
2019_4,8,20,20,40.0,40.0,True,True
2020_1,41,100,100,41.0,41.0,True,True
2020_2,27,90,90,30.0,30.0,False,False
2020_3,50,140,140,35.714285714285715,35.714285714285715,False,False
2020_4,2,20,20,10.0,10.0,False,False
2021_1,36,100,100,36.0,36.0,False,False
2021_2,30,90,90,33.33333333333333,33.33333333333333,False,False
2021_3,43,140,140,30.714285714285715,30.714285714285715,False,False
2021_4,3,20,20,15.0,15.0,False,False
2022_1,48,100,100,48.0,48.0,True,True
2022_2,23,90,90,25.555555555555554,25.555555555555554,False,False
2022_3,46,140,140,32.857142857142854,32.857142857142854,False,False
2022_4,5,20,20,25.0,25.0,False,False
2023_1,43,100,100,43.0,43.0,True,True
2023_2,26,90,90,28.888888888888886,28.888888888888886,False,False
2023_3,41,140,140,29.28571428571429,29.28571428571429,False,False
2023_4,5,20,20,25.0,25.0,False,False
2024_1,39,100,100,39.0,39.0,False,False
2024_2,25,90,90,27.77777777777778,27.77777777777778,False,False
2024_3,38,140,140,27.142857142857142,27.142857142857142,False,False
2024_4,4,20,20,20.0,20.0,False,False
