,2019_1,2019_2,2019_3,2019_4,2020_1,2020_2,2020_3,2020_4,2021_1,2021_2,2021_3,2021_4,2022_1,2022_2,2022_3,2022_4,2023_1,2023_2,2023_3,2023_4,2024_1,2024_2,2024_3,2024_4
1,4,1,4,4,2,4,2,4,4,5,4,4,4,3,4,4,4,4,4,4,1,1,4,4
2,2,3,2,3,4,3,2,4,3,4,1,4,5,4,4,4,3,4,4,2,5,4,1,5
3,3,4,4,5,1,4,4,4,3,1,4,5,4,4,2,4,2,4,4,5,4,4,4,1
4,1,4,4,4,4,4,4,5,1,4,5,2,4,4,4,3,3,4,1,5,5,4,4,3
5,5,4,4,3,5,3,4,3,3,3,5,4,1,4,4,5,4,4,3,3,3,4,5,3
6,2,3,4,5,4,3,4,4,2,4,3,5,5,4,4,4,4,4,5,5,4,2,4,3
7,4,4,5,5,5,3,1,5,2,3,4,1,4,1,4,4,2,1,4,3,2,3,5,5
8,3,4,4,4,4,4,4,4,1,4,4,4,2,1,4,3,5,4,4,3,4,4,2,5
9,1,4,1,5,1,5,4,5,1,4,1,3,4,3,4,5,4,4,4,5,4,4,4,4
10,4,4,2,5,3,4,4,5,2,1,4,5,4,4,4,3,3,4,2,4,4,4,2,5
11,3,3,4,5,5,4,4,4,4,4,4,2,3,4,1,5,4,4,4,3,4,4,3,5
12,5,4,2,4,4,4,4,5,1,5,4,5,4,4,5,4,4,4,4,3,2,1,4,4
13,3,4,3,4,2,3,4,4,3,1,4,5,4,3,1,5,4,4,4,3,1,4,1,4
14,5,2,4,4,4,3,4,4,3,4,4,4,4,4,1,4,4,1,4,3,5,4,3,3
15,2,4,3,4,1,4,4,4,3,3,4,5,4,2,4,4,4,1,4,4,4,4,4,4
16,4,4,4,5,4,3,4,5,4,3,4,2,2,4,4,3,4,4,4,4,4,4,4,3
17,5,1,4,3,3,4,2,3,4,4,4,1,4,4,4,4,3,3,5,4,1,1,4,5
18,3,1,4,4,3,2,4,4,4,4,4,5,5,3,4,5,4,3,2,4,4,4,4,2
19,4,4,4,4,1,1,4,4,2,1,3,4,1,4,4,4,4,1,4,4,3,1,4,5
20,4,5,4,3,2,4,4,5,1,3,4,2,4,4,3,4,3,4,4,2,4,1,4,2
21,4,2,2,,4,5,4,,3,4,5,,1,3,4,,4,1,3,,4,4,4,
22,3,1,5,,1,4,1,,5,4,1,,1,1,2,,3,1,4,,5,4,1,
23,2,1,1,,3,4,4,,3,4,1,,4,3,4,,1,1,4,,4,4,3,
24,3,4,4,,3,4,4,,2,4,4,,5,1,4,,4,1,3,,1,3,4,
25,4,1,4,,3,1,1,,4,1,4,,4,1,4,,1,1,5,,3,1,4,
26,5,1,4,,4,1,2,,4,1,4,,1,3,1,,4,4,1,,1,4,3,
27,1,1,4,,4,1,1,,1,1,4,,5,1,4,,3,1,4,,1,3,5,
28,3,3,4,,4,4,1,,3,3,3,,1,1,1,,4,4,5,,1,3,3,
29,4,3,3,,4,1,2,,4,1,4,,4,1,3,,4,1,4,,3,3,4,
30,5,1,3,,4,4,3,,3,3,4,,3,3,5,,4,3,3,,4,1,4,
31,3,4,4,,1,1,4,,5,1,4,,4,1,3,,3,1,4,,3,2,4,
32,2,2,1,,4,3,1,,4,4,2,,4,4,4,,4,3,3,,5,3,3,
33,2,1,4,,5,2,3,,5,1,1,,4,4,4,,1,4,4,,4,3,4,
34,4,3,5,,3,1,4,,3,3,3,,1,3,4,,1,4,4,,4,3,1,
35,2,3,4,,2,1,4,,5,1,1,,4,4,4,,5,1,4,,5,3,4,
36,1,1,1,,1,1,4,,3,4,4,,4,5,4,,2,4,4,,2,3,2,
37,4,3,4,,3,4,4,,3,4,1,,4,1,4,,3,1,4,,3,4,4,
38,4,4,1,,4,4,3,,3,4,4,,1,4,3,,1,2,5,,3,5,3,
39,3,3,4,,4,3,4,,4,5,4,,4,4,4,,1,5,4,,4,4,4,
40,1,4,2,,3,3,1,,3,4,1,,4,1,4,,3,3,5,,5,4,4,
41,1,4,3,,3,4,4,,3,4,4,,4,1,5,,5,2,2,,4,3,4,
42,4,4,4,,2,4,4,,3,1,4,,4,1,5,,2,4,4,,1,3,4,
43,4,4,4,,3,4,3,,4,4,4,,5,4,4,,5,3,4,,4,4,4,
44,4,3,5,,4,1,4,,3,4,3,,4,4,4,,1,1,4,,4,4,4,
45,3,1,4,,3,4,5,,3,4,4,,1,3,4,,3,1,4,,4,3,4,
46,5,4,4,,3,2,5,,4,3,5,,1,4,4,,3,4,1,,4,1,4,
47,2,4,4,,3,4,4,,2,4,4,,4,4,4,,3,4,4,,3,4,1,
48,2,4,1,,5,4,4,,4,3,5,,4,4,4,,2,5,4,,1,4,4,
49,2,4,4,,2,2,4,,5,4,4,,1,4,4,,4,4,3,,3,4,4,
50,1,2,4,,3,3,4,,2,4,2,,5,4,4,,3,1,4,,3,4,4,
51,1,2,2,,4,4,4,,4,3,4,,4,1,4,,5,3,4,,5,4,4,
52,1,1,4,,4,4,1,,4,4,4,,1,5,5,,5,4,1,,1,3,5,
53,2,5,4,,4,4,4,,4,4,5,,3,3,4,,3,5,4,,1,4,4,
54,4,4,5,,1,3,3,,2,4,4,,2,4,1,,4,1,4,,2,2,4,
55,2,4,2,,1,4,1,,4,4,4,,2,4,5,,1,4,1,,1,4,3,
56,3,4,3,,3,4,4,,4,4,4,,1,1,3,,2,4,4,,2,4,4,
57,1,4,4,,3,4,3,,4,4,4,,2,4,4,,2,4,3,,3,3,3,
58,5,4,2,,2,4,4,,4,3,4,,2,4,3,,1,4,4,,4,4,4,
59,4,4,4,,1,4,4,,4,4,4,,4,4,4,,2,4,4,,4,3,4,
60,3,4,4,,4,4,4,,4,5,4,,4,4,4,,4,4,1,,1,4,4,
61,5,4,4,,2,4,4,,4,3,4,,4,4,4,,4,4,4,,1,3,3,
62,5,4,5,,4,4,4,,4,5,1,,4,1,4,,4,4,4,,4,2,5,
63,4,5,1,,4,4,1,,4,1,4,,4,4,4,,3,4,3,,4,4,4,
