,score,solved,total,rate,rate*,40_pass,40_pass*
2019_1,83,100,100,83.0,83.0,True,True
2019_2,48,90,90,53.333333333333336,53.333333333333336,True,True
2019_3,102,140,140,72.85714285714285,72.85714285714285,True,True
2019_4,11,20,20,55.00000000000001,55.00000000000001,True,True
2020_1,84,100,100,84.0,84.0,True,True
2020_2,48,90,90,53.333333333333336,53.333333333333336,True,True
2020_3,92,140,140,65.71428571428571,65.71428571428571,True,True
2020_4,9,20,20,45.0,45.0,True,True
2021_1,79,100,100,79.0,79.0,True,True
2021_2,44,90,90,48.888888888888886,48.888888888888886,True,True
2021_3,102,140,140,72.85714285714285,72.85714285714285,True,True
2021_4,7,20,20,35.0,35.0,False,False
2022_1,77,100,100,77.0,77.0,True,True
2022_2,47,90,90,52.22222222222223,52.22222222222223,True,True
2022_3,74,140,140,52.85714285714286,52.85714285714286,True,True
2022_4,8,20,20,40.0,40.0,True,True
2023_1,85,100,100,85.0,85.0,True,True
2023_2,49,90,90,54.44444444444444,54.44444444444444,True,True
2023_3,86,140,140,61.42857142857143,61.42857142857143,True,True
2023_4,8,20,20,40.0,40.0,True,True
2024_1,83,100,100,83.0,83.0,True,True
2024_2,37,90,90,41.11111111111111,41.11111111111111,True,True
2024_3,86,140,140,61.42857142857143,61.42857142857143,True,True
2024_4,7,20,20,35.0,35.0,False,False
