,score,solved,total,rate,rate*,40_pass,40_pass*
2019_1,57,100,100,56.99999999999999,56.99999999999999,True,True
2019_2,22,90,90,24.444444444444443,24.444444444444443,False,False
2019_3,65,140,140,46.42857142857143,46.42857142857143,True,True
2019_4,6,20,20,30.0,30.0,False,False
2020_1,52,100,100,52.0,52.0,True,True
2020_2,30,89,90,33.33333333333333,33.70786516853933,False,False
2020_3,54,140,140,38.57142857142858,38.57142857142858,False,False
2020_4,6,19,20,30.0,31.57894736842105,False,False
2021_1,38,100,100,38.0,38.0,False,False
2021_2,26,90,90,28.888888888888886,28.888888888888886,False,False
2021_3,61,140,140,43.57142857142857,43.57142857142857,True,True
2021_4,6,20,20,30.0,30.0,False,False
2022_1,51,100,100,51.0,51.0,True,True
2022_2,33,90,90,36.666666666666664,36.666666666666664,False,False
2022_3,56,140,140,40.0,40.0,True,True
2022_4,6,20,20,30.0,30.0,False,False
2023_1,41,100,100,41.0,41.0,True,True
2023_2,28,89,90,31.11111111111111,31.46067415730337,False,False
2023_3,51,140,140,36.42857142857142,36.42857142857142,False,False
2023_4,6,20,20,30.0,30.0,False,False
2024_1,49,99,100,49.0,49.494949494949495,True,True
2024_2,27,89,90,30.0,30.337078651685395,False,False
2024_3,52,140,140,37.142857142857146,37.142857142857146,False,False
2024_4,6,20,20,30.0,30.0,False,False
