,score,solved,total,rate,rate*,40_pass,40_pass*
2019_1,92,100,100,92.0,92.0,True,True
2019_2,54,90,90,60.0,60.0,True,True
2019_3,110,140,140,78.57142857142857,78.57142857142857,True,True
2019_4,8,20,20,40.0,40.0,True,True
2020_1,92,100,100,92.0,92.0,True,True
2020_2,57,90,90,63.33333333333333,63.33333333333333,True,True
2020_3,112,140,140,80.0,80.0,True,True
2020_4,9,20,20,45.0,45.0,True,True
2021_1,79,100,100,79.0,79.0,True,True
2021_2,51,90,90,56.666666666666664,56.666666666666664,True,True
2021_3,102,140,140,72.85714285714285,72.85714285714285,True,True
2021_4,8,20,20,40.0,40.0,True,True
2022_1,84,100,100,84.0,84.0,True,True
2022_2,59,90,90,65.55555555555556,65.55555555555556,True,True
2022_3,91,140,140,65.0,65.0,True,True
2022_4,12,20,20,60.0,60.0,True,True
2023_1,93,100,100,93.0,93.0,True,True
2023_2,52,90,90,57.77777777777777,57.77777777777777,True,True
2023_3,101,140,140,72.14285714285714,72.14285714285714,True,True
2023_4,12,20,20,60.0,60.0,True,True
2024_1,84,100,100,84.0,84.0,True,True
2024_2,48,90,90,53.333333333333336,53.333333333333336,True,True
2024_3,95,140,140,67.85714285714286,67.85714285714286,True,True
2024_4,7,20,20,35.0,35.0,False,False
