,score,solved,total,rate,rate*,40_pass,40_pass*
2019_1,95,100,100,95.0,95.0,True,True
2019_2,63,90,90,70.0,70.0,True,True
2019_3,109,140,140,77.85714285714286,77.85714285714286,True,True
2019_4,12,20,20,60.0,60.0,True,True
2020_1,92,100,100,92.0,92.0,True,True
2020_2,63,90,90,70.0,70.0,True,True
2020_3,120,140,140,85.71428571428571,85.71428571428571,True,True
2020_4,13,20,20,65.0,65.0,True,True
2021_1,87,100,100,87.0,87.0,True,True
2021_2,56,90,90,62.22222222222222,62.22222222222222,True,True
2021_3,111,140,140,79.28571428571428,79.28571428571428,True,True
2021_4,14,20,20,70.0,70.0,True,True
2022_1,84,100,100,84.0,84.0,True,True
2022_2,59,90,90,65.55555555555556,65.55555555555556,True,True
2022_3,96,140,140,68.57142857142857,68.57142857142857,True,True
2022_4,10,20,20,50.0,50.0,True,True
2023_1,93,100,100,93.0,93.0,True,True
2023_2,53,90,90,58.88888888888889,58.88888888888889,True,True
2023_3,107,140,140,76.42857142857142,76.42857142857142,True,True
2023_4,13,20,20,65.0,65.0,True,True
2024_1,88,100,100,88.0,88.0,True,True
2024_2,58,90,90,64.44444444444444,64.44444444444444,True,True
2024_3,103,140,140,73.57142857142858,73.57142857142858,True,True
2024_4,10,20,20,50.0,50.0,True,True
