,score,solved,total,rate,rate*,40_pass,40_pass*
2019_1,81,100,100,81.0,81.0,True,True
2019_2,51,90,90,56.666666666666664,56.666666666666664,True,True
2019_3,92,140,140,65.71428571428571,65.71428571428571,True,True
2019_4,7,20,20,35.0,35.0,False,False
2020_1,88,100,100,88.0,88.0,True,True
2020_2,58,90,90,64.44444444444444,64.44444444444444,True,True
2020_3,105,140,140,75.0,75.0,True,True
2020_4,10,20,20,50.0,50.0,True,True
2021_1,78,100,100,78.0,78.0,True,True
2021_2,49,90,90,54.44444444444444,54.44444444444444,True,True
2021_3,88,140,140,62.857142857142854,62.857142857142854,True,True
2021_4,8,20,20,40.0,40.0,True,True
2022_1,80,100,100,80.0,80.0,True,True
2022_2,53,90,90,58.88888888888889,58.88888888888889,True,True
2022_3,82,140,140,58.57142857142858,58.57142857142858,True,True
2022_4,9,20,20,45.0,45.0,True,True
2023_1,82,100,100,82.0,82.0,True,True
2023_2,44,90,90,48.888888888888886,48.888888888888886,True,True
2023_3,84,140,140,60.0,60.0,True,True
2023_4,11,20,20,55.00000000000001,55.00000000000001,True,True
2024_1,80,100,100,80.0,80.0,True,True
2024_2,42,90,90,46.666666666666664,46.666666666666664,True,True
2024_3,90,140,140,64.28571428571429,64.28571428571429,True,True
2024_4,8,20,20,40.0,40.0,True,True
