,2019_1,2019_2,2019_3,2019_4,2020_1,2020_2,2020_3,2020_4,2021_1,2021_2,2021_3,2021_4,2022_1,2022_2,2022_3,2022_4,2023_1,2023_2,2023_3,2023_4,2024_1,2024_2,2024_3,2024_4
1,5,5,4,1,2,2,2,2,2,5,5,2,2,3,4,3,1,3,1,4,1,5,1,2
2,2,3,2,1,4,1,5,4,3,2,1,2,1,4,2,1,1,5,2,3,3,2,1,4
3,3,3,4,3,1,3,4,1,5,5,3,4,4,3,2,4,2,5,1,5,4,3,4,3
4,1,3,1,2,4,3,5,4,1,2,5,1,1,3,4,2,1,3,3,3,5,3,2,3
5,4,1,4,1,5,1,3,5,1,5,2,3,1,2,1,5,3,2,1,5,3,4,5,4
6,1,2,5,3,2,3,4,3,4,1,3,5,2,1,1,3,3,3,4,1,1,2,5,4
7,5,1,2,4,5,3,2,2,2,3,4,2,4,2,3,1,2,3,1,5,2,5,4,1
8,2,2,5,4,4,4,4,3,2,1,5,5,2,5,5,3,4,3,1,3,4,1,4,1
9,1,1,3,3,1,4,4,5,2,4,3,1,2,3,1,3,4,3,2,3,4,4,3,3
10,5,1,5,1,2,4,1,5,2,4,4,1,4,2,4,4,3,3,2,4,2,3,2,1
11,3,3,1,2,2,3,5,5,5,1,5,1,3,4,1,3,5,4,4,3,4,4,1,5
12,5,2,4,1,2,3,2,3,5,2,2,2,3,1,3,4,3,1,2,1,2,2,2,3
13,3,3,5,3,2,3,2,3,3,2,3,4,4,3,1,3,3,3,3,2,1,3,2,5
14,1,2,2,2,4,1,4,1,3,3,3,4,4,5,1,4,5,2,1,3,1,2,1,1
15,2,2,3,3,2,3,3,2,1,3,5,3,4,4,1,2,4,5,2,4,3,2,3,1
16,3,1,5,3,5,1,3,2,1,5,4,2,2,2,1,2,4,2,2,4,5,2,1,3
17,5,3,3,4,5,2,5,1,4,3,3,5,4,2,2,5,3,4,4,5,5,2,4,1
18,1,2,5,1,3,2,5,1,4,5,3,5,3,1,4,1,2,2,2,3,4,3,1,2
19,1,2,3,4,1,3,4,1,2,3,1,1,3,3,2,2,3,4,2,2,2,3,2,3
20,1,5,3,3,1,3,1,1,1,5,1,2,1,1,4,4,3,3,2,1,3,3,2,2
21,4,2,2,,3,3,3,,1,2,5,,1,3,4,,2,3,4,,1,3,4,
22,2,3,4,,1,1,2,,5,3,1,,1,3,2,,3,3,4,,3,3,2,
23,2,3,2,,3,2,1,,3,3,5,,5,3,3,,2,2,3,,2,4,3,
24,3,3,4,,2,2,5,,2,3,5,,5,3,1,,4,3,2,,5,3,4,
25,2,1,3,,4,2,4,,1,3,5,,3,3,1,,1,3,4,,1,1,1,
26,4,3,2,,4,3,2,,1,3,3,,3,1,4,,4,2,1,,1,1,2,
27,1,3,3,,2,4,1,,2,3,1,,5,3,4,,3,5,4,,4,2,2,
28,3,1,4,,2,1,2,,3,5,3,,1,3,4,,5,1,1,,3,2,1,
29,3,2,3,,5,3,2,,1,2,4,,4,5,3,,1,3,3,,3,1,4,
30,3,1,2,,4,1,5,,3,3,4,,3,1,5,,4,3,3,,5,3,4,
31,2,1,3,,5,2,5,,4,3,5,,4,1,3,,4,4,2,,2,1,5,
32,3,1,1,,1,3,1,,4,2,2,,3,2,3,,4,3,1,,5,4,3,
33,2,1,5,,5,1,3,,5,3,2,,1,2,2,,1,3,5,,4,2,2,
34,1,1,1,,2,3,5,,5,1,3,,1,2,2,,2,4,5,,1,4,5,
35,5,3,2,,3,1,1,,5,5,4,,1,1,2,,5,5,5,,5,3,1,
36,4,4,2,,5,1,4,,5,5,1,,1,5,4,,5,1,3,,2,1,2,
37,5,5,2,,3,4,2,,3,2,2,,3,2,4,,3,3,2,,4,1,2,
38,3,4,1,,1,3,1,,3,3,1,,1,1,3,,1,2,5,,3,2,2,
39,2,3,1,,4,4,1,,5,2,3,,4,1,3,,4,5,4,,2,2,1,
40,1,1,3,,5,3,1,,3,5,2,,3,3,3,,4,3,5,,5,5,4,
41,1,4,3,,3,3,1,,3,1,4,,1,3,4,,5,2,1,,3,5,3,
42,2,2,4,,2,4,5,,2,4,1,,1,1,3,,1,1,3,,1,1,2,
43,1,5,5,,3,4,5,,1,3,4,,5,1,5,,2,3,3,,1,3,1,
44,1,2,5,,3,3,3,,1,3,3,,4,5,4,,5,3,4,,3,5,2,
45,3,3,2,,3,4,5,,1,1,5,,5,5,4,,3,1,3,,2,2,4,
46,1,2,4,,3,2,2,,2,3,2,,1,1,5,,5,2,1,,1,1,3,
47,2,4,2,,3,4,2,,2,4,5,,4,4,5,,2,4,4,,1,2,1,
48,2,4,2,,5,4,2,,3,2,4,,1,5,1,,2,3,4,,5,1,5,
49,2,1,2,,2,2,1,,3,4,4,,2,4,4,,2,2,5,,3,3,2,
50,1,4,1,,3,3,3,,2,5,2,,5,1,3,,3,1,3,,3,3,4,
51,4,2,2,,3,1,4,,4,3,4,,5,2,4,,5,2,5,,5,3,1,
52,2,1,5,,4,2,1,,3,5,4,,3,2,4,,5,4,5,,3,1,2,
53,2,5,3,,1,2,4,,4,3,5,,3,4,2,,5,3,3,,4,1,1,
54,4,3,1,,4,3,4,,4,2,3,,2,2,3,,4,4,4,,3,2,5,
55,2,5,1,,1,3,1,,2,2,2,,2,2,5,,1,2,5,,1,2,4,
56,2,2,5,,3,5,4,,4,4,3,,1,2,3,,2,4,3,,1,5,1,
57,1,5,3,,2,2,3,,5,3,1,,2,1,4,,2,3,2,,4,1,1,
58,5,5,2,,5,5,3,,4,2,5,,2,1,2,,1,3,1,,4,4,1,
59,3,4,5,,1,4,3,,2,4,3,,2,2,1,,1,3,4,,1,3,4,
60,1,3,1,,2,2,4,,2,3,2,,3,2,3,,1,3,1,,5,1,3,
61,4,2,2,,2,4,3,,2,2,5,,3,3,4,,5,2,4,,1,4,1,
62,5,5,1,,3,2,3,,2,5,4,,3,1,3,,2,4,1,,2,2,5,
63,1,1,1,,3,5,5,,3,4,4,,3,5,1,,2,2,2,,1,2,4,
64,3,1,1,,1,4,2,,2,2,2,,1,2,1,,1,2,4,,1,3,3,
65,1,5,5,,2,3,4,,4,3,5,,2,5,4,,1,2,2,,3,2,3,
66,2,2,1,,1,3,2,,5,5,4,,2,4,4,,5,1,2,,1,4,2,
67,2,4,3,,4,4,2,,1,5,3,,4,2,1,,1,3,5,,3,3,2,
68,4,3,1,,1,3,5,,1,5,3,,1,2,1,,1,3,1,,2,2,3,
69,1,1,4,,4,2,5,,2,3,3,,1,3,3,,1,5,2,,3,2,1,
70,5,2,1,,1,2,1,,4,3,1,,5,1,5,,2,2,5,,3,1,5,
71,2,3,2,,2,5,4,,5,4,4,,1,2,3,,3,3,5,,4,1,1,
72,3,2,4,,2,5,1,,1,4,4,,2,3,4,,4,5,4,,4,5,2,
73,3,2,2,,1,5,4,,1,2,2,,1,5,5,,3,2,5,,5,3,2,
74,1,1,3,,2,1,3,,4,5,2,,1,2,3,,4,2,4,,1,5,1,
75,2,3,2,,2,2,4,,2,4,2,,1,1,1,,1,4,3,,4,4,4,
76,1,3,3,,3,1,4,,2,4,1,,2,1,1,,1,1,1,,1,5,1,
77,4,1,2,,2,5,3,,2,1,3,,1,2,1,,1,4,3,,2,2,3,
78,2,4,3,,1,4,4,,1,1,5,,3,4,1,,1,3,1,,4,5,4,
79,3,3,1,,1,1,3,,1,2,4,,5,3,4,,4,3,1,,2,4,1,
80,2,4,3,,3,2,5,,4,1,3,,3,2,3,,2,1,4,,2,4,5,
81,5,5,2,,4,4,3,,5,3,3,,3,1,3,,3,2,2,,4,1,5,
82,2,1,1,,2,1,1,,2,1,1,,5,2,3,,2,1,3,,3,4,3,
83,1,1,5,,2,4,1,,2,2,1,,1,5,2,,1,2,2,,2,2,4,
84,2,2,3,,1,1,3,,3,5,5,,5,2,3,,2,3,1,,2,5,3,
85,4,2,2,,3,1,1,,1,1,1,,5,5,3,,1,5,1,,1,5,2,
86,1,3,1,,3,5,3,,3,5,3,,5,3,2,,5,1,1,,2,2,2,
87,1,2,3,,5,1,2,,3,4,2,,3,1,3,,3,1,2,,3,1,2,
88,4,2,1,,1,2,5,,5,4,2,,3,4,4,,1,3,1,,2,1,3,
89,4,3,2,,3,2,2,,1,1,5,,2,5,3,,3,4,1,,5,2,1,
90,3,1,1,,3,2,1,,5,3,1,,5,2,2,,1,1,5,,2,4,2,
91,2,,4,,2,,2,,2,,1,,5,,4,,2,,1,,1,,2,
92,4,,2,,1,,3,,1,,2,,2,,4,,3,,5,,4,,1,
93,3,,1,,5,,5,,1,,2,,3,,3,,4,,4,,1,,4,
94,1,,1,,5,,3,,1,,5,,1,,1,,2,,3,,3,,1,
95,4,,4,,3,,4,,3,,2,,3,,2,,4,,5,,2,,3,
96,5,,3,,2,,3,,4,,4,,2,,5,,1,,1,,3,,2,
97,5,,5,,4,,3,,3,,2,,1,,4,,5,,1,,1,,1,
98,4,,5,,5,,5,,5,,2,,3,,3,,4,,5,,4,,1,
