,score,solved,total,rate,rate*,40_pass,40_pass*
2019_1,72,100,100,72.0,72.0,True,True
2019_2,47,90,90,52.22222222222223,52.22222222222223,True,True
2019_3,94,140,140,67.14285714285714,67.14285714285714,True,True
2019_4,9,20,20,45.0,45.0,True,True
2020_1,76,100,100,76.0,76.0,True,True
2020_2,52,90,90,57.77777777777777,57.77777777777777,True,True
2020_3,106,140,140,75.71428571428571,75.71428571428571,True,True
2020_4,8,20,20,40.0,40.0,True,True
2021_1,69,100,100,69.0,69.0,True,True
2021_2,42,90,90,46.666666666666664,46.666666666666664,True,True
2021_3,78,140,140,55.714285714285715,55.714285714285715,True,True
2021_4,13,20,20,65.0,65.0,True,True
2022_1,63,100,100,63.0,63.0,True,True
2022_2,47,90,90,52.22222222222223,52.22222222222223,True,True
2022_3,82,140,140,58.57142857142858,58.57142857142858,True,True
2022_4,9,20,20,45.0,45.0,True,True
2023_1,75,100,100,75.0,75.0,True,True
2023_2,42,90,90,46.666666666666664,46.666666666666664,True,True
2023_3,85,140,140,60.71428571428571,60.71428571428571,True,True
2023_4,10,20,20,50.0,50.0,True,True
2024_1,71,100,100,71.0,71.0,True,True
2024_2,47,90,90,52.22222222222223,52.22222222222223,True,True
2024_3,83,140,140,59.285714285714285,59.285714285714285,True,True
2024_4,8,20,20,40.0,40.0,True,True
