,2019_1,2019_2,2019_3,2019_4,2020_1,2020_2,2020_3,2020_4,2021_1,2021_2,2021_3,2021_4,2022_1,2022_2,2022_3,2022_4,2023_1,2023_2,2023_3,2023_4,2024_1,2024_2,2024_3,2024_4
1,3,5,5,3,2,2,2,2,4,5,4,2,2,3,2,3,5,3,1,3,1,3,1,3
2,3,3,2,1,4,1,5,1,3,2,1,2,1,4,2,1,2,3,4,1,3,5,5,2
3,3,3,4,3,1,1,3,4,3,5,3,3,4,3,3,2,2,3,3,5,2,1,4,3
4,1,4,5,2,4,3,5,3,4,3,5,3,1,3,4,3,3,3,5,4,5,3,3,4
5,3,5,4,1,3,1,3,3,3,3,3,3,1,2,3,5,2,2,1,1,1,4,5,4
6,4,3,3,3,2,1,4,5,1,5,5,1,4,5,1,3,5,3,4,4,3,2,5,4
7,5,1,2,4,3,3,2,2,3,3,4,2,1,4,3,1,2,3,5,3,2,1,4,1
8,3,4,2,4,4,2,4,2,3,2,2,1,2,4,1,3,4,2,4,3,4,3,4,1
9,3,3,5,4,1,4,4,5,1,2,3,5,3,3,4,1,5,3,2,3,3,4,3,1
10,1,1,1,3,2,3,2,5,2,3,3,1,4,3,4,3,3,3,3,1,2,3,1,5
11,3,1,1,4,4,3,2,5,5,4,5,1,3,3,5,3,4,4,4,2,4,3,3,5
12,5,2,4,4,4,4,4,4,5,2,2,1,3,3,4,4,1,1,2,3,2,3,4,4
13,3,3,3,3,2,3,2,3,3,2,1,1,3,4,5,3,3,3,2,4,3,1,1,1
14,5,2,2,2,4,1,4,1,3,3,1,3,4,4,1,1,5,2,1,3,1,3,3,1
15,2,3,2,3,1,1,3,3,4,3,1,3,4,4,5,3,4,1,2,4,3,3,3,2
16,3,5,5,3,5,1,3,1,2,5,5,1,2,3,1,3,4,2,4,4,1,2,1,3
17,3,4,3,2,5,3,4,5,4,2,4,5,3,3,4,5,3,4,5,5,5,3,4,2
18,1,3,3,4,3,2,5,4,3,4,3,3,3,2,4,2,2,3,2,3,4,4,5,2
19,4,1,3,4,3,3,4,1,2,3,3,1,3,1,3,2,3,1,4,3,3,1,4,2
20,1,4,3,4,3,3,1,1,3,3,3,1,1,3,5,4,3,3,4,2,2,3,3,2
21,4,2,3,,3,3,3,,3,3,3,,1,3,4,,3,3,4,,5,4,5,
22,2,3,4,,1,3,3,,5,2,1,,4,3,2,,3,3,2,,3,3,5,
23,2,1,1,,3,2,3,,3,1,1,,5,1,4,,2,1,3,,2,3,1,
24,3,2,5,,5,2,5,,3,3,5,,5,3,1,,3,3,2,,3,1,4,
25,2,1,3,,4,2,4,,2,3,5,,4,3,3,,1,3,4,,1,1,3,
26,5,1,2,,4,1,2,,1,3,5,,3,1,2,,4,3,1,,4,1,3,
27,1,1,3,,2,4,1,,5,3,1,,5,3,4,,3,1,3,,2,3,1,
28,3,1,4,,2,1,2,,3,1,3,,1,3,4,,1,1,5,,3,1,1,
29,3,3,3,,1,1,4,,1,1,3,,4,1,4,,2,3,3,,3,3,5,
30,5,1,2,,4,1,5,,5,1,4,,1,3,5,,4,3,3,,5,3,3,
31,1,4,4,,5,3,4,,5,3,5,,4,1,1,,4,4,4,,2,1,5,
32,3,3,1,,4,3,1,,4,1,4,,4,1,4,,4,4,1,,5,3,3,
33,2,1,5,,5,1,2,,3,1,1,,1,3,2,,3,1,2,,4,1,1,
34,5,1,5,,2,5,3,,5,2,2,,1,2,3,,1,4,3,,1,3,3,
35,5,1,2,,1,4,5,,5,3,4,,1,3,2,,3,3,2,,5,3,1,
36,4,1,1,,5,1,2,,5,4,4,,5,5,2,,5,3,3,,2,4,2,
37,5,3,2,,3,4,2,,3,4,2,,5,1,4,,3,3,2,,4,3,3,
38,2,4,3,,1,3,3,,3,3,1,,1,3,3,,1,2,3,,3,3,2,
39,4,3,1,,4,3,1,,4,2,4,,1,4,4,,5,3,4,,2,3,1,
40,1,1,1,,5,3,1,,3,3,1,,3,3,3,,5,3,5,,5,2,1,
41,1,1,3,,3,3,4,,4,4,2,,4,3,4,,5,2,1,,3,2,3,
42,5,3,4,,3,3,5,,1,4,1,,3,3,3,,1,3,3,,1,2,5,
43,1,5,5,,3,5,2,,1,3,3,,5,4,5,,3,3,3,,3,4,1,
44,3,4,5,,3,3,3,,1,3,3,,4,5,3,,5,2,4,,3,5,2,
45,1,1,2,,3,4,5,,1,3,5,,2,5,4,,3,4,3,,3,4,4,
46,1,2,4,,3,3,2,,2,4,2,,3,4,3,,5,2,3,,4,1,3,
47,2,4,2,,3,4,3,,2,4,4,,4,4,1,,2,2,4,,3,3,3,
48,2,1,2,,5,4,4,,3,2,5,,2,5,4,,2,4,4,,2,1,1,
49,2,3,2,,2,2,1,,1,4,4,,3,5,3,,2,3,2,,3,3,2,
50,1,4,1,,3,3,3,,2,3,2,,5,2,4,,3,1,3,,3,3,3,
51,4,2,2,,3,3,5,,4,3,5,,5,4,1,,1,4,5,,5,3,1,
52,3,1,3,,4,4,1,,5,5,4,,3,5,2,,5,4,5,,3,3,2,
53,2,5,3,,3,3,4,,4,4,5,,3,5,1,,5,3,3,,4,3,4,
54,4,3,1,,4,1,4,,3,2,4,,2,3,3,,3,3,4,,3,2,5,
55,2,5,2,,1,5,1,,2,4,2,,2,3,5,,1,3,5,,5,2,3,
56,2,4,2,,1,5,3,,4,4,3,,1,1,3,,2,4,4,,1,3,1,
57,1,5,3,,2,2,3,,5,4,4,,2,2,4,,2,3,2,,4,4,5,
58,5,5,2,,5,2,3,,4,3,5,,2,2,2,,1,3,2,,4,4,1,
59,2,2,5,,1,1,1,,3,1,3,,1,2,4,,1,4,4,,1,3,4,
60,1,3,1,,2,5,4,,3,1,4,,3,2,3,,2,1,1,,5,3,3,
61,4,4,2,,2,1,3,,5,5,5,,3,3,4,,5,3,4,,4,4,1,
62,3,5,1,,4,2,4,,2,5,1,,4,2,4,,4,4,1,,2,3,5,
63,1,1,1,,3,5,5,,3,1,4,,5,5,1,,2,5,1,,1,2,3,
64,3,4,1,,1,4,2,,2,1,5,,1,4,1,,3,2,4,,1,3,4,
65,1,5,5,,2,3,2,,4,3,1,,3,1,4,,1,2,2,,2,2,4,
66,1,2,1,,1,3,5,,4,3,3,,3,3,4,,5,2,2,,4,4,2,
67,1,4,3,,1,4,1,,3,5,3,,4,3,1,,1,3,3,,3,3,2,
68,1,3,1,,1,3,5,,4,4,3,,4,4,2,,3,3,1,,2,1,3,
69,1,3,4,,2,2,4,,3,4,4,,1,3,2,,5,3,2,,5,4,1,
70,5,4,1,,5,2,4,,4,3,1,,5,1,1,,4,2,5,,1,4,5,
71,1,2,2,,2,5,4,,5,1,4,,4,2,3,,2,3,5,,4,1,1,
72,3,5,4,,2,3,4,,5,5,4,,4,1,4,,4,2,4,,4,4,2,
73,3,3,2,,5,5,2,,1,5,2,,1,3,5,,3,5,4,,5,1,2,
74,1,1,3,,1,1,4,,2,5,2,,1,2,3,,3,2,4,,1,5,1,
75,4,4,3,,3,1,4,,5,5,2,,4,1,1,,1,1,4,,4,4,4,
76,5,1,3,,1,1,4,,3,4,4,,1,4,1,,1,1,1,,4,5,2,
77,4,5,1,,3,5,3,,5,1,1,,1,4,1,,1,4,3,,2,2,3,
78,3,4,3,,2,4,4,,5,3,5,,4,4,1,,1,1,3,,3,5,4,
79,4,1,3,,1,3,3,,1,4,4,,2,3,4,,3,3,3,,2,4,1,
80,3,4,4,,3,5,3,,1,5,3,,3,1,5,,3,3,1,,2,1,5,
81,5,5,1,,3,4,3,,1,5,5,,1,4,1,,2,5,3,,4,3,3,
82,3,1,1,,2,1,1,,3,4,1,,5,4,3,,4,3,3,,3,4,3,
83,5,4,3,,5,4,2,,3,3,3,,4,5,3,,1,2,2,,4,1,1,
84,2,4,1,,1,1,4,,3,5,3,,5,5,3,,4,3,3,,2,5,2,
85,3,3,4,,5,1,1,,3,1,3,,5,3,3,,1,2,2,,1,5,4,
86,4,3,3,,3,3,3,,3,5,1,,5,3,2,,5,3,4,,2,2,5,
87,1,1,4,,5,3,2,,3,4,2,,3,3,4,,3,1,3,,3,4,2,
88,4,3,1,,1,4,5,,5,4,2,,3,4,4,,4,3,1,,4,3,3,
89,2,4,2,,3,3,1,,1,1,5,,2,5,4,,3,3,2,,5,2,3,
90,4,3,1,,3,2,4,,5,3,3,,5,4,2,,1,2,1,,3,3,2,
91,2,,4,,3,,3,,3,,3,,1,,5,,1,,4,,1,,2,
92,4,,2,,1,,3,,3,,2,,1,,3,,3,,2,,1,,1,
93,3,,3,,5,,5,,5,,3,,2,,3,,3,,4,,1,,4,
94,1,,3,,2,,3,,1,,5,,1,,5,,2,,3,,4,,1,
95,4,,4,,3,,4,,2,,3,,2,,1,,4,,5,,2,,3,
96,5,,3,,4,,3,,4,,1,,5,,5,,1,,4,,3,,2,
97,5,,5,,4,,3,,5,,2,,1,,5,,4,,1,,1,,3,
98,4,,1,,5,,5,,5,,2,,3,,3,,4,,5,,4,,4,
99,2,,3,,2,,5,,1,,3,,2,,3,,4,,4,,4,,1,
100,4,,1,,4,,3,,2,,2,,1,,5,,1,,3,,5,,3,
101,,,3,,,,3,,,,4,,,,3,,,,1,,,,3,
102,,,3,,,,1,,,,3,,,,5,,,,4,,,,4,
103,,,4,,,,2,,,,3,,,,4,,,,3,,,,3,
104,,,3,,,,3,,,,1,,,,3,,,,2,,,,1,
105,,,4,,,,4,,,,1,,,,2,,,,5,,,,3,
106,,,4,,,,4,,,,2,,,,4,,,,5,,,,4,
107,,,1,,,,3,,,,2,,,,3,,,,5,,,,1,
108,,,3,,,,3,,,,1,,,,2,,,,3,,,,1,
109,,,3,,,,4,,,,4,,,,4,,,,1,,,,4,
110,,,2,,,,3,,,,2,,,,4,,,,3,,,,2,
111,,,1,,,,3,,,,3,,,,3,,,,1,,,,4,
112,,,4,,,,3,,,,4,,,,1,,,,4,,,,4,
113,,,4,,,,3,,,,4,,,,4,,,,4,,,,2,
114,,,5,,,,5,,,,5,,,,1,,,,4,,,,4,
115,,,1,,,,4,,,,1,,,,4,,,,5,,,,4,
116,,,1,,,,1,,,,2,,,,5,,,,3,,,,3,
117,,,5,,,,4,,,,3,,,,5,,,,3,,,,3,
