,score,solved,total,rate,rate*,40_pass,40_pass*
2019_1,49,100,100,49.0,49.0,True,True
2019_2,24,90,90,26.666666666666668,26.666666666666668,False,False
2019_3,81,140,140,57.85714285714286,57.85714285714286,True,True
2019_4,5,20,20,25.0,25.0,False,False
2020_1,65,100,100,65.0,65.0,True,True
2020_2,38,90,90,42.22222222222222,42.22222222222222,True,True
2020_3,76,140,140,54.285714285714285,54.285714285714285,True,True
2020_4,7,20,20,35.0,35.0,False,False
2021_1,58,100,100,57.99999999999999,57.99999999999999,True,True
2021_2,37,90,90,41.11111111111111,41.11111111111111,True,True
2021_3,64,140,140,45.714285714285715,45.714285714285715,True,True
2021_4,12,20,20,60.0,60.0,True,True
2022_1,65,100,100,65.0,65.0,True,True
2022_2,30,90,90,33.33333333333333,33.33333333333333,False,False
2022_3,60,140,140,42.857142857142854,42.857142857142854,True,True
2022_4,6,20,20,30.0,30.0,False,False
2023_1,55,100,100,55.00000000000001,55.00000000000001,True,True
2023_2,35,90,90,38.88888888888889,38.88888888888889,False,False
2023_3,70,140,140,50.0,50.0,True,True
2023_4,9,20,20,45.0,45.0,True,True
2024_1,56,100,100,56.00000000000001,56.00000000000001,True,True
2024_2,38,90,90,42.22222222222222,42.22222222222222,True,True
2024_3,59,140,140,42.142857142857146,42.142857142857146,True,True
2024_4,7,20,20,35.0,35.0,False,False
