,score,solved,total,rate,rate*,40_pass,40_pass*
2019_1,81,100,100,81.0,81.0,True,True
2019_2,45,90,90,50.0,50.0,True,True
2019_3,85,140,140,60.71428571428571,60.71428571428571,True,True
2019_4,7,20,20,35.0,35.0,False,False
2020_1,79,100,100,79.0,79.0,True,True
2020_2,49,89,90,54.44444444444444,55.0561797752809,True,True
2020_3,93,140,140,66.42857142857143,66.42857142857143,True,True
2020_4,8,20,20,40.0,40.0,True,True
2021_1,75,100,100,75.0,75.0,True,True
2021_2,42,90,90,46.666666666666664,46.666666666666664,True,True
2021_3,75,140,140,53.57142857142857,53.57142857142857,True,True
2021_4,10,20,20,50.0,50.0,True,True
2022_1,71,100,100,71.0,71.0,True,True
2022_2,44,90,90,48.888888888888886,48.888888888888886,True,True
2022_3,74,140,140,52.85714285714286,52.85714285714286,True,True
2022_4,7,20,20,35.0,35.0,False,False
2023_1,87,100,100,87.0,87.0,True,True
2023_2,41,90,90,45.55555555555556,45.55555555555556,True,True
2023_3,88,140,140,62.857142857142854,62.857142857142854,True,True
2023_4,10,20,20,50.0,50.0,True,True
2024_1,69,100,100,69.0,69.0,True,True
2024_2,42,89,90,46.666666666666664,47.19101123595505,True,True
2024_3,88,140,140,62.857142857142854,62.857142857142854,True,True
2024_4,8,20,20,40.0,40.0,True,True
