,score,solved,total,rate,rate*,40_pass,40_pass*
2019_1,62,100,100,62.0,62.0,True,True
2019_2,35,90,90,38.88888888888889,38.88888888888889,False,False
2019_3,74,140,140,52.85714285714286,52.85714285714286,True,True
2019_4,7,20,20,35.0,35.0,False,False
2020_1,73,100,100,73.0,73.0,True,True
2020_2,37,90,90,41.11111111111111,41.11111111111111,True,True
2020_3,71,140,140,50.71428571428571,50.71428571428571,True,True
2020_4,7,20,20,35.0,35.0,False,False
2021_1,62,100,100,62.0,62.0,True,True
2021_2,32,90,90,35.55555555555556,35.55555555555556,False,False
2021_3,69,140,140,49.28571428571429,49.28571428571429,True,True
2021_4,5,20,20,25.0,25.0,False,False
2022_1,56,100,100,56.00000000000001,56.00000000000001,True,True
2022_2,38,90,90,42.22222222222222,42.22222222222222,True,True
2022_3,62,140,140,44.285714285714285,44.285714285714285,True,True
2022_4,7,20,20,35.0,35.0,False,False
2023_1,57,100,100,56.99999999999999,56.99999999999999,True,True
2023_2,37,90,90,41.11111111111111,41.11111111111111,True,True
2023_3,63,140,140,45.0,45.0,True,True
2023_4,7,20,20,35.0,35.0,False,False
2024_1,55,100,100,55.00000000000001,55.00000000000001,True,True
2024_2,40,90,90,44.44444444444444,44.44444444444444,True,True
2024_3,71,140,140,50.71428571428571,50.71428571428571,True,True
2024_4,5,20,20,25.0,25.0,False,False
