,score,solved,total,rate,rate*,40_pass,40_pass*
2019_1,87,100,100,87.0,87.0,True,True
2019_2,54,90,90,60.0,60.0,True,True
2019_3,94,140,140,67.14285714285714,67.14285714285714,True,True
2019_4,10,20,20,50.0,50.0,True,True
2020_1,90,100,100,90.0,90.0,True,True
2020_2,62,90,90,68.88888888888889,68.88888888888889,True,True
2020_3,111,140,140,79.28571428571428,79.28571428571428,True,True
2020_4,10,20,20,50.0,50.0,True,True
2021_1,82,100,100,82.0,82.0,True,True
2021_2,45,90,90,50.0,50.0,True,True
2021_3,91,140,140,65.0,65.0,True,True
2021_4,10,20,20,50.0,50.0,True,True
2022_1,85,100,100,85.0,85.0,True,True
2022_2,53,90,90,58.88888888888889,58.88888888888889,True,True
2022_3,92,140,140,65.71428571428571,65.71428571428571,True,True
2022_4,8,20,20,40.0,40.0,True,True
2023_1,87,100,100,87.0,87.0,True,True
2023_2,49,90,90,54.44444444444444,54.44444444444444,True,True
2023_3,101,140,140,72.14285714285714,72.14285714285714,True,True
2023_4,13,20,20,65.0,65.0,True,True
2024_1,81,100,100,81.0,81.0,True,True
2024_2,50,90,90,55.55555555555556,55.55555555555556,True,True
2024_3,95,140,140,67.85714285714286,67.85714285714286,True,True
2024_4,8,20,20,40.0,40.0,True,True
