,2019_1,2019_2,2019_3,2019_4,2020_1,2020_2,2020_3,2020_4,2021_1,2021_2,2021_3,2021_4,2022_1,2022_2,2022_3,2022_4,2023_1,2023_2,2023_3,2023_4,2024_1,2024_2,2024_3,2024_4
1,2,2,4,2,2,2,2,2,3,5,4,2,4,5,5,4,2,2,5,5,1,1,4,1
2,2,2,2,3,4,1,4,2,3,3,1,3,5,4,5,1,5,4,4,2,3,2,1,2
3,2,2,3,2,1,5,2,1,5,5,5,3,4,3,2,2,2,2,5,2,2,3,4,3
4,1,4,2,2,4,4,5,4,4,2,2,2,5,1,4,2,5,4,5,1,2,3,2,3
5,4,3,2,1,5,1,3,5,2,4,2,1,1,2,5,1,2,2,3,1,3,1,5,4
6,1,2,3,3,5,5,4,4,2,4,5,4,4,1,1,2,3,4,5,2,2,2,1,3
7,5,2,1,2,5,4,1,2,2,3,1,2,4,5,2,1,2,1,4,5,2,1,3,1
8,5,4,5,2,4,5,4,2,2,1,5,1,1,5,5,2,5,2,1,3,4,2,4,1
9,1,3,4,2,1,5,4,1,4,4,3,3,4,2,2,3,1,3,2,3,1,4,5,2
10,5,3,5,2,2,4,1,5,2,2,2,2,2,1,4,4,4,3,5,2,4,3,1,2
11,3,3,4,4,5,3,2,5,4,2,5,2,2,4,1,5,5,4,4,2,4,1,3,5
12,5,5,5,3,2,4,4,2,5,2,2,2,3,5,5,2,1,1,2,1,2,3,5,2
13,3,3,2,4,2,1,4,1,4,2,1,2,1,2,1,3,3,3,2,5,4,2,1,2
14,5,2,2,2,2,3,1,1,3,3,3,2,3,4,1,4,5,1,2,3,5,2,3,2
15,2,2,2,5,4,3,1,2,5,5,5,3,4,4,5,2,4,5,2,5,2,3,2,2
16,3,2,3,1,5,5,3,2,4,2,4,2,2,1,1,3,2,2,2,4,2,2,1,3
17,5,1,2,2,5,5,5,2,4,2,4,2,4,5,3,2,3,2,5,5,4,2,4,2
18,1,2,2,1,3,2,5,4,2,5,3,3,3,1,4,5,1,2,2,3,4,2,4,2
19,2,2,1,1,2,1,2,3,2,1,3,1,3,2,4,2,4,1,5,2,3,1,2,2
20,5,5,3,5,2,2,1,5,2,5,1,2,1,2,3,4,3,1,5,1,2,1,2,2
21,1,2,4,,3,2,2,,1,2,5,,1,2,3,,4,1,2,,5,1,4,
22,2,1,3,,1,3,5,,2,1,1,,1,1,2,,4,1,5,,3,2,1,
23,2,2,1,,3,2,4,,5,1,5,,1,5,3,,1,2,3,,3,4,2,
24,1,2,4,,5,2,5,,2,4,1,,5,1,1,,1,1,2,,2,5,4,
25,5,2,3,,4,3,1,,2,1,5,,2,1,2,,1,1,4,,2,1,5,
26,2,1,2,,4,1,2,,1,1,5,,5,3,2,,4,2,1,,4,4,1,
27,1,1,1,,2,4,1,,2,1,4,,5,1,2,,3,1,4,,4,2,1,
28,3,1,4,,2,2,2,,3,5,2,,1,1,4,,5,2,5,,5,1,1,
29,2,2,3,,5,1,2,,1,3,3,,4,1,5,,3,1,3,,3,3,1,
30,5,1,2,,4,4,1,,5,2,4,,5,1,5,,4,1,3,,5,1,3,
31,1,4,4,,5,2,4,,4,1,1,,4,1,3,,5,5,4,,2,2,5,
32,3,1,1,,5,3,1,,4,2,1,,4,1,3,,4,2,1,,4,2,4,
33,2,1,2,,5,4,2,,2,2,1,,1,3,2,,2,2,1,,1,2,1,
34,3,1,5,,2,1,5,,5,1,2,,1,2,2,,1,4,2,,2,1,3,
35,2,2,2,,2,2,2,,5,1,4,,1,2,1,,5,1,2,,5,2,1,
36,4,2,2,,2,2,2,,2,1,4,,5,5,2,,1,2,3,,2,1,5,
37,1,4,2,,3,4,2,,3,3,1,,2,2,4,,3,3,2,,4,4,3,
38,3,5,1,,3,2,3,,3,3,1,,1,2,3,,1,2,5,,3,3,3,
39,5,3,1,,1,3,1,,5,4,5,,4,2,1,,5,5,4,,2,3,1,
40,1,1,1,,2,2,1,,3,1,5,,1,2,3,,4,2,5,,5,5,1,
41,1,2,1,,3,5,4,,3,2,2,,2,3,4,,1,5,4,,2,2,2,
42,4,5,4,,2,2,1,,2,3,1,,3,2,5,,1,2,4,,1,2,5,
43,1,5,1,,1,4,5,,5,1,4,,5,3,1,,1,3,2,,1,2,2,
44,2,4,5,,2,4,2,,1,1,3,,4,1,2,,5,3,2,,2,1,2,
45,1,1,2,,1,3,2,,4,2,4,,4,5,2,,1,2,5,,4,2,2,
46,5,4,4,,3,2,2,,1,2,2,,3,4,2,,5,2,1,,1,3,4,
47,2,2,3,,3,3,2,,2,5,5,,4,4,1,,2,1,4,,2,2,2,
48,5,1,2,,5,3,4,,2,2,5,,2,2,1,,2,1,5,,2,1,2,
49,1,4,2,,2,2,3,,3,4,2,,2,1,2,,5,2,5,,3,3,5,
50,1,2,2,,1,3,3,,2,3,2,,5,2,3,,3,1,2,,3,5,3,
51,1,1,2,,2,4,4,,4,2,5,,5,3,4,,1,2,3,,5,2,4,
52,3,1,2,,4,4,1,,4,5,4,,3,3,3,,5,1,5,,3,1,2,
53,2,2,5,,2,4,4,,4,1,5,,2,5,2,,3,1,3,,1,3,5,
54,4,2,2,,4,3,3,,2,1,4,,2,5,3,,4,4,2,,2,2,5,
55,2,1,1,,1,5,1,,5,2,2,,2,2,5,,1,3,5,,2,5,3,
56,2,2,5,,1,5,4,,4,3,3,,1,1,3,,2,5,1,,2,2,4,
57,1,1,3,,2,2,3,,5,2,1,,2,2,4,,2,2,2,,3,2,1,
58,5,2,2,,2,2,3,,4,3,5,,2,4,1,,1,1,1,,4,4,1,
59,5,2,5,,1,4,2,,2,4,3,,2,3,1,,2,2,3,,2,4,4,
60,3,2,3,,2,2,4,,2,5,2,,2,2,3,,1,2,1,,5,1,3,
61,4,3,1,,2,2,3,,5,2,4,,2,3,4,,4,5,4,,1,1,1,
62,2,2,1,,2,2,4,,3,3,2,,1,2,2,,4,4,4,,2,2,5,
63,1,1,1,,3,1,1,,2,1,1,,3,2,3,,2,4,1,,2,1,4,
64,3,2,1,,4,4,2,,2,4,1,,4,4,1,,3,4,5,,1,2,4,
65,1,5,5,,5,3,2,,4,3,4,,3,5,2,,1,2,2,,5,2,2,
66,3,2,1,,2,5,1,,5,5,3,,2,4,4,,5,2,2,,1,4,2,
67,1,4,3,,4,3,2,,1,5,2,,4,2,5,,1,2,3,,5,3,2,
68,4,2,1,,2,4,4,,1,5,3,,1,2,2,,1,3,1,,2,5,2,
69,1,2,5,,2,2,4,,1,5,3,,1,3,2,,2,2,4,,5,2,1,
70,5,3,5,,5,2,4,,2,2,1,,5,2,2,,5,2,5,,2,5,3,
71,2,4,2,,2,5,4,,1,1,1,,4,2,4,,4,2,1,,4,1,2,
72,1,2,4,,2,5,5,,3,3,4,,1,4,4,,4,4,4,,4,2,2,
73,3,3,2,,3,5,2,,4,3,2,,1,5,2,,3,4,5,,3,2,5,
74,1,1,2,,2,1,2,,4,5,2,,1,2,3,,1,2,3,,1,5,5,
75,2,4,3,,5,1,3,,5,4,1,,2,1,1,,1,4,3,,1,4,2,
