,score,solved,total,rate,rate*,40_pass,40_pass*
2019_1,56,100,100,56.00000000000001,56.00000000000001,True,True
2019_2,28,90,90,31.11111111111111,31.11111111111111,False,False
2019_3,59,140,140,42.142857142857146,42.142857142857146,True,True
2019_4,5,20,20,25.0,25.0,False,False
2020_1,48,100,100,48.0,48.0,True,True
2020_2,25,90,90,27.77777777777778,27.77777777777778,False,False
2020_3,47,140,140,33.57142857142857,33.57142857142857,False,False
2020_4,2,20,20,10.0,10.0,False,False
2021_1,44,100,100,44.0,44.0,True,True
2021_2,33,90,90,36.666666666666664,36.666666666666664,False,False
2021_3,58,140,140,41.42857142857143,41.42857142857143,True,True
2021_4,9,20,20,45.0,45.0,True,True
2022_1,53,100,100,53.0,53.0,True,True
2022_2,37,90,90,41.11111111111111,41.11111111111111,True,True
2022_3,43,140,140,30.714285714285715,30.714285714285715,False,False
2022_4,6,20,20,30.0,30.0,False,False
2023_1,38,100,100,38.0,38.0,False,False
2023_2,32,90,90,35.55555555555556,35.55555555555556,False,False
2023_3,44,140,140,31.428571428571427,31.428571428571427,False,False
2023_4,6,20,20,30.0,30.0,False,False
2024_1,35,100,100,35.0,35.0,False,False
2024_2,31,90,90,34.44444444444444,34.44444444444444,False,False
2024_3,56,140,140,40.0,40.0,True,True
2024_4,7,20,20,35.0,35.0,False,False
