,score,solved,total,rate,rate*,40_pass,40_pass*
2019_1,81,100,100,81.0,81.0,True,True
2019_2,46,90,90,51.11111111111111,51.11111111111111,True,True
2019_3,86,140,140,61.42857142857143,61.42857142857143,True,True
2019_4,10,20,20,50.0,50.0,True,True
2020_1,81,100,100,81.0,81.0,True,True
2020_2,50,90,90,55.55555555555556,55.55555555555556,True,True
2020_3,106,140,140,75.71428571428571,75.71428571428571,True,True
2020_4,9,20,20,45.0,45.0,True,True
2021_1,76,100,100,76.0,76.0,True,True
2021_2,51,90,90,56.666666666666664,56.666666666666664,True,True
2021_3,83,140,140,59.285714285714285,59.285714285714285,True,True
2021_4,13,20,20,65.0,65.0,True,True
2022_1,77,100,100,77.0,77.0,True,True
2022_2,52,90,90,57.77777777777777,57.77777777777777,True,True
2022_3,78,140,140,55.714285714285715,55.714285714285715,True,True
2022_4,12,20,20,60.0,60.0,True,True
2023_1,87,100,100,87.0,87.0,True,True
2023_2,44,90,90,48.888888888888886,48.888888888888886,True,True
2023_3,92,140,140,65.71428571428571,65.71428571428571,True,True
2023_4,10,20,20,50.0,50.0,True,True
2024_1,71,100,100,71.0,71.0,True,True
2024_2,41,90,90,45.55555555555556,45.55555555555556,True,True
2024_3,84,140,140,60.0,60.0,True,True
2024_4,8,20,20,40.0,40.0,True,True
