,score,solved,total,rate,rate*,40_pass,40_pass*
2019_1,82,100,100,82.0,82.0,True,True
2019_2,47,89,90,52.22222222222223,52.80898876404494,True,True
2019_3,88,140,140,62.857142857142854,62.857142857142854,True,True
2019_4,5,20,20,25.0,25.0,False,False
2020_1,77,100,100,77.0,77.0,True,True
2020_2,50,90,90,55.55555555555556,55.55555555555556,True,True
2020_3,96,140,140,68.57142857142857,68.57142857142857,True,True
2020_4,7,20,20,35.0,35.0,False,False
2021_1,74,100,100,74.0,74.0,True,True
2021_2,44,90,90,48.888888888888886,48.888888888888886,True,True
2021_3,75,140,140,53.57142857142857,53.57142857142857,True,True
2021_4,9,20,20,45.0,45.0,True,True
2022_1,67,100,100,67.0,67.0,True,True
2022_2,40,90,90,44.44444444444444,44.44444444444444,True,True
2022_3,74,140,140,52.85714285714286,52.85714285714286,True,True
2022_4,4,20,20,20.0,20.0,False,False
2023_1,75,100,100,75.0,75.0,True,True
2023_2,37,90,90,41.11111111111111,41.11111111111111,True,True
2023_3,80,140,140,57.14285714285714,57.14285714285714,True,True
2023_4,10,20,20,50.0,50.0,True,True
2024_1,75,100,100,75.0,75.0,True,True
2024_2,49,90,90,54.44444444444444,54.44444444444444,True,True
2024_3,78,140,140,55.714285714285715,55.714285714285715,True,True
2024_4,10,20,20,50.0,50.0,True,True
