,score,solved,total,rate,rate*,40_pass,40_pass*
2019_1,75,100,100,75.0,75.0,True,True
2019_2,35,90,90,38.88888888888889,38.88888888888889,False,False
2019_3,74,140,140,52.85714285714286,52.85714285714286,True,True
2019_4,10,20,20,50.0,50.0,True,True
2020_1,75,100,100,75.0,75.0,True,True
2020_2,50,90,90,55.55555555555556,55.55555555555556,True,True
2020_3,89,140,140,63.57142857142857,63.57142857142857,True,True
2020_4,7,20,20,35.0,35.0,False,False
2021_1,65,100,100,65.0,65.0,True,True
2021_2,46,90,90,51.11111111111111,51.11111111111111,True,True
2021_3,80,140,140,57.14285714285714,57.14285714285714,True,True
2021_4,8,20,20,40.0,40.0,True,True
2022_1,71,100,100,71.0,71.0,True,True
2022_2,36,90,90,40.0,40.0,True,True
2022_3,69,140,140,49.28571428571429,49.28571428571429,True,True
2022_4,10,20,20,50.0,50.0,True,True
2023_1,73,100,100,73.0,73.0,True,True
2023_2,39,90,90,43.333333333333336,43.333333333333336,True,True
2023_3,79,140,140,56.42857142857143,56.42857142857143,True,True
2023_4,7,20,20,35.0,35.0,False,False
2024_1,65,100,100,65.0,65.0,True,True
2024_2,50,90,90,55.55555555555556,55.55555555555556,True,True
2024_3,74,140,140,52.85714285714286,52.85714285714286,True,True
2024_4,8,20,20,40.0,40.0,True,True
