,score,solved,total,rate,rate*,40_pass,40_pass*
2019_1,81,100,100,81.0,81.0,True,True
2019_2,51,90,90,56.666666666666664,56.666666666666664,True,True
2019_3,89,140,140,63.57142857142857,63.57142857142857,True,True
2019_4,8,20,20,40.0,40.0,True,True
2020_1,80,100,100,80.0,80.0,True,True
2020_2,53,90,90,58.88888888888889,58.88888888888889,True,True
2020_3,102,140,140,72.85714285714285,72.85714285714285,True,True
2020_4,9,20,20,45.0,45.0,True,True
2021_1,75,100,100,75.0,75.0,True,True
2021_2,52,90,90,57.77777777777777,57.77777777777777,True,True
2021_3,83,140,140,59.285714285714285,59.285714285714285,True,True
2021_4,8,20,20,40.0,40.0,True,True
2022_1,78,100,100,78.0,78.0,True,True
2022_2,49,90,90,54.44444444444444,54.44444444444444,True,True
2022_3,76,140,140,54.285714285714285,54.285714285714285,True,True
2022_4,9,20,20,45.0,45.0,True,True
2023_1,78,100,100,78.0,78.0,True,True
2023_2,47,90,90,52.22222222222223,52.22222222222223,True,True
2023_3,81,140,140,57.85714285714286,57.85714285714286,True,True
2023_4,9,20,20,45.0,45.0,True,True
2024_1,75,100,100,75.0,75.0,True,True
2024_2,44,90,90,48.888888888888886,48.888888888888886,True,True
2024_3,84,140,140,60.0,60.0,True,True
2024_4,11,20,20,55.00000000000001,55.00000000000001,True,True
