,score,solved,total,rate,rate*,40_pass,40_pass*
2019_1,68,100,100,68.0,68.0,True,True
2019_2,30,90,90,33.33333333333333,33.33333333333333,False,False
2019_3,62,140,140,44.285714285714285,44.285714285714285,True,True
2019_4,7,20,20,35.0,35.0,False,False
2020_1,67,100,100,67.0,67.0,True,True
2020_2,39,90,90,43.333333333333336,43.333333333333336,True,True
2020_3,75,140,140,53.57142857142857,53.57142857142857,True,True
2020_4,10,20,20,50.0,50.0,True,True
2021_1,59,100,100,59.0,59.0,True,True
2021_2,37,90,90,41.11111111111111,41.11111111111111,True,True
2021_3,61,140,140,43.57142857142857,43.57142857142857,True,True
2021_4,8,20,20,40.0,40.0,True,True
2022_1,58,100,100,57.99999999999999,57.99999999999999,True,True
2022_2,37,90,90,41.11111111111111,41.11111111111111,True,True
2022_3,56,140,140,40.0,40.0,True,True
2022_4,10,20,20,50.0,50.0,True,True
2023_1,68,100,100,68.0,68.0,True,True
2023_2,38,90,90,42.22222222222222,42.22222222222222,True,True
2023_3,52,140,140,37.142857142857146,37.142857142857146,False,False
2023_4,7,20,20,35.0,35.0,False,False
2024_1,71,100,100,71.0,71.0,True,True
2024_2,45,90,90,50.0,50.0,True,True
2024_3,67,140,140,47.85714285714286,47.85714285714286,True,True
2024_4,5,20,20,25.0,25.0,False,False
