,2019_1,2019_2,2019_3,2019_4,2020_1,2020_2,2020_3,2020_4,2021_1,2021_2,2021_3,2021_4,2022_1,2022_2,2022_3,2022_4,2023_1,2023_2,2023_3,2023_4,2024_1,2024_2,2024_3,2024_4
1,3,2,1,2,2,2,2,2,3,2,2,2,2,3,2,1,2,3,1,3,1,3,1,2
2,2,3,1,3,4,3,2,2,3,2,1,2,1,4,2,1,3,3,1,2,3,1,1,2
3,2,2,3,3,1,2,3,1,1,1,3,1,4,3,3,2,2,3,2,2,3,1,3,3
4,1,2,1,2,4,3,5,3,1,1,1,2,1,3,4,2,2,3,1,3,3,3,3,3
5,3,3,1,1,1,1,3,2,2,5,2,3,1,2,3,2,3,2,1,2,3,4,1,2
6,2,3,2,3,2,2,2,2,2,1,3,2,2,2,1,3,5,3,1,2,2,2,1,3
7,2,1,1,2,5,3,2,2,2,3,1,1,1,2,3,3,2,3,2,1,2,1,4,1
8,1,2,2,3,4,2,4,2,2,2,2,2,2,2,1,2,1,2,2,3,4,2,4,3
9,1,2,1,2,1,2,4,1,2,2,3,1,2,3,2,3,2,3,2,3,2,4,2,3
10,3,1,2,2,2,4,1,3,2,2,2,2,3,3,2,3,2,2,2,2,2,3,2,1
11,3,3,2,2,2,3,3,3,3,2,5,2,3,3,2,2,1,4,1,1,4,2,3,1
12,5,2,2,2,2,1,2,2,5,2,2,3,1,2,3,2,3,1,2,1,2,3,2,3
13,3,3,3,3,2,3,2,3,3,1,1,1,2,3,2,3,3,3,2,1,1,3,2,2
14,5,2,2,2,4,1,4,1,3,3,3,2,3,3,2,1,2,2,1,3,1,3,3,2
15,2,3,2,2,1,1,3,2,3,3,1,3,4,2,3,2,4,2,2,3,3,3,3,2
16,4,1,1,3,5,1,3,2,2,3,3,2,2,3,1,3,4,2,2,4,1,2,1,3
17,1,3,2,2,1,2,4,2,4,2,3,2,4,1,2,3,3,3,3,1,5,3,4,2
18,1,2,2,1,4,2,1,1,3,3,3,2,3,2,1,2,2,2,2,3,4,2,1,2
19,2,2,3,3,2,3,5,3,2,3,3,1,3,3,2,2,3,3,2,2,2,3,1,2
20,2,1,3,2,2,2,1,1,2,1,1,2,1,1,2,1,3,2,2,1,3,3,1,1
21,4,2,1,,3,2,3,,3,2,2,,1,3,4,,2,2,3,,5,1,3,
22,2,3,2,,1,3,2,,2,2,1,,2,2,2,,3,3,2,,1,3,1,
23,2,3,2,,3,2,3,,2,3,1,,3,2,3,,2,1,1,,2,3,2,
24,2,2,3,,2,2,3,,2,3,1,,1,2,1,,4,2,2,,2,1,1,
25,2,1,3,,4,3,4,,2,2,3,,2,2,2,,1,2,3,,1,1,2,
26,2,3,2,,1,2,2,,1,2,1,,3,2,1,,4,2,1,,2,2,3,
27,1,3,3,,2,1,1,,3,3,1,,5,3,4,,3,3,2,,3,2,1,
28,3,1,4,,2,1,2,,3,1,4,,1,2,1,,3,1,1,,3,1,1,
29,3,1,3,,2,3,2,,1,2,2,,2,2,2,,1,2,3,,2,3,3,
30,3,1,2,,4,3,1,,2,3,3,,3,2,2,,4,1,3,,1,3,3,
31,1,2,3,,1,1,2,,3,2,1,,2,2,1,,4,4,1,,2,1,2,
32,3,2,1,,1,3,1,,4,2,2,,3,2,3,,4,1,1,,3,2,3,
33,2,1,2,,5,3,2,,2,3,1,,1,3,2,,1,3,2,,4,2,1,
34,3,2,5,,2,2,1,,5,1,3,,1,3,2,,1,1,2,,1,3,3,
35,2,2,2,,2,2,1,,5,2,4,,1,2,2,,2,2,3,,5,2,2,
36,4,2,2,,5,2,1,,3,2,2,,2,1,2,,1,1,1,,2,3,1,
37,5,2,2,,3,2,2,,3,3,2,,3,1,4,,3,3,2,,4,2,3,
38,2,2,1,,1,2,1,,3,3,1,,1,3,3,,1,2,3,,3,3,2,
39,4,3,1,,3,3,2,,2,2,3,,1,2,1,,3,1,4,,2,3,1,
40,1,2,1,,5,2,1,,3,3,2,,1,3,3,,2,3,1,,5,2,1,
41,1,2,1,,3,3,1,,3,2,2,,3,3,2,,1,2,1,,3,2,2,
42,3,3,4,,2,2,1,,2,3,1,,2,3,3,,1,3,2,,2,2,1,
43,1,1,2,,1,2,5,,1,3,1,,1,1,1,,2,3,3,,2,2,1,
44,1,2,1,,3,3,3,,1,3,3,,2,2,2,,1,3,3,,3,2,2,
45,1,3,2,,3,3,1,,1,3,2,,1,3,2,,1,3,2,,1,2,4,
46,1,2,2,,3,2,2,,2,3,2,,1,1,3,,5,2,3,,1,3,3,
47,2,3,2,,2,5,2,,2,3,2,,4,4,2,,2,2,3,,2,2,1,
48,2,2,2,,1,3,2,,3,2,2,,2,2,2,,2,1,4,,3,1,1,
49,2,1,2,,2,2,1,,3,2,3,,2,3,2,,2,1,2,,3,3,2,
50,1,1,1,,3,3,3,,2,3,2,,1,3,2,,3,1,2,,3,1,2,
51,4,2,2,,3,2,2,,4,2,2,,5,2,2,,1,3,3,,5,3,1,
52,2,1,2,,1,2,1,,2,1,4,,3,3,2,,5,4,2,,3,1,2,
53,2,2,3,,1,2,3,,2,1,1,,3,5,1,,1,3,3,,4,2,1,
54,3,3,1,,4,3,2,,3,2,3,,2,2,3,,1,2,2,,3,2,5,
55,2,1,1,,1,1,1,,2,1,3,,2,2,3,,1,3,1,,2,2,3,
56,2,2,2,,3,3,3,,4,2,3,,1,1,3,,2,1,1,,1,2,1,
57,1,5,3,,2,2,3,,5,2,1,,2,3,4,,2,3,2,,4,2,1,
58,5,3,2,,2,2,3,,4,2,5,,2,2,2,,1,3,2,,2,4,1,
59,2,2,2,,1,3,2,,2,2,3,,2,2,2,,1,2,2,,2,3,4,
60,3,2,1,,2,2,4,,2,1,2,,3,2,3,,2,2,1,,1,2,3,
61,3,1,1,,1,1,1,,2,1,4,,3,3,2,,5,2,1,,1,1,1,
62,3,2,1,,3,2,4,,2,1,2,,2,2,1,,2,1,2,,3,2,5,
63,1,1,1,,3,1,2,,3,1,3,,3,2,1,,2,3,2,,1,2,3,
64,3,2,1,,1,4,2,,1,3,2,,1,2,1,,3,2,4,,1,2,1,
65,1,3,2,,3,3,2,,4,3,1,,2,2,1,,1,2,2,,2,2,2,
66,2,2,1,,2,3,2,,4,3,3,,3,3,2,,5,2,2,,1,1,2,
67,1,2,3,,1,2,2,,1,2,3,,1,2,3,,1,2,3,,2,3,2,
68,1,2,1,,1,3,3,,1,3,3,,1,2,2,,2,3,1,,2,1,2,
69,3,3,4,,2,2,2,,3,3,3,,1,3,2,,1,2,2,,3,2,1,
70,5,3,3,,1,2,1,,3,3,2,,3,1,2,,2,2,2,,1,2,3,
71,2,3,2,,2,2,4,,5,1,3,,2,2,3,,3,1,3,,1,1,2,
72,3,2,2,,2,3,3,,2,3,1,,1,2,4,,4,2,2,,4,1,2,
73,3,2,2,,1,5,2,,1,3,2,,1,3,2,,3,2,3,,5,2,2,
74,1,1,3,,2,1,3,,4,5,2,,1,2,3,,3,2,2,,1,5,1,
75,2,4,2,,2,1,3,,5,2,2,,2,1,1,,1,2,2,,4,1,3,
76,1,1,3,,3,1,1,,3,2,1,,1,1,1,,2,1,1,,1,5,1,
77,3,1,2,,3,1,3,,1,3,1,,1,2,1,,1,4,3,,2,2,2,
78,3,2,3,,2,2,4,,1,3,5,,3,2,1,,1,1,1,,3,5,4,
79,2,1,2,,1,1,3,,1,2,4,,2,3,5,,3,3,3,,2,2,1,
80,2,2,3,,3,5,1,,3,1,2,,3,1,3,,3,3,3,,2,3,5,
81,5,2,3,,3,4,3,,2,1,2,,1,1,1,,2,2,2,,4,3,3,
82,3,1,1,,2,1,1,,3,4,1,,1,4,3,,2,1,3,,3,2,2,
83,1,2,3,,5,4,2,,3,3,3,,1,5,2,,1,2,2,,2,1,3,
84,2,2,3,,1,1,2,,3,1,3,,1,2,1,,2,3,1,,2,5,2,
85,3,2,2,,5,1,1,,3,1,1,,5,2,2,,1,3,1,,1,5,2,
86,3,3,3,,3,3,3,,3,2,2,,1,3,2,,5,1,1,,2,2,2,
87,3,2,2,,5,1,2,,3,2,2,,3,2,3,,3,1,2,,3,1,2,
88,4,2,1,,1,2,5,,3,4,3,,3,1,1,,4,3,1,,4,3,3,
89,2,3,2,,3,3,2,,1,2,1,,2,1,2,,3,1,2,,1,2,2,
90,4,2,1,,3,2,3,,1,3,2,,3,2,1,,1,2,2,,2,1,2,
91,2,,4,,3,,1,,3,,2,,5,,2,,1,,4,,1,,2,
92,4,,2,,1,,3,,3,,1,,2,,2,,1,,2,,1,,1,
93,3,,3,,5,,5,,1,,3,,3,,2,,2,,1,,1,,4,
94,2,,1,,2,,3,,1,,5,,1,,1,,2,,3,,3,,1,
95,4,,4,,2,,4,,2,,3,,2,,2,,4,,1,,2,,1,
96,5,,3,,2,,3,,4,,1,,2,,5,,1,,2,,3,,2,
97,1,,5,,3,,3,,3,,2,,1,,5,,4,,3,,1,,3,
98,4,,1,,1,,3,,1,,2,,2,,3,,4,,5,,2,,2,
99,2,,3,,2,,3,,1,,3,,2,,2,,4,,1,,4,,1,
100,4,,2,,4,,3,,2,,2,,3,,2,,3,,3,,2,,3,
101,,,2,,,,3,,,,2,,,,3,,,,1,,,,2,
102,,,2,,,,1,,,,1,,,,1,,,,1,,,,2,
103,,,3,,,,2,,,,3,,,,4,,,,3,,,,3,
