,score,solved,total,rate,rate*,40_pass,40_pass*
2019_1,95,100,100,95.0,95.0,True,True
2019_2,69,90,90,76.66666666666667,76.66666666666667,True,True
2019_3,125,140,140,89.28571428571429,89.28571428571429,True,True
2019_4,10,20,20,50.0,50.0,True,True
2020_1,94,100,100,94.0,94.0,True,True
2020_2,67,90,90,74.44444444444444,74.44444444444444,True,True
2020_3,124,140,140,88.57142857142857,88.57142857142857,True,True
2020_4,15,20,20,75.0,75.0,True,True
2021_1,89,100,100,89.0,89.0,True,True
2021_2,61,89,90,67.77777777777779,68.53932584269663,True,True
2021_3,121,140,140,86.42857142857143,86.42857142857143,True,True
2021_4,15,20,20,75.0,75.0,True,True
2022_1,93,100,100,93.0,93.0,True,True
2022_2,69,88,90,76.66666666666667,78.4090909090909,True,True
2022_3,109,140,140,77.85714285714286,77.85714285714286,True,True
2022_4,18,20,20,90.0,90.0,True,True
2023_1,97,100,100,97.0,97.0,True,True
2023_2,70,89,90,77.77777777777779,78.65168539325843,True,True
2023_3,123,140,140,87.85714285714286,87.85714285714286,True,True
2023_4,15,20,20,75.0,75.0,True,True
2024_1,95,100,100,95.0,95.0,True,True
2024_2,66,90,90,73.33333333333333,73.33333333333333,True,True
2024_3,121,140,140,86.42857142857143,86.42857142857143,True,True
2024_4,11,20,20,55.00000000000001,55.00000000000001,True,True
