,score,solved,total,rate,rate*,40_pass,40_pass*
2019_1,94,100,100,94.0,94.0,True,True
2019_2,63,86,90,70.0,73.25581395348837,True,True
2019_3,115,140,140,82.14285714285714,82.14285714285714,True,True
2019_4,12,20,20,60.0,60.0,True,True
2020_1,95,100,100,95.0,95.0,True,True
2020_2,61,82,90,67.77777777777779,74.39024390243902,True,True
2020_3,124,140,140,88.57142857142857,88.57142857142857,True,True
2020_4,11,20,20,55.00000000000001,55.00000000000001,True,True
2021_1,84,98,100,84.0,85.71428571428571,True,True
2021_2,57,84,90,63.33333333333333,67.85714285714286,True,True
2021_3,116,140,140,82.85714285714286,82.85714285714286,True,True
2021_4,12,20,20,60.0,60.0,True,True
2022_1,88,100,100,88.0,88.0,True,True
2022_2,58,83,90,64.44444444444444,69.87951807228916,True,True
2022_3,103,138,140,73.57142857142858,74.63768115942028,True,True
2022_4,14,20,20,70.0,70.0,True,True
2023_1,94,100,100,94.0,94.0,True,True
2023_2,62,84,90,68.88888888888889,73.80952380952381,True,True
2023_3,117,140,140,83.57142857142857,83.57142857142857,True,True
2023_4,15,20,20,75.0,75.0,True,True
2024_1,92,100,100,92.0,92.0,True,True
2024_2,57,81,90,63.33333333333333,70.37037037037037,True,True
2024_3,110,140,140,78.57142857142857,78.57142857142857,True,True
2024_4,8,20,20,40.0,40.0,True,True
