,score,solved,total,rate,rate*,40_pass,40_pass*
2019_1,95,99,100,95.0,95.95959595959596,True,True
2019_2,60,85,90,66.66666666666666,70.58823529411765,True,True
2019_3,118,140,140,84.28571428571429,84.28571428571429,True,True
2019_4,10,20,20,50.0,50.0,True,True
2020_1,93,99,100,93.0,93.93939393939394,True,True
2020_2,65,86,90,72.22222222222221,75.5813953488372,True,True
2020_3,125,139,140,89.28571428571429,89.92805755395683,True,True
2020_4,12,20,20,60.0,60.0,True,True
2021_1,86,100,100,86.0,86.0,True,True
2021_2,63,86,90,70.0,73.25581395348837,True,True
2021_3,117,140,140,83.57142857142857,83.57142857142857,True,True
2021_4,12,20,20,60.0,60.0,True,True
2022_1,88,100,100,88.0,88.0,True,True
2022_2,62,86,90,68.88888888888889,72.09302325581395,True,True
2022_3,101,140,140,72.14285714285714,72.14285714285714,True,True
2022_4,15,20,20,75.0,75.0,True,True
2023_1,93,99,100,93.0,93.93939393939394,True,True
2023_2,62,85,90,68.88888888888889,72.94117647058823,True,True
2023_3,113,140,140,80.71428571428572,80.71428571428572,True,True
2023_4,13,20,20,65.0,65.0,True,True
2024_1,90,100,100,90.0,90.0,True,True
2024_2,66,84,90,73.33333333333333,78.57142857142857,True,True
2024_3,111,140,140,79.28571428571428,79.28571428571428,True,True
2024_4,11,20,20,55.00000000000001,55.00000000000001,True,True
