,score,solved,total,rate,rate*,40_pass,40_pass*
2019_1,83,100,100,83.0,83.0,True,True
2019_2,48,89,90,53.333333333333336,53.93258426966292,True,True
2019_3,92,140,140,65.71428571428571,65.71428571428571,True,True
2019_4,11,20,20,55.00000000000001,55.00000000000001,True,True
2020_1,81,100,100,81.0,81.0,True,True
2020_2,51,90,90,56.666666666666664,56.666666666666664,True,True
2020_3,108,140,140,77.14285714285715,77.14285714285715,True,True
2020_4,9,20,20,45.0,45.0,True,True
2021_1,77,100,100,77.0,77.0,True,True
2021_2,42,90,90,46.666666666666664,46.666666666666664,True,True
2021_3,93,140,140,66.42857142857143,66.42857142857143,True,True
2021_4,9,20,20,45.0,45.0,True,True
2022_1,80,100,100,80.0,80.0,True,True
2022_2,47,90,90,52.22222222222223,52.22222222222223,True,True
2022_3,81,140,140,57.85714285714286,57.85714285714286,True,True
2022_4,12,20,20,60.0,60.0,True,True
2023_1,84,100,100,84.0,84.0,True,True
2023_2,46,90,90,51.11111111111111,51.11111111111111,True,True
2023_3,96,140,140,68.57142857142857,68.57142857142857,True,True
2023_4,14,20,20,70.0,70.0,True,True
2024_1,79,100,100,79.0,79.0,True,True
2024_2,46,90,90,51.11111111111111,51.11111111111111,True,True
2024_3,87,140,140,62.142857142857146,62.142857142857146,True,True
2024_4,7,20,20,35.0,35.0,False,False
