,2019_1,2019_2,2019_3,2019_4,2020_1,2020_2,2020_3,2020_4,2021_1,2021_2,2021_3,2021_4,2022_1,2022_2,2022_3,2022_4,2023_1,2023_2,2023_3,2023_4,2024_1,2024_2,2024_3,2024_4
1,4,5,5,3,2,2,2,2,4,5,4,2,2,3,4,3,5,3,4,4,1,3,4,4
2,2,3,5,3,4,1,5,4,3,4,4,2,5,4,5,1,4,3,4,4,3,5,5,2
3,2,3,4,3,1,3,3,3,5,5,3,4,4,3,3,4,2,4,5,5,4,1,3,4
4,1,3,5,4,4,4,5,4,4,4,5,3,4,4,4,5,4,4,5,4,5,3,4,4
5,4,5,4,4,5,1,4,5,3,5,5,3,4,2,3,5,5,2,2,5,3,4,5,4
6,3,3,2,5,2,5,4,4,2,4,5,4,4,5,1,4,5,4,4,4,4,2,5,3
7,5,4,2,4,5,3,2,4,3,3,4,4,4,4,3,3,2,3,5,3,2,1,4,4
8,5,4,5,4,4,4,4,4,3,2,5,5,4,4,5,4,1,4,4,4,2,4,4,3
9,1,3,5,4,1,4,4,5,4,4,3,5,2,3,4,3,4,4,2,3,3,4,5,3
10,3,3,1,4,3,4,4,5,2,4,4,4,3,4,4,4,2,4,2,4,2,4,2,4
11,3,3,4,4,5,4,2,5,5,4,4,4,3,4,5,5,5,4,5,4,4,3,3,5
12,5,2,5,4,2,4,4,3,5,2,2,3,3,4,2,4,3,1,2,1,2,4,2,4
13,3,4,5,3,2,3,3,3,3,4,4,4,4,4,5,3,3,3,3,5,1,3,4,3
14,5,2,2,4,4,3,4,3,3,4,3,4,4,4,3,4,5,4,4,3,1,4,3,4
15,2,4,3,5,4,3,3,3,3,3,5,3,4,4,4,4,4,5,2,4,3,3,4,2
16,4,4,5,3,5,3,3,2,4,3,4,2,2,4,5,3,4,4,2,4,4,4,1,3
17,5,3,4,4,5,4,4,5,4,3,4,4,4,3,4,5,3,4,5,5,5,5,4,2
18,1,4,5,4,4,2,5,4,3,4,3,3,3,4,4,4,2,4,2,3,4,4,5,2
19,4,4,3,4,3,4,4,4,2,4,3,4,3,3,4,4,3,3,2,2,2,4,4,4
20,4,5,3,5,3,3,1,5,3,3,2,2,4,4,4,4,3,3,4,1,4,4,2,2
21,4,4,4,,3,2,3,,3,3,5,,1,3,4,,4,3,4,,5,4,4,
22,2,3,4,,1,3,2,,5,4,1,,1,3,2,,3,3,3,,5,3,4,
23,2,,1,,3,2,4,,5,4,5,,5,3,4,,4,3,3,,4,4,1,
24,3,3,5,,5,4,5,,2,4,5,,5,3,5,,4,3,4,,2,4,4,
25,2,3,3,,4,4,4,,2,3,5,,4,3,3,,1,3,4,,1,3,5,
26,4,3,4,,4,3,2,,1,3,5,,3,3,4,,4,4,5,,4,3,3,
27,1,3,3,,2,4,1,,5,3,1,,5,3,4,,4,3,2,,5,3,5,
28,3,3,4,,2,4,2,,3,3,4,,1,3,4,,2,4,5,,3,3,1,
29,3,3,3,,5,3,3,,1,3,4,,4,3,4,,3,3,3,,3,3,2,
30,5,1,5,,4,3,5,,3,3,4,,3,3,5,,4,4,4,,5,3,3,
31,1,4,3,,5,4,4,,4,3,3,,4,2,3,,4,4,4,,2,2,5,
32,3,4,5,,5,3,1,,4,4,4,,4,4,4,,4,4,3,,5,4,4,
33,2,4,5,,5,3,2,,5,4,2,,4,3,2,,3,3,2,,4,3,4,
34,5,4,5,,2,3,5,,5,1,2,,1,4,2,,2,3,5,,1,3,3,
35,5,3,2,,2,3,5,,5,4,4,,1,4,2,,5,4,2,,5,3,3,
36,4,3,2,,5,4,2,,5,4,4,,4,5,2,,5,3,3,,2,4,5,
37,5,4,2,,3,4,2,,3,3,2,,5,3,4,,3,4,2,,4,4,3,
38,2,4,4,,4,4,5,,3,3,1,,1,4,3,,1,2,5,,3,4,2,
39,4,4,4,,4,4,4,,2,5,5,,4,4,4,,5,5,4,,2,4,4,
40,1,1,1,,5,2,1,,3,3,3,,3,3,3,,5,4,5,,5,2,4,
41,1,4,1,,3,4,4,,4,4,4,,4,4,4,,1,4,4,,3,3,3,
42,4,3,4,,2,3,5,,4,4,3,,2,4,4,,1,3,4,,4,4,4,
43,1,5,5,,3,5,5,,1,4,3,,5,4,5,,3,4,4,,3,4,4,
44,4,4,5,,4,4,3,,3,3,3,,4,5,4,,5,3,3,,3,5,2,
45,3,4,4,,3,4,5,,1,3,5,,5,5,4,,3,4,3,,3,3,4,
46,1,2,4,,4,4,2,,2,4,2,,1,4,3,,5,4,3,,4,4,3,
47,2,4,3,,3,4,5,,3,4,2,,4,4,4,,2,4,4,,4,3,3,
48,2,4,3,,5,4,4,,3,2,5,,2,5,4,,2,5,4,,5,1,5,
49,2,3,2,,2,2,1,,3,4,3,,2,5,4,,2,3,5,,3,3,2,
50,1,4,2,,3,3,3,,2,5,2,,5,4,4,,3,1,3,,3,5,4,
51,4,2,2,,3,4,5,,4,4,5,,5,4,4,,1,5,5,,5,3,4,
52,2,1,5,,4,4,1,,5,5,4,,3,5,4,,5,4,5,,3,4,2,
53,2,5,3,,4,4,4,,3,3,5,,3,4,1,,5,4,3,,4,4,4,
54,4,4,4,,4,4,4,,2,4,4,,2,4,3,,4,4,4,,3,2,5,
55,2,5,2,,1,5,1,,2,4,3,,2,4,5,,1,3,5,,5,2,3,
56,2,4,2,,1,5,3,,4,4,3,,1,4,3,,2,4,4,,1,5,1,
57,1,5,3,,2,4,4,,5,4,4,,2,5,4,,2,3,2,,4,3,5,
58,5,5,2,,5,5,3,,4,4,5,,2,4,3,,1,3,2,,4,4,4,
59,3,5,5,,1,5,3,,4,5,3,,4,2,4,,3,4,4,,5,3,4,
60,3,4,4,,5,4,4,,4,5,2,,4,2,3,,2,4,1,,5,3,3,
61,5,3,4,,2,3,3,,5,5,5,,3,3,4,,5,3,4,,4,4,4,
62,5,5,3,,4,3,4,,3,5,4,,4,2,4,,4,4,1,,4,3,5,
63,1,1,1,,3,5,5,,3,1,4,,3,5,4,,3,5,3,,1,3,4,
64,3,4,1,,1,4,2,,2,4,5,,1,4,3,,1,2,4,,1,3,4,
65,1,5,5,,5,3,2,,4,3,5,,3,5,4,,1,2,2,,2,2,4,
66,4,2,1,,2,5,5,,4,4,3,,3,3,4,,5,4,5,,1,4,5,
67,1,5,3,,1,4,4,,4,5,2,,4,4,3,,1,4,4,,5,3,2,
68,4,4,5,,2,4,5,,4,4,3,,1,4,2,,4,4,3,,2,4,4,
69,4,3,4,,2,5,4,,3,4,4,,1,4,2,,5,4,2,,3,4,1,
70,5,4,5,,5,4,4,,4,3,4,,5,1,4,,4,2,5,,1,4,5,
71,3,5,2,,2,5,4,,5,4,4,,4,3,4,,3,3,5,,4,2,1,
72,4,5,4,,2,5,4,,5,4,4,,1,4,4,,4,5,2,,4,4,2,
73,3,3,4,,1,4,4,,5,3,2,,1,5,5,,3,5,4,,5,4,2,
74,1,1,3,,2,4,4,,4,5,2,,1,2,3,,4,2,4,,1,5,3,
75,4,4,3,,3,5,4,,5,4,3,,2,1,3,,1,4,4,,4,4,4,
76,5,2,3,,4,1,4,,3,4,5,,5,3,3,,4,5,4,,4,5,4,
77,4,5,2,,2,5,3,,5,3,5,,1,5,1,,1,4,3,,2,4,4,
78,4,4,3,,2,4,4,,3,3,5,,5,4,1,,1,4,3,,5,5,4,
79,4,5,2,,1,4,3,,1,5,4,,5,3,4,,3,3,3,,2,4,1,
80,4,4,4,,3,5,5,,3,4,4,,3,2,5,,3,4,4,,2,4,5,
81,5,5,5,,3,4,3,,4,5,5,,1,4,1,,4,2,5,,4,3,3,
82,3,5,1,,2,1,1,,3,4,1,,5,4,3,,2,4,3,,3,4,4,
