,score,solved,total,rate,rate*,40_pass,40_pass*
2019_1,76,100,100,76.0,76.0,True,True
2019_2,48,90,90,53.333333333333336,53.333333333333336,True,True
2019_3,79,140,140,56.42857142857143,56.42857142857143,True,True
2019_4,7,20,20,35.0,35.0,False,False
2020_1,75,100,100,75.0,75.0,True,True
2020_2,44,90,90,48.888888888888886,48.888888888888886,True,True
2020_3,92,140,140,65.71428571428571,65.71428571428571,True,True
2020_4,5,20,20,25.0,25.0,False,False
2021_1,67,100,100,67.0,67.0,True,True
2021_2,45,90,90,50.0,50.0,True,True
2021_3,77,140,140,55.00000000000001,55.00000000000001,True,True
2021_4,5,20,20,25.0,25.0,False,False
2022_1,69,100,100,69.0,69.0,True,True
2022_2,39,89,90,43.333333333333336,43.82022471910113,True,True
2022_3,66,140,140,47.14285714285714,47.14285714285714,True,True
2022_4,6,19,20,30.0,31.57894736842105,False,False
2023_1,82,100,100,82.0,82.0,True,True
2023_2,47,90,90,52.22222222222223,52.22222222222223,True,True
2023_3,75,140,140,53.57142857142857,53.57142857142857,True,True
2023_4,8,20,20,40.0,40.0,True,True
2024_1,75,100,100,75.0,75.0,True,True
2024_2,34,90,90,37.77777777777778,37.77777777777778,False,False
2024_3,69,140,140,49.28571428571429,49.28571428571429,True,True
2024_4,6,20,20,30.0,30.0,False,False
