,2019_1,2019_2,2019_3,2019_4,2020_1,2020_2,2020_3,2020_4,2021_1,2021_2,2021_3,2021_4,2022_1,2022_2,2022_3,2022_4,2023_1,2023_2,2023_3,2023_4,2024_1,2024_2,2024_3,2024_4
1,5,5,5,4,2,5,2,2,4,5,4,2,2,3,4,4,5,3,4,5,1,5,4,4
2,2,4,5,4,4,1,5,4,3,2,4,2,5,4,5,5,4,5,4,5,4,5,5,4
3,2,4,4,5,5,4,3,4,5,5,5,4,4,3,4,4,2,4,5,4,4,1,4,3
4,1,4,5,4,4,4,5,5,4,4,5,5,5,5,4,3,4,4,5,5,5,3,3,4
5,4,5,4,4,5,5,4,5,5,5,5,4,1,4,4,4,3,2,2,5,3,4,5,4
6,4,3,4,5,2,4,4,4,5,4,3,4,5,5,1,3,5,4,5,5,4,2,5,4
7,5,5,2,4,5,3,2,5,2,3,4,4,4,4,5,4,2,3,5,5,2,1,4,4
8,5,2,4,4,4,4,4,5,5,2,5,5,5,5,5,3,5,5,5,4,4,4,4,5
9,1,4,5,4,4,4,4,5,4,4,2,5,5,3,4,5,4,3,2,4,4,4,5,5
10,5,5,5,5,2,4,4,5,2,4,4,5,4,4,4,4,2,4,5,3,2,4,2,5
11,5,3,2,4,5,4,5,5,5,4,5,5,3,4,2,5,5,4,4,4,4,4,4,5
12,5,2,4,5,4,4,4,5,5,5,5,5,4,5,4,4,5,5,2,4,2,5,5,5
13,3,4,5,4,2,5,5,4,3,4,4,5,4,4,5,5,3,4,2,5,1,3,5,5
14,5,2,2,5,4,5,4,4,3,4,4,4,4,4,2,4,5,4,4,5,1,5,3,4
15,2,5,4,5,4,3,3,4,4,5,5,5,4,4,5,,4,5,2,4,4,3,3,2
16,4,4,5,5,5,1,3,5,4,5,5,5,2,5,5,5,4,4,4,4,5,4,1,3
17,5,4,4,5,5,4,4,5,4,5,4,5,4,3,4,5,3,3,4,5,5,4,4,5
18,1,4,5,5,4,5,5,4,5,4,3,3,5,4,5,4,2,5,2,3,4,4,5,5
19,4,2,3,4,4,4,5,3,2,5,3,5,3,5,4,5,3,4,4,5,2,5,4,4
20,4,5,3,5,4,5,1,5,4,1,4,4,1,5,4,4,3,5,5,5,4,5,2,5
21,4,4,4,,3,2,3,,5,2,5,,1,,4,,5,4,4,,5,5,4,
22,5,4,4,,1,5,5,,5,5,1,,4,4,2,,3,4,2,,4,4,5,
23,2,4,5,,3,4,3,,5,3,5,,5,5,4,,2,5,3,,4,4,5,
24,5,4,5,,5,4,5,,2,5,5,,5,4,4,,4,4,2,,5,5,4,
25,5,5,3,,4,5,4,,2,4,5,,4,4,5,,1,4,4,,5,5,4,
26,4,4,2,,4,4,2,,1,4,5,,5,5,4,,5,5,1,,4,5,3,
27,1,4,5,,2,5,2,,5,4,1,,5,4,4,,5,4,2,,3,5,5,
28,3,5,4,,2,5,3,,3,5,4,,1,4,4,,5,1,5,,3,5,4,
29,3,5,3,,5,4,4,,5,5,4,,4,4,4,,5,4,3,,3,5,5,
30,5,1,5,,4,5,5,,5,5,4,,5,5,4,,4,4,5,,1,4,4,
31,1,4,4,,5,1,4,,4,4,5,,4,2,1,,4,4,4,,2,2,5,
32,3,5,4,,4,3,1,,4,5,4,,4,4,4,,4,4,5,,5,5,4,
33,2,1,5,,5,4,2,,5,5,1,,1,4,2,,1,4,2,,4,5,4,
34,5,2,5,,2,5,4,,5,5,3,,1,4,5,,1,4,5,,1,4,3,
35,5,5,2,,5,5,5,,5,4,4,,1,4,4,,5,4,5,,5,5,4,
36,4,4,2,,5,4,4,,5,5,4,,5,5,5,,5,1,5,,2,4,5,
37,5,5,2,,3,4,5,,5,5,5,,5,4,4,,3,5,4,,4,4,3,
38,5,4,5,,1,3,5,,5,4,1,,1,4,3,,1,2,5,,4,4,2,
39,4,4,1,,4,3,4,,5,5,4,,4,4,4,,5,5,4,,2,4,5,
40,1,5,5,,5,5,1,,3,5,3,,4,4,4,,5,4,5,,5,2,5,
41,1,5,3,,3,4,4,,5,3,4,,4,4,5,,1,5,4,,3,5,4,
42,5,4,4,,2,5,5,,5,2,1,,4,4,5,,5,4,4,,5,4,4,
43,5,5,5,,1,5,5,,1,5,4,,5,4,5,,5,5,2,,3,4,2,
44,5,4,5,,5,5,3,,3,3,4,,4,5,5,,5,3,3,,3,5,4,
45,3,4,4,,3,4,5,,5,3,5,,5,5,4,,3,4,4,,1,4,4,
46,1,2,4,,3,5,2,,5,4,2,,1,4,4,,5,4,3,,5,2,4,
47,2,4,5,,3,4,5,,3,4,2,,4,4,4,,2,5,4,,2,5,4,
48,2,5,5,,5,4,4,,5,2,5,,5,5,4,,2,5,4,,5,5,5,
49,2,3,2,,2,4,4,,3,4,5,,5,5,4,,2,5,5,,3,3,2,
50,1,4,5,,5,3,3,,2,5,4,,5,5,4,,3,5,5,,3,5,4,
51,4,2,2,,3,3,5,,4,4,5,,5,4,5,,1,5,4,,5,3,4,
52,2,5,5,,4,3,5,,4,5,4,,3,5,2,,5,4,5,,3,4,2,
53,2,5,3,,3,4,4,,5,3,5,,3,5,1,,5,4,5,,4,4,5,
54,4,4,4,,4,3,4,,5,4,4,,2,4,3,,4,4,5,,5,5,5,
55,2,5,2,,1,5,1,,2,4,4,,2,2,5,,1,4,5,,5,2,3,
56,2,4,5,,5,5,5,,4,4,3,,1,1,3,,2,4,4,,1,5,1,
57,1,5,3,,2,4,5,,5,4,4,,2,2,4,,2,3,2,,4,5,5,
58,5,4,2,,5,5,3,,4,1,5,,2,4,5,,1,5,2,,4,4,4,
59,5,4,5,,1,5,4,,5,4,3,,5,2,4,,1,5,4,,4,5,4,
60,5,5,4,,4,2,4,,4,5,4,,4,4,3,,5,5,5,,5,4,3,
61,4,5,2,,2,1,3,,5,3,5,,4,2,4,,5,4,4,,4,4,5,
62,5,5,3,,4,2,4,,2,5,5,,4,5,3,,4,4,1,,4,3,5,
63,1,4,4,,4,5,5,,3,5,4,,5,5,5,,5,5,5,,1,5,4,
64,5,4,1,,1,4,4,,5,5,5,,1,2,4,,3,2,4,,1,5,4,
65,1,5,4,,5,3,4,,4,3,5,,4,5,4,,1,2,2,,2,5,4,
66,5,2,1,,2,5,5,,4,5,4,,3,4,4,,5,5,2,,5,4,5,
67,1,5,3,,1,4,4,,4,5,5,,4,4,5,,5,4,5,,5,5,2,
68,4,2,5,,2,3,4,,4,5,3,,4,4,2,,4,4,1,,2,4,4,
69,4,4,4,,4,5,4,,3,5,4,,1,4,2,,5,5,2,,5,4,1,
70,5,4,5,,5,4,4,,4,3,1,,5,5,4,,5,2,5,,1,4,5,
71,5,2,2,,2,5,4,,5,1,4,,4,2,4,,3,3,4,,4,5,2,
72,5,5,4,,2,5,4,,5,2,4,,5,4,4,,4,5,2,,4,4,2,
73,3,5,5,,1,5,4,,5,5,2,,5,5,5,,5,5,4,,5,4,2,
74,1,1,3,,2,1,4,,4,5,2,,1,5,5,,4,2,4,,1,4,2,
75,4,4,2,,5,5,4,,5,4,4,,2,1,1,,1,4,4,,4,4,4,
76,5,1,3,,4,1,4,,3,4,1,,5,1,5,,4,5,1,,1,5,3,
77,4,5,1,,3,5,3,,5,4,5,,1,4,5,,1,4,5,,2,4,4,
78,5,4,3,,5,4,4,,5,3,5,,5,4,1,,1,5,5,,5,5,4,
79,4,5,4,,1,5,3,,1,4,4,,5,5,5,,3,3,3,,2,4,1,
80,4,5,4,,5,5,5,,4,4,5,,3,5,5,,3,5,2,,2,1,5,
81,5,5,5,,3,4,5,,4,5,5,,1,4,5,,2,2,5,,4,4,4,
82,3,5,1,,2,1,1,,3,4,5,,5,4,5,,4,1,5,,3,4,4,
83,5,4,4,,5,4,2,,5,4,5,,4,5,2,,1,2,2,,4,1,4,
84,2,5,5,,4,1,5,,5,5,4,,5,5,5,,4,3,4,,4,5,2,
85,3,2,4,,5,5,4,,5,1,2,,4,5,3,,4,5,5,,1,5,5,
86,4,3,3,,3,3,3,,3,5,2,,5,3,2,,5,4,4,,2,3,5,
87,1,2,5,,5,5,3,,3,4,4,,3,4,3,,3,1,5,,3,5,2,
88,4,2,1,,1,4,5,,5,4,4,,3,4,4,,5,3,4,,4,4,3,
89,2,3,2,,3,5,5,,5,1,5,,2,5,4,,3,5,2,,4,5,4,
90,4,2,1,,5,2,4,,5,3,2,,5,3,5,,1,4,5,,2,4,4,
91,2,,4,,2,,5,,3,,3,,5,,5,,1,,4,,1,,2,
92,4,,2,,1,,3,,3,,5,,4,,5,,3,,2,,1,,4,
93,3,,5,,5,,5,,1,,3,,5,,3,,5,,4,,1,,4,
94,1,,3,,5,,4,,1,,5,,1,,4,,2,,3,,4,,5,
95,4,,4,,4,,4,,5,,5,,5,,5,,4,,5,,2,,5,
96,5,,4,,5,,3,,4,,3,,5,,5,,1,,5,,3,,2,
97,5,,5,,4,,3,,5,,2,,1,,5,,4,,4,,5,,5,
98,4,,5,,5,,5,,5,,2,,5,,3,,4,,5,,4,,4,
99,2,,3,,2,,5,,1,,2,,2,,4,,4,,4,,4,,5,
100,4,,4,,4,,3,,2,,2,,4,,5,,4,,5,,5,,3,
101,,,5,,,,3,,,,4,,,,3,,,,2,,,,4,
102,,,5,,,,5,,,,3,,,,5,,,,4,,,,4,
103,,,5,,,,2,,,,4,,,,4,,,,3,,,,5,
104,,,5,,,,4,,,,4,,,,2,,,,2,,,,2,
105,,,4,,,,4,,,,5,,,,2,,,,5,,,,5,
106,,,4,,,,4,,,,2,,,,4,,,,3,,,,4,
107,,,4,,,,5,,,,5,,,,4,,,,5,,,,5,
108,,,4,,,,5,,,,4,,,,4,,,,4,,,,2,
109,,,2,,,,4,,,,4,,,,4,,,,5,,,,5,
110,,,5,,,,3,,,,2,,,,3,,,,3,,,,2,
111,,,5,,,,4,,,,2,,,,3,,,,1,,,,4,
112,,,4,,,,5,,,,4,,,,1,,,,4,,,,5,
113,,,5,,,,5,,,,3,,,,4,,,,4,,,,2,
114,,,5,,,,5,,,,5,,,,4,,,,4,,,,4,
115,,,4,,,,4,,,,1,,,,5,,,,4,,,,4,
116,,,5,,,,5,,,,5,,,,5,,,,5,,,,3,
117,,,5,,,,4,,,,4,,,,5,,,,5,,,,4,
118,,,5,,,,5,,,,4,,,,5,,,,4,,,,5,
119,,,3,,,,5,,,,5,,,,2,,,,5,,,,3,
120,,,1,,,,1,,,,2,,,,5,,,,5,,,,4,
121,,,4,,,,3,,,,3,,,,2,,,,4,,,,4,
122,,,5,,,,5,,,,5,,,,4,,,,4,,,,5,
123,,,3,,,,4,,,,2,,,,4,,,,5,,,,1,
124,,,5,,,,4,,,,4,,,,4,,,,4,,,,3,
125,,,4,,,,2,,,,2,,,,3,,,,4,,,,5,
126,,,3,,,,4,,,,4,,,,3,,,,1,,,,5,
127,,,4,,,,4,,,,3,,,,4,,,,2,,,,4,
128,,,2,,,,1,,,,3,,,,5,,,,4,,,,3,
129,,,5,,,,4,,,,5,,,,5,,,,2,,,,4,
130,,,4,,,,4,,,,5,,,,5,,,,4,,,,4,
131,,,4,,,,5,,,,4,,,,4,,,,4,,,,1,
132,,,2,,,,4,,,,4,,,,5,,,,5,,,,5,
133,,,4,,,,2,,,,5,,,,4,,,,2,,,,1,
134,,,4,,,,4,,,,4,,,,4,,,,5,,,,5,
135,,,3,,,,5,,,,4,,,,5,,,,3,,,,5,
136,,,4,,,,5,,,,4,,,,4,,,,5,,,,4,
137,,,4,,,,5,,,,4,,,,4,,,,4,,,,4,
138,,,4,,,,4,,,,3,,,,4,,,,4,,,,3,
139,,,4,,,,4,,,,2,,,,4,,,,4,,,,4,
140,,,4,,,,2,,,,4,,,,5,,,,4,,,,5,
