,score,solved,total,rate,rate*,40_pass,40_pass*
2019_1,87,99,100,87.0,87.87878787878788,True,True
2019_2,59,85,90,65.55555555555556,69.41176470588235,True,True
2019_3,111,140,140,79.28571428571428,79.28571428571428,True,True
2019_4,9,20,20,45.0,45.0,True,True
2020_1,86,99,100,86.0,86.86868686868688,True,True
2020_2,60,86,90,66.66666666666666,69.76744186046511,True,True
2020_3,101,140,140,72.14285714285714,72.14285714285714,True,True
2020_4,11,20,20,55.00000000000001,55.00000000000001,True,True
2021_1,77,98,100,77.0,78.57142857142857,True,True
2021_2,52,82,90,57.77777777777777,63.41463414634146,True,True
2021_3,92,140,140,65.71428571428571,65.71428571428571,True,True
2021_4,13,20,20,65.0,65.0,True,True
2022_1,80,98,100,80.0,81.63265306122449,True,True
2022_2,51,80,90,56.666666666666664,63.74999999999999,True,True
2022_3,72,139,140,51.42857142857142,51.798561151079134,True,True
2022_4,13,20,20,65.0,65.0,True,True
2023_1,90,100,100,90.0,90.0,True,True
2023_2,59,83,90,65.55555555555556,71.08433734939759,True,True
2023_3,96,140,140,68.57142857142857,68.57142857142857,True,True
2023_4,12,20,20,60.0,60.0,True,True
2024_1,90,100,100,90.0,90.0,True,True
2024_2,59,83,90,65.55555555555556,71.08433734939759,True,True
2024_3,104,139,140,74.28571428571429,74.82014388489209,True,True
2024_4,9,20,20,45.0,45.0,True,True
