,score,solved,total,rate,rate*,40_pass,40_pass*
2019_1,87,100,100,87.0,87.0,True,True
2019_2,56,90,90,62.22222222222222,62.22222222222222,True,True
2019_3,107,140,140,76.42857142857142,76.42857142857142,True,True
2019_4,11,20,20,55.00000000000001,55.00000000000001,True,True
2020_1,90,100,100,90.0,90.0,True,True
2020_2,56,90,90,62.22222222222222,62.22222222222222,True,True
2020_3,112,140,140,80.0,80.0,True,True
2020_4,7,20,20,35.0,35.0,False,False
2021_1,88,100,100,88.0,88.0,True,True
2021_2,58,90,90,64.44444444444444,64.44444444444444,True,True
2021_3,103,140,140,73.57142857142858,73.57142857142858,True,True
2021_4,10,20,20,50.0,50.0,True,True
2022_1,82,100,100,82.0,82.0,True,True
2022_2,47,90,90,52.22222222222223,52.22222222222223,True,True
2022_3,95,140,140,67.85714285714286,67.85714285714286,True,True
2022_4,13,20,20,65.0,65.0,True,True
2023_1,93,100,100,93.0,93.0,True,True
2023_2,58,88,90,64.44444444444444,65.9090909090909,True,True
2023_3,106,140,140,75.71428571428571,75.71428571428571,True,True
2023_4,11,20,20,55.00000000000001,55.00000000000001,True,True
2024_1,86,100,100,86.0,86.0,True,True
2024_2,49,90,90,54.44444444444444,54.44444444444444,True,True
2024_3,94,140,140,67.14285714285714,67.14285714285714,True,True
2024_4,8,20,20,40.0,40.0,True,True
