,2019_1,2019_2,2019_3,2019_4,2020_1,2020_2,2020_3,2020_4,2021_1,2021_2,2021_3,2021_4,2022_1,2022_2,2022_3,2022_4,2023_1,2023_2,2023_3,2023_4,2024_1,2024_2,2024_3,2024_4
1,5,5,5,3,4,2,2,2,4,5,5,2,2,3,5,4,5,3,1,3,1,5,5,4
2,2,5,5,5,4,1,5,5,3,4,4,2,1,4,5,3,5,5,4,4,5,5,5,5
3,2,4,4,3,1,5,3,5,5,5,4,4,4,3,3,2,2,5,5,5,5,1,4,4
4,1,5,5,2,4,5,5,4,4,5,5,5,5,5,4,5,5,4,5,5,5,3,4,4
5,4,5,5,5,5,1,4,5,5,5,5,3,1,5,4,5,5,2,5,5,3,4,5,5
6,5,3,5,5,2,4,4,5,5,4,5,5,5,5,1,5,5,5,5,4,4,2,5,4
7,5,5,5,4,5,5,2,4,4,4,5,5,4,5,3,5,2,2,5,5,2,1,4,5
8,5,5,5,4,4,5,4,5,5,2,5,5,2,5,5,4,5,5,5,4,4,5,4,5
9,1,4,5,4,1,4,4,5,4,4,5,5,5,3,5,4,4,4,2,5,5,4,5,5
10,5,5,5,5,2,4,4,5,2,4,5,4,5,5,4,4,2,5,2,4,2,4,2,5
11,3,5,4,4,5,4,5,5,5,4,5,5,3,4,5,5,5,4,5,4,4,4,5,5
12,5,2,4,4,2,4,4,5,5,2,2,4,3,5,4,4,1,1,5,5,2,4,2,4
13,3,4,5,3,2,5,2,5,3,5,5,5,4,5,5,3,5,5,5,5,1,5,4,5
14,5,2,2,5,4,3,4,5,3,4,4,5,4,4,1,5,5,4,4,4,1,4,4,4
15,2,5,5,5,4,3,5,5,5,5,5,5,4,4,5,5,4,5,5,4,3,5,5,2
16,4,4,5,3,5,1,3,5,5,5,5,5,2,5,4,5,4,5,5,4,5,4,5,3
17,5,5,4,5,5,5,4,5,4,5,4,5,4,5,4,3,3,4,5,5,5,5,4,2
18,1,4,5,4,3,2,5,5,4,5,3,5,3,5,4,2,2,2,2,3,4,1,5,5
19,4,5,5,4,4,4,4,5,2,5,3,4,3,5,4,2,3,1,5,5,2,5,4,4
20,4,5,5,5,4,4,5,5,4,4,5,5,4,5,5,4,3,4,4,2,5,5,1,5
21,4,4,5,,3,2,3,,1,3,5,,1,3,4,,5,4,4,,5,1,4,
22,2,4,4,,1,5,5,,5,5,1,,1,4,2,,3,4,5,,5,4,4,
23,2,,1,,3,2,5,,5,4,5,,5,5,4,,2,4,4,,4,4,5,
24,1,4,5,,5,5,5,,2,4,5,,5,,5,,3,4,5,,2,5,4,
25,2,5,4,,4,4,4,,2,4,5,,4,4,5,,1,,4,,1,5,4,
26,4,5,2,,4,,5,,1,4,5,,3,5,4,,4,4,4,,4,5,5,
27,1,5,3,,5,5,1,,5,,5,,5,4,4,,5,,5,,5,5,5,
28,3,4,4,,2,5,2,,3,5,4,,1,4,4,,5,4,5,,3,5,5,
29,3,4,3,,5,5,5,,1,5,4,,4,,5,,3,4,3,,2,5,5,
30,5,1,5,,4,4,5,,5,5,4,,3,5,5,,4,4,5,,5,,4,
31,1,4,4,,5,2,4,,4,,5,,4,1,5,,4,4,5,,2,5,5,
32,3,5,1,,5,3,1,,4,4,4,,4,4,4,,4,5,5,,5,4,4,
33,2,5,5,,5,4,2,,2,4,5,,1,5,4,,1,5,2,,4,5,4,
34,5,4,5,,2,5,5,,5,2,5,,1,4,2,,2,5,5,,1,4,5,
35,5,5,5,,2,5,5,,5,,4,,1,4,4,,5,5,5,,5,4,4,
36,4,5,5,,5,5,5,,5,5,5,,1,5,4,,5,5,5,,2,5,5,
37,5,5,2,,3,4,2,,3,5,5,,5,5,4,,3,2,2,,4,4,3,
38,2,5,4,,1,1,5,,3,5,1,,1,4,4,,1,2,5,,3,5,4,
39,4,4,5,,4,5,5,,5,4,5,,4,4,4,,5,5,4,,2,5,5,
40,1,1,1,,5,5,1,,3,3,5,,3,5,4,,5,5,5,,5,2,5,
41,1,4,5,,3,5,4,,4,4,4,,5,4,4,,1,5,4,,3,5,4,
42,5,4,4,,2,5,5,,5,4,5,,4,5,3,,1,3,5,,4,4,5,
43,5,5,5,,3,5,5,,1,5,4,,5,4,5,,2,5,5,,3,4,1,
44,5,4,5,,3,5,3,,3,3,4,,4,5,4,,5,4,3,,3,5,5,
45,3,5,4,,3,4,5,,1,5,5,,5,5,4,,3,4,5,,5,5,4,
46,1,2,4,,3,5,2,,2,4,2,,1,4,5,,5,4,1,,4,2,3,
47,2,4,2,,3,4,5,,2,4,5,,4,4,4,,2,4,4,,2,4,3,
48,2,5,3,,5,4,4,,5,2,5,,5,4,5,,2,1,4,,5,4,5,
49,2,5,2,,2,2,1,,3,4,4,,2,5,4,,2,1,5,,5,3,5,
50,1,4,1,,1,3,3,,2,5,2,,5,4,4,,3,1,4,,3,5,4,
51,4,2,2,,3,5,4,,4,4,5,,5,4,4,,1,5,5,,5,3,4,
52,2,5,5,,4,4,1,,5,5,4,,3,5,4,,5,4,5,,3,3,5,
53,2,5,5,,3,5,4,,4,5,5,,3,4,5,,5,4,5,,4,5,5,
54,4,5,5,,4,5,4,,5,5,4,,2,4,4,,4,4,4,,3,2,5,
55,2,5,5,,1,5,5,,2,5,5,,2,4,5,,1,2,5,,5,2,4,
56,2,4,5,,1,5,4,,4,4,3,,1,1,3,,2,4,5,,1,5,1,
57,1,5,3,,2,5,5,,5,4,4,,2,5,4,,2,3,5,,4,4,5,
58,5,5,2,,5,5,3,,4,5,5,,2,5,5,,1,5,2,,4,4,1,
59,5,2,5,,1,5,5,,4,4,4,,5,2,5,,1,5,4,,5,5,4,
60,5,5,5,,5,4,4,,4,5,5,,4,5,5,,1,5,5,,5,5,3,
61,4,5,4,,2,1,5,,5,3,5,,3,5,4,,5,4,4,,2,4,5,
62,5,5,5,,4,2,4,,2,5,5,,5,2,5,,4,4,1,,3,3,5,
63,1,1,1,,3,5,5,,3,1,4,,5,5,5,,5,5,5,,1,2,4,
64,3,4,1,,5,4,5,,5,5,5,,1,5,5,,1,2,4,,1,5,4,
65,1,5,5,,5,3,2,,4,5,5,,5,5,4,,1,2,2,,2,2,4,
66,5,2,1,,5,5,5,,4,2,5,,3,4,4,,5,5,5,,1,4,5,
67,1,5,5,,5,4,5,,4,5,2,,4,4,1,,1,5,5,,5,3,2,
68,4,5,5,,5,4,5,,5,5,3,,1,4,5,,5,5,5,,2,5,4,
69,1,5,4,,2,2,4,,3,5,4,,1,4,5,,5,5,2,,5,5,1,
70,5,4,1,,5,4,4,,4,3,5,,5,5,5,,5,2,5,,1,4,5,
71,5,5,4,,2,5,4,,5,1,4,,4,2,3,,3,5,5,,4,1,2,
72,4,5,5,,2,3,5,,5,2,4,,1,4,4,,4,5,5,,4,4,5,
73,3,5,5,,1,5,5,,5,5,2,,1,5,5,,3,5,5,,5,5,2,
74,1,1,2,,2,1,5,,4,5,5,,1,2,3,,4,2,4,,1,5,1,
75,4,4,2,,5,1,4,,5,4,5,,2,1,5,,1,5,2,,4,4,4,
76,5,5,3,,4,1,4,,3,4,5,,5,4,5,,4,1,4,,1,5,5,
77,4,5,1,,3,5,3,,5,3,5,,1,2,1,,1,4,5,,4,2,4,
78,5,4,3,,2,4,4,,5,3,5,,5,4,5,,1,5,3,,5,5,4,
79,4,5,5,,1,1,3,,1,2,4,,5,4,4,,3,3,3,,2,4,1,
80,4,5,4,,3,5,5,,5,5,4,,3,5,5,,5,3,4,,2,1,5,
81,5,5,5,,3,4,3,,5,5,5,,1,4,5,,2,5,5,,4,5,3,
82,3,5,1,,2,1,1,,2,4,4,,5,4,5,,4,4,5,,3,4,4,
83,5,4,3,,5,4,2,,3,4,5,,5,5,3,,1,2,2,,5,1,4,
84,5,2,5,,1,1,4,,3,5,4,,5,5,4,,4,3,5,,2,5,5,
85,3,2,4,,5,1,4,,5,1,5,,5,5,3,,1,5,5,,1,5,5,
86,5,3,3,,3,5,5,,3,5,5,,5,3,5,,5,1,4,,2,2,5,
87,1,2,4,,5,5,4,,3,4,2,,3,4,4,,3,1,5,,3,1,2,
88,4,2,1,,1,2,4,,5,4,2,,3,4,4,,4,5,4,,4,4,4,
89,2,3,2,,3,3,2,,5,1,5,,2,5,4,,3,5,5,,5,2,4,
90,4,5,5,,3,2,4,,5,3,1,,5,1,5,,1,4,5,,5,5,4,
91,2,,4,,2,,5,,5,,5,,5,,5,,1,,4,,1,,2,
92,4,,4,,1,,3,,3,,5,,5,,5,,3,,2,,5,,1,
93,3,,5,,5,,5,,1,,4,,4,,4,,5,,4,,1,,4,
94,1,,5,,5,,3,,1,,5,,1,,4,,2,,5,,4,,4,
95,5,,4,,1,,4,,2,,4,,5,,5,,4,,5,,2,,5,
96,5,,5,,2,,3,,4,,3,,5,,5,,1,,2,,3,,2,
97,5,,5,,4,,3,,5,,2,,1,,5,,4,,5,,5,,4,
98,4,,5,,5,,5,,5,,2,,5,,3,,4,,5,,4,,5,
99,2,,3,,2,,5,,1,,5,,5,,4,,4,,4,,4,,5,
100,4,,5,,4,,5,,2,,4,,5,,5,,3,,5,,5,,5,
101,,,5,,,,3,,,,4,,,,3,,,,5,,,,5,
102,,,5,,,,5,,,,5,,,,5,,,,4,,,,4,
103,,,5,,,,5,,,,4,,,,4,,,,5,,,,5,
104,,,5,,,,5,,,,5,,,,2,,,,5,,,,5,
105,,,4,,,,4,,,,5,,,,4,,,,5,,,,5,
106,,,5,,,,5,,,,2,,,,4,,,,3,,,,4,
107,,,1,,,,5,,,,2,,,,5,,,,5,,,,5,
