,score,solved,total,rate,rate*,40_pass,40_pass*
2019_1,74,100,100,74.0,74.0,True,True
2019_2,38,90,90,42.22222222222222,42.22222222222222,True,True
2019_3,76,140,140,54.285714285714285,54.285714285714285,True,True
2019_4,10,20,20,50.0,50.0,True,True
2020_1,70,100,100,70.0,70.0,True,True
2020_2,40,89,90,44.44444444444444,44.9438202247191,True,True
2020_3,73,140,140,52.142857142857146,52.142857142857146,True,True
2020_4,6,20,20,30.0,30.0,False,False
2021_1,74,100,100,74.0,74.0,True,True
2021_2,40,90,90,44.44444444444444,44.44444444444444,True,True
2021_3,73,140,140,52.142857142857146,52.142857142857146,True,True
2021_4,4,20,20,20.0,20.0,False,False
2022_1,74,100,100,74.0,74.0,True,True
2022_2,39,89,90,43.333333333333336,43.82022471910113,True,True
2022_3,61,140,140,43.57142857142857,43.57142857142857,True,True
2022_4,9,20,20,45.0,45.0,True,True
2023_1,75,100,100,75.0,75.0,True,True
2023_2,38,90,90,42.22222222222222,42.22222222222222,True,True
2023_3,72,140,140,51.42857142857142,51.42857142857142,True,True
2023_4,8,20,20,40.0,40.0,True,True
2024_1,70,100,100,70.0,70.0,True,True
2024_2,32,90,90,35.55555555555556,35.55555555555556,False,False
2024_3,67,140,140,47.85714285714286,47.85714285714286,True,True
2024_4,5,20,20,25.0,25.0,False,False
