,2019_1,2019_2,2019_3,2019_4,2020_1,2020_2,2020_3,2020_4,2021_1,2021_2,2021_3,2021_4,2022_1,2022_2,2022_3,2022_4,2023_1,2023_2,2023_3,2023_4,2024_1,2024_2,2024_3,2024_4
1,5,5,5,5,2,2,2,2,4,5,5,5,2,3,5,3,5,3,5,5,2,5,4,4
2,2,5,5,3,4,1,5,5,3,4,4,2,1,4,5,5,5,5,4,4,5,5,5,2
3,5,4,4,3,1,4,4,5,5,5,4,5,4,3,3,5,2,5,5,5,5,1,4,5
4,1,4,5,4,4,4,5,5,4,5,5,5,5,5,4,5,5,4,5,4,5,3,4,4
5,4,5,4,5,5,5,4,5,5,5,5,3,1,2,3,5,5,2,1,5,3,4,5,4
6,5,2,5,5,5,3,4,4,2,5,5,4,5,5,5,5,5,4,5,4,5,2,4,5
7,5,1,5,4,5,5,5,2,5,3,4,5,4,5,2,5,2,4,5,5,2,1,4,5
8,5,4,5,4,4,5,4,5,5,2,5,5,2,5,4,4,1,5,4,4,4,5,4,5
9,5,4,5,5,1,5,4,5,4,4,4,4,5,5,4,5,4,5,1,3,5,4,5,5
10,4,5,5,5,2,4,4,5,2,4,4,5,5,4,4,4,2,4,5,5,2,4,5,5
11,3,4,5,5,5,4,4,5,5,4,4,5,3,4,5,5,5,4,5,4,4,4,4,5
12,5,5,4,4,2,4,4,5,5,5,5,5,3,5,4,4,3,1,5,5,2,5,5,4
13,3,4,5,3,2,3,2,5,3,5,4,5,4,5,5,3,3,4,5,5,1,5,4,5
14,5,2,2,4,4,4,4,5,3,4,4,5,4,4,1,4,5,4,4,5,5,4,4,4
15,2,5,2,5,4,1,5,5,5,5,5,5,4,4,5,4,4,5,5,5,3,5,5,5
16,4,5,5,3,5,1,3,5,4,5,4,5,2,4,4,4,4,5,5,4,1,4,5,4
17,5,4,4,4,5,5,4,5,4,5,4,5,4,5,4,5,3,4,5,5,5,5,4,2
18,1,4,5,5,3,2,5,4,4,4,3,5,5,5,4,5,2,4,2,5,4,5,5,5
19,4,5,5,4,4,5,4,5,3,5,3,5,1,5,4,4,3,5,5,5,2,4,4,5
20,4,5,5,5,4,4,5,5,4,4,4,5,4,3,4,4,3,4,5,5,5,5,5,5
21,4,4,4,,3,2,3,,4,5,5,,1,3,4,,5,4,4,,5,4,4,
22,2,4,4,,1,5,5,,5,5,1,,5,4,4,,3,4,2,,5,4,5,
23,2,4,1,,3,2,4,,5,4,5,,5,4,4,,5,4,4,,4,4,5,
24,5,5,4,,5,4,5,,2,4,5,,5,4,5,,4,4,4,,5,5,4,
25,4,5,4,,4,4,4,,2,4,4,,4,4,5,,5,4,4,,1,5,4,
26,4,4,2,,4,,5,,1,4,4,,5,5,4,,4,4,5,,4,4,5,
27,1,5,3,,5,5,5,,5,4,1,,5,4,4,,4,4,5,,4,5,5,
28,3,4,4,,2,5,2,,3,5,4,,1,4,4,,5,4,5,,3,4,5,
29,4,4,3,,5,4,4,,5,4,4,,4,,4,,3,4,4,,1,5,5,
30,5,1,5,,4,4,5,,5,4,4,,3,4,5,,4,5,5,,5,4,4,
31,5,5,4,,5,5,4,,4,4,5,,4,5,1,,5,4,4,,2,2,5,
32,3,5,1,,5,3,1,,4,5,4,,3,4,4,,4,5,5,,5,4,4,
33,2,5,5,,5,4,5,,2,4,1,,1,3,4,,1,5,5,,4,5,4,
34,5,4,5,,2,5,5,,5,5,5,,1,2,2,,1,4,5,,1,4,5,
35,5,5,5,,2,5,5,,5,5,4,,1,5,2,,5,5,4,,5,4,4,
36,4,5,2,,5,5,5,,5,5,5,,5,5,4,,4,5,4,,2,4,5,
37,5,5,2,,3,4,2,,3,5,5,,5,5,4,,3,3,2,,4,4,4,
38,5,5,4,,1,4,5,,3,5,5,,1,4,5,,1,2,5,,5,5,2,
39,4,4,5,,4,4,5,,5,4,5,,4,4,4,,5,5,4,,5,5,1,
40,1,5,1,,4,2,1,,3,3,5,,4,5,4,,4,5,5,,5,2,5,
41,1,4,5,,5,4,4,,4,4,4,,5,5,4,,1,5,4,,3,5,4,
42,5,4,4,,2,5,5,,5,4,5,,4,5,4,,1,5,4,,5,4,5,
43,5,5,5,,3,4,5,,1,5,4,,5,4,5,,5,5,5,,3,4,1,
44,5,4,5,,3,5,5,,3,3,3,,4,5,4,,5,4,4,,3,5,5,
45,3,4,4,,5,4,5,,1,5,5,,5,5,4,,3,4,5,,5,5,4,
46,1,2,4,,4,3,2,,2,4,5,,1,4,5,,5,4,4,,5,2,3,
47,2,4,5,,3,4,5,,2,4,5,,4,4,4,,2,4,4,,5,4,5,
48,2,4,4,,5,4,4,,3,2,5,,5,5,5,,2,5,4,,5,4,5,
49,2,5,2,,2,4,1,,3,4,4,,5,5,4,,2,5,5,,3,3,4,
50,1,4,2,,3,3,4,,2,5,2,,5,4,4,,3,1,5,,3,5,5,
51,4,4,2,,5,4,4,,4,4,5,,5,4,4,,5,5,5,,5,3,4,
52,3,5,5,,4,4,5,,5,5,4,,3,5,4,,5,4,5,,3,4,2,
53,2,5,5,,5,4,4,,5,4,5,,3,5,4,,5,4,3,,4,4,4,
54,4,5,4,,4,5,4,,2,5,5,,2,4,4,,4,4,4,,3,2,5,
55,2,5,1,,1,5,5,,2,5,4,,2,5,5,,1,5,5,,5,2,3,
56,2,4,5,,5,5,4,,4,4,3,,1,5,3,,2,5,5,,1,5,5,
57,1,4,4,,2,4,5,,5,4,4,,2,4,4,,2,5,4,,2,5,5,
58,5,5,5,,5,4,3,,4,5,5,,2,5,5,,1,5,2,,4,4,5,
59,5,2,5,,1,5,5,,4,5,3,,5,5,4,,5,4,5,,4,4,4,
60,5,4,5,,5,4,4,,4,5,5,,4,5,4,,2,5,5,,5,4,4,
61,4,5,5,,2,5,5,,5,5,5,,4,3,4,,5,4,4,,4,4,4,
62,5,5,5,,4,4,4,,4,5,4,,4,2,5,,4,4,5,,3,5,5,
63,1,5,1,,5,5,5,,3,5,4,,5,5,5,,3,5,4,,5,2,4,
64,3,4,1,,5,4,4,,5,5,4,,1,4,5,,3,2,4,,1,5,4,
65,1,5,5,,5,5,2,,4,5,5,,4,5,4,,1,2,2,,2,5,4,
66,2,2,1,,5,5,5,,4,3,5,,5,4,4,,5,5,5,,1,5,5,
67,4,4,5,,1,4,4,,4,5,2,,4,4,1,,1,5,5,,5,3,2,
68,4,5,5,,5,4,5,,5,5,3,,5,4,5,,4,5,5,,2,4,4,
69,5,5,4,,4,5,4,,3,5,4,,1,4,5,,5,5,2,,5,5,1,
70,5,4,5,,5,4,4,,4,3,5,,5,1,5,,5,2,5,,4,4,5,
71,5,5,5,,2,5,5,,5,4,4,,4,5,3,,3,5,5,,4,4,2,
72,5,5,4,,2,5,4,,5,3,4,,1,4,4,,4,5,5,,4,5,5,
73,3,3,5,,1,5,4,,5,3,2,,1,5,5,,3,4,5,,5,4,2,
74,1,1,4,,2,4,5,,2,5,2,,1,2,3,,3,2,4,,1,5,5,
75,4,4,2,,5,5,4,,5,4,5,,4,1,5,,4,5,4,,4,4,4,
76,5,5,3,,4,1,4,,3,4,5,,5,5,5,,4,5,4,,5,5,4,
77,4,5,5,,2,5,4,,5,3,5,,1,2,5,,1,4,5,,4,2,4,
78,4,4,3,,4,4,4,,5,4,5,,5,4,5,,1,4,3,,5,5,4,
79,1,5,4,,1,4,3,,1,2,4,,5,4,4,,5,3,3,,2,4,5,
80,5,5,4,,5,5,5,,4,5,4,,3,2,5,,3,4,4,,2,1,5,
81,5,5,5,,4,4,3,,5,3,5,,5,5,5,,2,5,5,,4,5,3,
82,3,5,1,,2,1,1,,2,4,5,,5,4,5,,4,4,5,,3,4,5,
83,5,4,3,,5,4,2,,3,4,3,,5,5,2,,1,2,4,,5,5,4,
84,2,2,5,,4,1,2,,3,5,4,,5,5,5,,4,3,4,,2,5,5,
85,2,4,4,,5,4,5,,5,5,5,,5,5,3,,1,5,2,,5,5,5,
86,3,3,3,,3,5,4,,3,5,5,,5,3,4,,5,5,4,,2,5,2,
87,1,2,4,,5,4,5,,3,4,2,,3,4,4,,3,5,5,,3,4,2,
88,4,4,1,,1,4,5,,5,4,4,,3,4,4,,4,3,4,,4,4,4,
89,2,5,2,,3,4,2,,5,5,5,,2,5,4,,5,5,5,,5,5,4,
90,4,5,5,,3,2,4,,5,3,1,,5,5,5,,1,4,4,,5,4,4,
91,2,,4,,2,,5,,5,,5,,5,,5,,4,,4,,1,,5,
92,4,,4,,5,,3,,5,,5,,2,,5,,4,,2,,5,,1,
93,3,,5,,5,,5,,5,,5,,3,,4,,5,,4,,1,,4,
94,1,,3,,5,,3,,1,,5,,1,,5,,2,,5,,4,,4,
95,4,,4,,5,,4,,5,,4,,5,,5,,4,,5,,2,,5,
96,5,,4,,5,,3,,4,,4,,5,,5,,5,,4,,3,,2,
97,5,,5,,4,,3,,5,,2,,1,,4,,5,,4,,5,,4,
98,4,,5,,5,,5,,5,,2,,5,,5,,4,,5,,4,,5,
99,2,,3,,5,,5,,5,,3,,5,,4,,4,,4,,4,,5,
100,4,,2,,4,,5,,2,,2,,5,,5,,5,,5,,5,,3,
101,,,5,,,,3,,,,4,,,,3,,,,5,,,,5,
102,,,5,,,,5,,,,5,,,,5,,,,4,,,,4,
103,,,5,,,,5,,,,5,,,,4,,,,5,,,,5,
104,,,5,,,,4,,,,5,,,,3,,,,5,,,,5,
105,,,4,,,,5,,,,5,,,,4,,,,5,,,,5,
106,,,5,,,,5,,,,2,,,,4,,,,5,,,,4,
107,,,4,,,,5,,,,2,,,,4,,,,5,,,,5,
108,,,4,,,,5,,,,5,,,,5,,,,5,,,,5,
109,,,5,,,,4,,,,5,,,,4,,,,5,,,,4,
110,,,5,,,,4,,,,2,,,,4,,,,3,,,,2,
111,,,2,,,,5,,,,2,,,,4,,,,5,,,,4,
112,,,4,,,,4,,,,4,,,,1,,,,5,,,,5,
113,,,4,,,,5,,,,5,,,,4,,,,4,,,,4,
114,,,5,,,,5,,,,2,,,,4,,,,4,,,,4,
115,,,4,,,,4,,,,5,,,,4,,,,4,,,,5,
116,,,5,,,,5,,,,5,,,,5,,,,5,,,,4,
117,,,4,,,,4,,,,5,,,,5,,,,5,,,,5,
118,,,5,,,,5,,,,4,,,,5,,,,4,,,,4,
119,,,3,,,,4,,,,5,,,,5,,,,5,,,,2,
120,,,1,,,,5,,,,5,,,,3,,,,2,,,,4,
121,,,4,,,,4,,,,4,,,,4,,,,5,,,,4,
122,,,5,,,,5,,,,5,,,,4,,,,5,,,,5,
123,,,3,,,,5,,,,2,,,,5,,,,5,,,,1,
124,,,5,,,,4,,,,4,,,,2,,,,5,,,,5,
125,,,4,,,,5,,,,5,,,,4,,,,4,,,,5,
126,,,4,,,,4,,,,4,,,,3,,,,4,,,,5,
127,,,5,,,,4,,,,4,,,,4,,,,5,,,,4,
128,,,4,,,,5,,,,3,,,,5,,,,2,,,,3,
129,,,5,,,,4,,,,5,,,,5,,,,2,,,,4,
130,,,4,,,,3,,,,5,,,,5,,,,5,,,,4,
131,,,4,,,,5,,,,5,,,,4,,,,5,,,,1,
132,,,2,,,,4,,,,5,,,,5,,,,5,,,,5,
133,,,5,,,,2,,,,5,,,,5,,,,2,,,,5,
134,,,5,,,,4,,,,4,,,,4,,,,5,,,,4,
135,,,4,,,,4,,,,5,,,,5,,,,3,,,,1,
136,,,5,,,,5,,,,4,,,,5,,,,4,,,,4,
137,,,2,,,,5,,,,4,,,,4,,,,4,,,,5,
138,,,4,,,,4,,,,3,,,,5,,,,1,,,,3,
139,,,4,,,,5,,,,4,,,,4,,,,4,,,,5,
140,,,4,,,,4,,,,4,,,,5,,,,4,,,,1,
