,score,solved,total,rate,rate*,40_pass,40_pass*
2019_1,70,100,100,70.0,70.0,True,True
2019_2,47,90,90,52.22222222222223,52.22222222222223,True,True
2019_3,88,140,140,62.857142857142854,62.857142857142854,True,True
2019_4,7,20,20,35.0,35.0,False,False
2020_1,72,100,100,72.0,72.0,True,True
2020_2,40,90,90,44.44444444444444,44.44444444444444,True,True
2020_3,83,140,140,59.285714285714285,59.285714285714285,True,True
2020_4,6,20,20,30.0,30.0,False,False
2021_1,71,100,100,71.0,71.0,True,True
2021_2,45,90,90,50.0,50.0,True,True
2021_3,74,140,140,52.85714285714286,52.85714285714286,True,True
2021_4,10,20,20,50.0,50.0,True,True
2022_1,76,100,100,76.0,76.0,True,True
2022_2,39,90,90,43.333333333333336,43.333333333333336,True,True
2022_3,76,140,140,54.285714285714285,54.285714285714285,True,True
2022_4,9,20,20,45.0,45.0,True,True
2023_1,70,100,100,70.0,70.0,True,True
2023_2,33,90,90,36.666666666666664,36.666666666666664,False,False
2023_3,75,140,140,53.57142857142857,53.57142857142857,True,True
2023_4,10,20,20,50.0,50.0,True,True
2024_1,70,100,100,70.0,70.0,True,True
2024_2,45,90,90,50.0,50.0,True,True
2024_3,74,140,140,52.85714285714286,52.85714285714286,True,True
2024_4,5,20,20,25.0,25.0,False,False
