,score,solved,total,rate,rate*,40_pass,40_pass*
2019_1,84,100,100,84.0,84.0,True,True
2019_2,52,86,90,57.77777777777777,60.46511627906976,True,True
2019_3,101,140,140,72.14285714285714,72.14285714285714,True,True
2019_4,6,20,20,30.0,30.0,False,False
2020_1,89,100,100,89.0,89.0,True,True
2020_2,55,87,90,61.111111111111114,63.2183908045977,True,True
2020_3,111,140,140,79.28571428571428,79.28571428571428,True,True
2020_4,6,20,20,30.0,30.0,False,False
2021_1,84,98,100,84.0,85.71428571428571,True,True
2021_2,47,85,90,52.22222222222223,55.294117647058826,True,True
2021_3,89,140,140,63.57142857142857,63.57142857142857,True,True
2021_4,8,20,20,40.0,40.0,True,True
2022_1,79,100,100,79.0,79.0,True,True
2022_2,47,83,90,52.22222222222223,56.62650602409639,True,True
2022_3,91,138,140,65.0,65.94202898550725,True,True
2022_4,8,20,20,40.0,40.0,True,True
2023_1,90,99,100,90.0,90.9090909090909,True,True
2023_2,47,79,90,52.22222222222223,59.49367088607595,True,True
2023_3,99,140,140,70.71428571428572,70.71428571428572,True,True
2023_4,7,20,20,35.0,35.0,False,False
2024_1,88,100,100,88.0,88.0,True,True
2024_2,46,85,90,51.11111111111111,54.11764705882353,True,True
2024_3,86,140,140,61.42857142857143,61.42857142857143,True,True
2024_4,10,20,20,50.0,50.0,True,True
