,score,solved,total,rate,rate*,40_pass,40_pass*
2019_1,92,99,100,92.0,92.92929292929293,True,True
2019_2,65,84,90,72.22222222222221,77.38095238095238,True,True
2019_3,119,140,140,85.0,85.0,True,True
2019_4,10,20,20,50.0,50.0,True,True
2020_1,95,99,100,95.0,95.95959595959596,True,True
2020_2,60,87,90,66.66666666666666,68.96551724137932,True,True
2020_3,121,140,140,86.42857142857143,86.42857142857143,True,True
2020_4,10,20,20,50.0,50.0,True,True
2021_1,91,99,100,91.0,91.91919191919192,True,True
2021_2,59,83,90,65.55555555555556,71.08433734939759,True,True
2021_3,116,140,140,82.85714285714286,82.85714285714286,True,True
2021_4,12,20,20,60.0,60.0,True,True
2022_1,96,100,100,96.0,96.0,True,True
2022_2,48,83,90,53.333333333333336,57.831325301204814,True,True
2022_3,97,135,140,69.28571428571428,71.85185185185186,True,True
2022_4,13,20,20,65.0,65.0,True,True
2023_1,95,100,100,95.0,95.0,True,True
2023_2,62,80,90,68.88888888888889,77.5,True,True
2023_3,119,140,140,85.0,85.0,True,True
2023_4,12,20,20,60.0,60.0,True,True
2024_1,91,100,100,91.0,91.0,True,True
2024_2,54,86,90,60.0,62.7906976744186,True,True
2024_3,114,139,140,81.42857142857143,82.01438848920863,True,True
2024_4,12,20,20,60.0,60.0,True,True
