,score,solved,total,rate,rate*,40_pass,40_pass*
2019_1,91,100,100,91.0,91.0,True,True
2019_2,67,88,90,74.44444444444444,76.13636363636364,True,True
2019_3,119,140,140,85.0,85.0,True,True
2019_4,8,20,20,40.0,40.0,True,True
2020_1,95,100,100,95.0,95.0,True,True
2020_2,65,88,90,72.22222222222221,73.86363636363636,True,True
2020_3,125,140,140,89.28571428571429,89.28571428571429,True,True
2020_4,12,20,20,60.0,60.0,True,True
2021_1,89,99,100,89.0,89.8989898989899,True,True
2021_2,64,87,90,71.11111111111111,73.5632183908046,True,True
2021_3,115,140,140,82.14285714285714,82.14285714285714,True,True
2021_4,9,20,20,45.0,45.0,True,True
2022_1,94,99,100,94.0,94.94949494949495,True,True
2022_2,64,88,90,71.11111111111111,72.72727272727273,True,True
2022_3,99,140,140,70.71428571428572,70.71428571428572,True,True
2022_4,13,20,20,65.0,65.0,True,True
2023_1,94,100,100,94.0,94.0,True,True
2023_2,65,88,90,72.22222222222221,73.86363636363636,True,True
2023_3,115,140,140,82.14285714285714,82.14285714285714,True,True
2023_4,14,20,20,70.0,70.0,True,True
2024_1,97,100,100,97.0,97.0,True,True
2024_2,61,85,90,67.77777777777779,71.76470588235294,True,True
2024_3,115,140,140,82.14285714285714,82.14285714285714,True,True
2024_4,13,20,20,65.0,65.0,True,True
