,score,solved,total,rate,rate*,40_pass,40_pass*
2019_1,97,100,100,97.0,97.0,True,True
2019_2,59,87,90,65.55555555555556,67.81609195402298,True,True
2019_3,117,140,140,83.57142857142857,83.57142857142857,True,True
2019_4,10,20,20,50.0,50.0,True,True
2020_1,94,100,100,94.0,94.0,True,True
2020_2,63,89,90,70.0,70.78651685393258,True,True
2020_3,118,140,140,84.28571428571429,84.28571428571429,True,True
2020_4,16,20,20,80.0,80.0,True,True
2021_1,89,99,100,89.0,89.8989898989899,True,True
2021_2,58,87,90,64.44444444444444,66.66666666666666,True,True
2021_3,112,140,140,80.0,80.0,True,True
2021_4,14,20,20,70.0,70.0,True,True
2022_1,94,100,100,94.0,94.0,True,True
2022_2,56,89,90,62.22222222222222,62.92134831460674,True,True
2022_3,100,140,140,71.42857142857143,71.42857142857143,True,True
2022_4,13,20,20,65.0,65.0,True,True
2023_1,92,100,100,92.0,92.0,True,True
2023_2,60,89,90,66.66666666666666,67.41573033707866,True,True
2023_3,112,140,140,80.0,80.0,True,True
2023_4,13,20,20,65.0,65.0,True,True
2024_1,96,100,100,96.0,96.0,True,True
2024_2,58,88,90,64.44444444444444,65.9090909090909,True,True
2024_3,116,140,140,82.85714285714286,82.85714285714286,True,True
2024_4,11,20,20,55.00000000000001,55.00000000000001,True,True
