,score,solved,total,rate,rate*,40_pass,40_pass*
2019_1,92,100,100,92.0,92.0,True,True
2019_2,62,90,90,68.88888888888889,68.88888888888889,True,True
2019_3,119,140,140,85.0,85.0,True,True
2019_4,10,20,20,50.0,50.0,True,True
2020_1,95,100,100,95.0,95.0,True,True
2020_2,61,90,90,67.77777777777779,67.77777777777779,True,True
2020_3,122,140,140,87.14285714285714,87.14285714285714,True,True
2020_4,11,20,20,55.00000000000001,55.00000000000001,True,True
2021_1,87,100,100,87.0,87.0,True,True
2021_2,66,90,90,73.33333333333333,73.33333333333333,True,True
2021_3,117,140,140,83.57142857142857,83.57142857142857,True,True
2021_4,11,20,20,55.00000000000001,55.00000000000001,True,True
2022_1,95,100,100,95.0,95.0,True,True
2022_2,66,90,90,73.33333333333333,73.33333333333333,True,True
2022_3,98,140,140,70.0,70.0,True,True
2022_4,13,20,20,65.0,65.0,True,True
2023_1,94,100,100,94.0,94.0,True,True
2023_2,70,90,90,77.77777777777779,77.77777777777779,True,True
2023_3,117,140,140,83.57142857142857,83.57142857142857,True,True
2023_4,14,20,20,70.0,70.0,True,True
2024_1,97,100,100,97.0,97.0,True,True
2024_2,57,89,90,63.33333333333333,64.04494382022472,True,True
2024_3,114,140,140,81.42857142857143,81.42857142857143,True,True
2024_4,12,20,20,60.0,60.0,True,True
