,2019_1,2019_2,2019_3,2019_4,2020_1,2020_2,2020_3,2020_4,2021_1,2021_2,2021_3,2021_4,2022_1,2022_2,2022_3,2022_4,2023_1,2023_2,2023_3,2023_4,2024_1,2024_2,2024_3,2024_4
1,4,1,5,3,2,2,2,2,4,5,5,2,2,3,4,1,5,3,1,2,1,3,4,4
2,2,2,2,1,4,1,2,4,3,4,4,2,1,4,5,1,2,2,4,1,3,5,5,2
3,2,3,4,3,1,1,3,1,5,5,3,4,4,3,3,2,2,5,5,5,4,1,4,4
4,1,2,5,2,4,4,5,4,4,5,5,3,4,4,4,5,4,4,5,4,5,3,4,3
5,4,5,1,4,5,1,3,5,3,5,5,3,1,2,1,5,5,2,1,5,3,4,5,4
6,1,3,3,5,2,1,4,5,2,2,5,1,5,5,1,3,5,5,4,4,5,2,5,5
7,5,1,2,4,5,3,2,2,2,3,1,2,4,4,3,1,2,3,5,3,2,1,4,4
8,5,1,5,4,4,2,4,3,4,2,5,5,2,5,5,3,1,5,5,4,5,2,4,1
9,1,2,5,1,1,4,4,5,4,4,3,5,4,3,4,3,4,3,2,3,4,4,4,3
10,3,1,1,5,2,4,4,5,2,4,5,1,3,1,4,4,2,2,2,1,2,3,1,5
11,3,5,1,4,5,4,2,5,5,3,5,5,3,4,5,1,5,4,5,2,4,3,3,4
12,5,2,4,4,2,4,4,5,5,2,2,1,3,1,1,4,1,1,2,1,2,4,2,1
13,3,1,5,3,2,1,2,1,3,1,1,1,4,5,5,3,3,1,2,5,1,4,1,1
14,5,2,2,5,4,3,4,4,3,2,3,2,4,5,1,1,5,1,4,3,1,1,3,1
15,2,3,2,5,4,3,3,2,5,5,5,3,4,4,4,3,4,5,2,4,3,3,3,2
16,4,4,5,3,5,1,3,2,1,3,5,2,2,3,1,3,4,1,2,4,5,2,1,3
17,5,3,4,5,5,4,4,5,4,2,4,5,4,5,4,5,3,4,5,5,5,1,4,2
18,1,3,2,4,3,2,5,1,2,4,3,3,3,1,5,4,2,5,2,3,4,1,5,2
19,4,5,3,1,4,4,4,1,2,4,3,1,3,4,2,2,3,3,2,2,2,3,4,3
20,3,5,3,4,4,4,1,1,3,1,2,1,4,5,4,4,3,3,4,2,3,3,1,2
21,4,4,4,,3,2,3,,1,3,4,,1,1,4,,1,3,4,,5,2,4,
22,2,3,4,,1,5,2,,5,2,1,,1,3,2,,3,3,2,,5,4,4,
23,2,3,1,,3,1,3,,5,3,1,,5,5,4,,2,4,3,,2,4,1,
24,2,3,5,,5,2,5,,2,1,5,,5,3,1,,4,3,2,,2,5,4,
25,2,5,3,,4,5,4,,2,3,5,,4,3,3,,1,3,4,,1,1,5,
26,4,3,2,,4,3,2,,1,3,5,,5,3,5,,4,3,1,,4,4,3,
27,1,3,3,,2,4,1,,5,3,1,,5,3,4,,5,3,2,,5,3,2,
28,3,1,4,,2,5,2,,3,3,4,,1,3,4,,2,5,5,,3,1,4,
29,3,3,3,,5,3,3,,1,4,4,,4,3,2,,3,3,3,,2,3,2,
30,4,5,5,,4,1,5,,5,3,4,,3,3,5,,4,4,4,,5,3,3,
31,1,1,4,,5,2,4,,4,3,3,,4,2,1,,4,4,5,,2,2,5,
32,3,2,4,,5,3,1,,4,4,4,,3,1,3,,4,2,3,,5,2,3,
33,2,1,5,,5,4,2,,2,1,1,,4,3,2,,1,3,2,,4,1,1,
34,5,2,5,,2,5,4,,5,1,2,,1,1,2,,1,4,5,,1,4,3,
35,4,2,2,,2,2,5,,5,3,4,,1,4,2,,5,4,2,,5,3,1,
36,4,4,2,,5,1,2,,5,1,4,,1,5,2,,5,1,1,,2,5,5,
37,5,3,2,,3,4,2,,3,5,2,,5,3,4,,3,2,2,,4,4,3,
38,2,4,4,,1,1,5,,3,3,1,,1,2,3,,1,2,3,,3,3,2,
39,4,1,1,,4,5,1,,2,4,5,,4,2,4,,5,4,4,,2,1,1,
40,1,1,1,,5,5,1,,3,3,2,,3,1,3,,5,4,5,,5,2,1,
41,1,3,1,,3,4,4,,4,4,4,,4,3,4,,1,5,4,,3,5,3,
42,5,3,4,,2,1,5,,3,1,3,,1,3,3,,1,4,1,,1,2,1,
43,1,5,5,,3,5,5,,1,3,3,,5,4,5,,2,5,4,,3,4,1,
44,3,4,5,,4,4,3,,3,3,4,,4,5,4,,5,4,3,,3,5,4,
45,3,4,5,,3,3,5,,1,3,4,,5,5,4,,3,4,1,,1,,4,
46,1,2,4,,3,3,2,,2,1,2,,1,4,3,,5,1,1,,5,2,3,
47,2,4,2,,3,4,2,,2,4,2,,4,4,4,,2,4,4,,2,3,3,
48,2,2,3,,5,4,4,,1,2,5,,5,5,1,,2,5,4,,5,1,5,
49,2,1,2,,2,2,1,,5,4,4,,2,5,3,,2,1,5,,3,3,2,
50,1,4,1,,1,3,3,,2,5,2,,5,1,4,,3,1,4,,3,1,4,
51,4,2,2,,3,2,5,,4,3,5,,5,4,1,,1,5,5,,5,3,4,
52,2,1,5,,4,4,1,,5,5,4,,3,3,4,,5,4,5,,3,1,1,
53,2,5,3,,3,2,4,,2,1,5,,3,5,1,,5,2,3,,4,2,5,
54,4,4,1,,4,1,4,,2,1,4,,2,4,3,,4,4,4,,3,2,5,
55,2,5,1,,1,5,1,,2,1,3,,2,2,5,,1,3,5,,1,2,3,
56,2,4,2,,1,5,3,,4,4,3,,1,1,3,,2,4,4,,1,5,1,
57,1,5,3,,2,1,3,,5,4,4,,2,5,4,,2,3,2,,4,3,5,
58,5,5,2,,5,2,3,,4,1,5,,2,1,2,,1,3,2,,4,4,1,
59,2,2,5,,1,1,1,,2,4,3,,4,2,4,,1,5,4,,2,3,4,
60,3,4,1,,2,5,4,,2,1,2,,4,5,3,,2,4,1,,5,3,3,
61,5,5,4,,2,1,1,,5,3,5,,3,2,4,,5,1,1,,4,1,1,
62,3,5,1,,4,2,4,,2,4,1,,4,2,1,,4,4,1,,2,3,5,
63,1,1,1,,3,5,5,,3,1,4,,3,5,4,,2,5,1,,1,2,3,
64,3,4,1,,1,4,2,,2,3,5,,1,4,1,,1,2,4,,1,3,1,
65,1,5,5,,5,3,2,,4,3,5,,4,1,4,,1,2,2,,2,2,4,
66,5,2,1,,2,5,5,,4,3,3,,3,3,4,,5,3,2,,1,4,2,
67,1,5,3,,1,4,3,,4,5,2,,1,2,1,,1,4,1,,5,3,2,
68,4,1,1,,2,3,2,,1,5,3,,1,4,2,,4,5,1,,2,1,2,
69,1,1,4,,2,2,4,,3,3,4,,1,4,2,,5,2,2,,3,4,1,
70,5,4,1,,5,2,4,,5,3,1,,5,1,5,,4,2,5,,1,4,5,
71,2,2,2,,2,5,4,,5,1,4,,1,2,2,,3,1,5,,4,1,1,
72,3,5,4,,2,5,3,,5,2,4,,1,1,4,,4,2,2,,4,4,2,
73,3,3,2,,1,4,2,,5,5,2,,1,5,2,,3,5,5,,5,4,5,
74,1,1,3,,2,1,4,,4,5,2,,1,2,3,,4,2,4,,1,5,4,
75,2,4,2,,2,1,4,,5,5,1,,2,1,1,,1,4,4,,4,1,4,
76,5,1,3,,4,1,4,,3,4,4,,5,4,3,,5,1,1,,1,5,2,
77,4,5,1,,3,5,3,,5,4,1,,1,2,1,,1,4,5,,4,2,2,
78,1,4,3,,2,4,4,,5,3,5,,4,4,1,,1,1,3,,5,5,4,
79,5,5,2,,1,1,3,,1,2,4,,5,3,4,,3,3,3,,2,4,1,
80,1,5,4,,3,5,5,,2,2,4,,3,1,5,,3,3,4,,2,1,5,
81,5,5,5,,3,4,3,,1,5,5,,1,4,1,,2,2,5,,4,2,3,
82,3,1,1,,2,1,1,,3,4,1,,5,4,3,,4,1,4,,3,4,4,
83,5,4,3,,5,4,2,,3,4,1,,1,5,3,,1,2,2,,2,1,3,
84,2,2,3,,1,1,4,,3,1,4,,5,5,3,,4,3,5,,2,5,2,
85,3,2,4,,5,1,1,,3,1,5,,5,5,3,,1,5,2,,1,5,4,
86,1,3,3,,3,3,2,,3,5,3,,5,3,1,,5,1,4,,2,2,2,
87,1,2,4,,5,1,1,,3,4,2,,3,4,3,,3,1,3,,3,1,1,
88,4,2,3,,1,2,5,,5,4,4,,3,4,4,,4,3,5,,4,1,4,
89,2,3,2,,3,3,2,,1,1,5,,2,5,4,,3,5,2,,5,2,2,
90,4,5,1,,3,2,4,,5,3,2,,3,1,2,,1,4,4,,2,1,2,
91,2,,1,,2,,2,,1,,5,,5,,5,,1,,4,,1,,1,
92,4,,4,,1,,3,,3,,1,,2,,1,,3,,2,,1,,1,
93,3,,5,,5,,5,,1,,3,,3,,4,,3,,4,,1,,4,
94,1,,1,,2,,3,,1,,5,,1,,4,,2,,4,,4,,1,
