,score,solved,total,rate,rate*,40_pass,40_pass*
2019_1,96,100,100,96.0,96.0,True,True
2019_2,60,90,90,66.66666666666666,66.66666666666666,True,True
2019_3,119,140,140,85.0,85.0,True,True
2019_4,11,20,20,55.00000000000001,55.00000000000001,True,True
2020_1,95,100,100,95.0,95.0,True,True
2020_2,65,90,90,72.22222222222221,72.22222222222221,True,True
2020_3,119,140,140,85.0,85.0,True,True
2020_4,14,20,20,70.0,70.0,True,True
2021_1,86,100,100,86.0,86.0,True,True
2021_2,63,90,90,70.0,70.0,True,True
2021_3,111,140,140,79.28571428571428,79.28571428571428,True,True
2021_4,15,20,20,75.0,75.0,True,True
2022_1,94,100,100,94.0,94.0,True,True
2022_2,62,90,90,68.88888888888889,68.88888888888889,True,True
2022_3,101,140,140,72.14285714285714,72.14285714285714,True,True
2022_4,13,20,20,65.0,65.0,True,True
2023_1,93,100,100,93.0,93.0,True,True
2023_2,61,90,90,67.77777777777779,67.77777777777779,True,True
2023_3,116,140,140,82.85714285714286,82.85714285714286,True,True
2023_4,13,20,20,65.0,65.0,True,True
2024_1,96,100,100,96.0,96.0,True,True
2024_2,56,90,90,62.22222222222222,62.22222222222222,True,True
2024_3,118,140,140,84.28571428571429,84.28571428571429,True,True
2024_4,10,20,20,50.0,50.0,True,True
