,score,solved,total,rate,rate*,40_pass,40_pass*
2019_1,97,100,100,97.0,97.0,True,True
2019_2,65,90,90,72.22222222222221,72.22222222222221,True,True
2019_3,125,140,140,89.28571428571429,89.28571428571429,True,True
2019_4,14,20,20,70.0,70.0,True,True
2020_1,95,100,100,95.0,95.0,True,True
2020_2,73,90,90,81.11111111111111,81.11111111111111,True,True
2020_3,127,140,140,90.71428571428571,90.71428571428571,True,True
2020_4,13,20,20,65.0,65.0,True,True
2021_1,92,100,100,92.0,92.0,True,True
2021_2,63,90,90,70.0,70.0,True,True
2021_3,120,140,140,85.71428571428571,85.71428571428571,True,True
2021_4,15,20,20,75.0,75.0,True,True
2022_1,94,100,100,94.0,94.0,True,True
2022_2,66,90,90,73.33333333333333,73.33333333333333,True,True
2022_3,113,140,140,80.71428571428572,80.71428571428572,True,True
2022_4,14,20,20,70.0,70.0,True,True
2023_1,97,100,100,97.0,97.0,True,True
2023_2,67,90,90,74.44444444444444,74.44444444444444,True,True
2023_3,117,140,140,83.57142857142857,83.57142857142857,True,True
2023_4,13,20,20,65.0,65.0,True,True
2024_1,95,100,100,95.0,95.0,True,True
2024_2,56,90,90,62.22222222222222,62.22222222222222,True,True
2024_3,122,140,140,87.14285714285714,87.14285714285714,True,True
2024_4,10,20,20,50.0,50.0,True,True
