,score,solved,total,rate,rate*,40_pass,40_pass*
2019_1,99,100,100,99.0,99.0,True,True
2019_2,67,90,90,74.44444444444444,74.44444444444444,True,True
2019_3,121,140,140,86.42857142857143,86.42857142857143,True,True
2019_4,11,20,20,55.00000000000001,55.00000000000001,True,True
2020_1,95,100,100,95.0,95.0,True,True
2020_2,68,90,90,75.55555555555556,75.55555555555556,True,True
2020_3,127,140,140,90.71428571428571,90.71428571428571,True,True
2020_4,12,20,20,60.0,60.0,True,True
2021_1,88,100,100,88.0,88.0,True,True
2021_2,58,90,90,64.44444444444444,64.44444444444444,True,True
2021_3,121,140,140,86.42857142857143,86.42857142857143,True,True
2021_4,16,20,20,80.0,80.0,True,True
2022_1,93,100,100,93.0,93.0,True,True
2022_2,67,90,90,74.44444444444444,74.44444444444444,True,True
2022_3,113,140,140,80.71428571428572,80.71428571428572,True,True
2022_4,12,20,20,60.0,60.0,True,True
2023_1,96,100,100,96.0,96.0,True,True
2023_2,67,90,90,74.44444444444444,74.44444444444444,True,True
2023_3,113,140,140,80.71428571428572,80.71428571428572,True,True
2023_4,13,20,20,65.0,65.0,True,True
2024_1,96,100,100,96.0,96.0,True,True
2024_2,56,90,90,62.22222222222222,62.22222222222222,True,True
2024_3,119,140,140,85.0,85.0,True,True
2024_4,11,20,20,55.00000000000001,55.00000000000001,True,True
